,index,Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude,Response Time,Group Type
35,1843,Law Enforcement-Device,Beach 38th St & Spray View Ave,Queens,2011-10-10 12:27:24,10/10/2011 01:20:13 PM,40.592099034899995,-73.7698874255,52.81666666666667,Law
36,1886,Law Enforcement-Suspicious Package,819 Grand St,Brooklyn,2011-10-21 16:21:55,10/21/2011 05:13:05 PM,40.712049604,-73.9403601384,51.166666666666664,Law
37,1889,Law Enforcement-Jumper Up,Broadway & Cedar St,Manhattan,2011-10-22 06:41:35,10/22/2011 09:45:40 AM,40.7087982744,-74.0108460326,184.08333333333334,Law
38,1914,Law Enforcement-Bomb Threat,120-07 15th Avenue,Queens,2011-10-26 10:00:11,10/26/2011 12:46:52 PM,40.7841454936,-73.8474636503,166.68333333333334,Law
39,6479,Law Enforcement-Device,104-54 89th Avenue,Queens,2011-11-01 16:34:18,11/01/2011 08:08:19 PM,40.693960904099995,-73.84126548729999,214.01666666666668,Law
40,1966,Law Enforcement-Suspicious Package,JFK Airport & Cargo Building,Queens,2011-11-02 23:30:13,11/03/2011 12:17:30 AM,,,47.28333333333333,Law
41,1970,Law Enforcement-Found Grenade,3961 10th Avenue,Manhattan,2011-11-03 13:10:36,11/03/2011 01:42:53 PM,40.8672852804,-73.9168393121,32.28333333333334,Law
42,1988,Law Enforcement-Suspicious Package,W 40TH ST & 9TH AVE,Manhattan,2011-11-05 14:43:46,11/05/2011 03:26:34 PM,40.7571447056,-73.99356057,42.8,Law
43,1990,Law Enforcement-Suspicious Package,West 45 Street & 7th Ave,Manhattan,2011-11-06 11:54:59,11/06/2011 12:35:53 PM,40.7579344681,-73.985568864,40.9,Law
44,1991,Law Enforcement-Suspicious Package,142 Beverly ave,Staten Island,2011-11-06 13:44:30,11/06/2011 02:52:08 PM,40.6179848106,-74.1038390799,67.63333333333334,Law
45,1995,Law Enforcement-Suspicious Package,W 41 St & Broadway,Manhattan,2011-11-07 21:07:42,11/07/2011 09:50:17 PM,40.7550334015,-73.98663788430001,42.583333333333336,Law
46,6369,Law Enforcement-Suspicious Package,Broadway & Maiden Ln,Manhattan,2011-11-08 10:41:50,11/08/2011 11:52:46 AM,40.709805680100004,-74.0099877347,70.93333333333334,Law
47,2038,Law Enforcement-Suspicious Package,W 187 ST & FORT WASHINGTON AVE,Manhattan,2011-11-15 09:06:06,11/15/2011 10:15:22 AM,40.8551362186,-73.9368772408,69.26666666666667,Law
48,6553,Law Enforcement-Suspicious Package,2 Hanson Place,Brooklyn,2011-11-22 14:24:12,11/22/2011 03:06:56 PM,40.685092819,-73.9777279258,42.733333333333334,Law
49,2062,Law Enforcement-Suspicious Package,237 West 42 Street,Manhattan,2011-11-27 21:09:05,11/27/2011 09:57:22 PM,40.75678477,-73.9887021821,48.28333333333333,Law
50,2064,Law Enforcement-Suspicious Package,61-10 BROADWAY,Queens,2011-11-28 07:36:23,11/28/2011 07:57:22 AM,40.750610743,-73.900682235,20.983333333333334,Law
51,2065,Law Enforcement-Suspicious Package,9 East 91 Street,Manhattan,2011-11-28 14:47:00,11/28/2011 03:39:26 PM,40.784496628,-73.9575487442,52.43333333333333,Law
52,2066,Law Enforcement-Police Officer Assualted,2800 Victory Boulevard (CUNY-CSI),Staten Island,2011-11-29 14:56:47,,,,47.60352485074422,Law
53,2068,Law Enforcement-Suspicious Package,66-11 Woodhaven Blvd,Queens,2011-11-30 09:55:33,11/30/2011 10:42:14 AM,40.7180306262,-73.8633181179,46.68333333333333,Law
54,2072,Law Enforcement-Suspicious Package,3rd Avenue & 90th Street,Manhattan,2011-12-02 10:20:08,12/02/2011 12:46:27 PM,40.7813874623,-73.9521236029,146.31666666666666,Law
55,6323,Law Enforcement-Suspicious Package,38-3 21 St,Queens,2011-12-02 10:27:49,12/02/2011 10:59:28 AM,40.7573237408,-73.93924395399999,31.650000000000002,Law
56,2109,Law Enforcement-Suspicious Vehicle,8220 Fort Hamilton Parkway,Brooklyn,2011-12-04 11:06:53,12/04/2011 11:42:21 AM,40.6222977842,-74.02185127029999,35.46666666666667,Law
57,2110,Law Enforcement-Suspicious Package,Knapp Street & Avenue X,Brooklyn,2011-12-04 13:46:49,12/04/2011 02:32:11 PM,40.5946375048,-73.93301142909999,45.36666666666667,Law
58,2120,Law Enforcement-Suspicious Package,East 42nd Street & 1st Avenue,Manhattan,2011-12-08 16:57:00,12/08/2011 05:43:00 PM,40.7487996539,-73.9698460206,46.0,Law
59,2137,Law Enforcement-Suspicious Package,1 Madison Avenue,Manhattan,2011-12-14 11:16:25,12/14/2011 12:41:47 PM,40.7409475072,-73.98804809,85.36666666666666,Law
60,2138,Law Enforcement-Suspicious Package,14 Wall Street,Manhattan,2011-12-14 12:29:47,12/14/2011 02:34:01 PM,40.7073462802,-74.010997284,124.23333333333335,Law
61,2141,Law Enforcement-Suspicious Package,770 Eastern Parkway,Brooklyn,2011-12-16 10:48:33,12/16/2011 11:43:47 AM,40.669441149099995,-73.9430369517,55.233333333333334,Law
62,2147,Law Enforcement-Suspicious Package,34-16 Astoria Blvd,Queens,2011-12-18 00:05:25,12/18/2011 12:26:50 AM,40.7695805878,-73.9155930436,21.416666666666668,Law
63,2151,Law Enforcement-Suspicious Package,East 116th Street & 2nd Avenue,Manhattan,2011-12-19 09:04:30,12/19/2011 10:53:05 AM,40.7970036234,-73.9377738915,108.58333333333333,Law
64,2204,Law Enforcement-Suspicious Package,235 W 56 ST,Manhattan,2011-12-31 10:58:26,12/31/2011 11:29:31 AM,40.7656110619,-73.9823218063,31.083333333333336,Law
65,2223,Law Enforcement-Suspicious Package,45 Pike Street,Manhattan,2012-01-05 15:07:22,01/05/2012 03:34:31 PM,40.7123008496,-73.9923709463,27.15,Law
66,2263,Law Enforcement-Suspicious Package,East 8 Street & Avenue C,Manhattan,2012-01-12 17:15:29,01/12/2012 05:46:39 PM,40.724691669,-73.9784146028,31.16666666666667,Law
67,2285,Law Enforcement-Suspicious Package,3 UN Plaza,Manhattan,2012-01-25 11:55:45,01/25/2012 01:06:19 PM,40.7506222387,-73.9701231034,70.56666666666666,Law
68,2292,Law Enforcement-Suspicious Package,90-15 Queens Blvd,Queens,2012-01-25 18:38:14,01/25/2012 07:34:22 PM,40.7338472076,-73.8715775202,56.13333333333333,Law
69,2306,Law Enforcement-Suspicious Package,East New York Avenue & Kingston Avenue,Brooklyn,2012-01-30 07:47:50,01/30/2012 08:33:01 AM,40.6620603052,-73.9427657156,45.18333333333333,Law
70,6556,Law Enforcement-Found Explosives,1 Governor's Island,Manhattan,2012-02-02 10:13:54,02/02/2012 12:57:51 PM,,,163.95,Law
71,2335,Law Enforcement-Suspicious Package,900 St. Marks Avenue,Brooklyn,2012-02-09 15:27:18,02/09/2012 05:40:28 PM,40.6747932656,-73.9426394256,133.16666666666669,Law
72,2336,Law Enforcement-Suspicious Package,645 Eastern Parkway,Brooklyn,2012-02-10 13:06:58,02/10/2012 02:53:20 PM,40.6696652528,-73.94674611229999,106.36666666666666,Law
73,2341,Law Enforcement-Suspicious Package,handover st  & wall st,Manhattan,2012-02-13 09:18:12,02/13/2012 10:26:35 AM,,,68.38333333333334,Law
74,6566,Law Enforcement-Suspicious Package,East 42 Street & Park Avenue,Manhattan,2012-02-17 21:07:25,02/17/2012 10:39:05 PM,40.7521198375,-73.97767664189999,91.66666666666667,Law
75,2365,Law Enforcement-Suspicious Package,141-29 Pershing Crescent,Queens,2012-02-18 14:27:29,02/18/2012 04:49:56 PM,40.71206074,-73.8160050677,142.45,Law
76,2415,Law Enforcement-Suspicious Package,East 53 Street & Lexington Avenue,Manhattan,2012-03-01 16:05:40,03/01/2012 04:24:53 PM,40.758373624,-73.9709931529,19.216666666666665,Law
77,2426,Law Enforcement-Suspicious Package,627 E 187th St,Bronx,2012-03-06 14:04:38,03/06/2012 03:11:18 PM,40.8551087919,-73.88665957180001,66.66666666666667,Law
78,2477,Law Enforcement-Suspicious Package,125  Cassidy Place,Staten Island,2012-03-07 19:14:58,03/07/2012 07:59:20 PM,40.641887361500004,-74.09648948430001,44.36666666666667,Law
79,2515,Law Enforcement-Suspicious Package,East 15th St & Union Square East,Manhattan,2012-03-21 21:04:57,03/21/2012 09:52:15 PM,40.735348391399995,-73.9899182275,47.3,Law
80,2524,Law Enforcement-Suspicious Package,1016 Second Avenue,Manhattan,2012-03-23 15:30:55,03/23/2012 04:31:38 PM,40.7571401199,-73.9668643695,60.71666666666667,Law
81,6684,Law Enforcement-Suspicious Package,93-01 Grand Central Parkway,Queens,2012-03-27 19:56:25,,,,55.28915482923557,Law
82,2540,Law Enforcement-Suspicious Package,159 ST & ROCKAWAY BLVD,Queens,2012-03-30 08:10:15,03/30/2012 08:55:29 AM,40.66506159,-73.7784380909,45.233333333333334,Law
