,Incident Type,Response Time,minute
2560,Fire+AC0-Brush Fire 2nd Alarm Fire,2665,60
2559,Fire+AC0-10+AC0-77 (Residential High Rise),277,60
2571,Fire+AC0-4th Alarm,4931,60
6602,Fire+AC0-School,37,60
2563,Fire+AC0-3rd Alarm,195,60
6594,Fire+AC0-2nd Alarm,311,60
6527,Fire+AC0-1st Alarm,149,60
2589,Fire+AC0-Sensitive Location,1126,60
2588,Fire+AC0-2nd Alarm,133,60
2592,Fire+AC0-Sensitive Location,1317,60
2601,Fire+AC0-2nd Alarm,4931,60
6690,Fire+AC0-Sensitive Location,119,60
2625,Fire+AC0-3rd Alarm,292,60
6542,Fire+AC0-10+AC0-76 (Commercial High Rise),494,60
6622,Fire+AC0-1st Alarm,4931,60
6604,Fire+AC0-10+AC0-77 (Residential High Rise),133,60
6649,Fire+AC0-1st Alarm,168,60
2663,Fire+AC0-1st Alarm,29,60
6732,Fire+AC0-Sensitive Location,195,60
2674,Fire+AC0-10+AC0-76 (Commercial High Rise),172,60
2675,Fire+AC0-Explosion,179,60
2680,Fire+AC0-10+AC0-77 (Residential High Rise),142,60
2681,Fire+AC0-3rd Alarm,864,60
2689,Fire+AC0-1st Alarm,3154,60
2696,Fire+AC0-2nd Alarm,85,60
2698,Fire+AC0-House of Worship +AC0- Synagogue,75,60
2699,Fire+AC0-2nd Alarm,300,60
2700,Fire+AC0-1st Alarm,62,60
6613,Fire+AC0-1st Alarm,384,60
6744,Fire+AC0-4th Alarm,443,60
2712,Fire+AC0-Manhole,125,60
6680,Fire+AC0-Sensitive Location,77,60
2719,Fire+AC0-1st Alarm,97,60
2723,Fire+AC0-Manhole,4931,60
6515,Fire+AC0-1st Alarm,500,60
2725,Fire+AC0-Manhole,45,60
6755,Fire+AC0-4th Alarm,1548,60
6605,Fire+AC0-Haz Mat,82,60
2731,Fire+AC0-10+AC0-77 (Residential High Rise),2793,60
6533,Fire+AC0-School,98,60
2736,Fire+AC0-3rd Alarm,1897,60
2737,Fire+AC0-3rd Alarm,184,60
6644,Fire+AC0-Manhole,227,60
2774,Fire+AC0-6th Alarm,4931,60
6666,Fire+AC0-1st Alarm,91,60
6578,Fire+AC0-3rd Alarm,2292,60
6631,Fire+AC0-Crane Fire,4709,60
2776,Fire+AC0-7th Alarm,4931,60
6595,Fire+AC0-7th Alarm,4931,60
2764,Fire+AC0-4th Alarm,538,60
2775,Fire+AC0-10+AC0-76 (Commercial High Rise),183,60
6667,Fire+AC0-Drill,4931,60
2778,Fire+AC0-2nd Alarm,130,60
6522,Fire+AC0-Explosion,123,60
2782,Fire+AC0-School,217,60
6733,Fire+AC0-1st Alarm,83,60
2834,Fire+AC0-Power Plant,195,60
2809,Fire+AC0-10+AC0-76 (Commercial High Rise),58,60
6695,Fire+AC0-10+AC0-77 (Residential High Rise),44,60
6734,Fire+AC0-1st Alarm,197,60
2817,Fire+AC0-10+AC0-77 (Residential High Rise),88,60
2818,Fire+AC0-3rd Alarm,1061,60
6632,Fire+AC0-Explosion,41,60
2843,Fire+AC0-3rd Alarm,2049,60
6747,Fire+AC0-Explosion,227,60
2847,Fire+AC0-2nd Alarm,177,60
2849,Fire+AC0-1st Alarm,80,60
2868,Fire+AC0-Sensitive Location,48,60
6546,Fire+AC0-4th Alarm,184,60
2899,Fire+AC0-School,153,60
6659,Fire+AC0-School,203,60
2902,Fire+AC0-1st Alarm,328,60
2907,Fire+AC0-1st Alarm,174,60
6660,Fire+AC0-Hospital,71,60
6609,Fire+AC0-4th Alarm,220,60
2944,Fire+AC0-2nd Alarm,4931,60
2943,Fire+AC0-Sensitive Location,2268,60
6581,Fire+AC0-4th Alarm,4931,60
2973,Fire+AC0-10+AC0-76 (Commercial High Rise),76,60
2979,Fire+AC0-Commercial,45,60
2983,Fire+AC0-Haz Mat,141,60
3006,Fire+AC0-Hospital,328,60
3042,Fire+AC0-6th Alarm,4931,60
3010,Fire+AC0-2nd Alarm,406,60
3030,Fire+AC0-2nd Alarm,84,60
6749,Fire+AC0-Manhole,239,60
3061,Fire+AC0-10+AC0-77 (Residential High Rise),40,60
6583,Fire+AC0-1st Alarm,74,60
3082,Fire+AC0-10+AC0-77 (Residential High Rise),58,60
