,Incident Type,Response Time,minute
2555,Structural+AC0-Elevator Incident,48,60
2558,Structural+AC0-Collapse,80,60
2565,Structural+AC0-Scaffold,259,60
2570,Structural+AC0-Falling Debris,163,60
2581,Structural+AC0-Scaffold,103,60
2586,Structural+AC0-Scaffold,89,60
2618,Structural+AC0-Collapse,6129,60
2644,Structural+AC0-Stability Problem,6234,60
2616,Structural+AC0-Scaffold,352,60
2639,Structural+AC0-Cracks,67,60
2651,Structural+AC0-Construction Accident,94,60
2650,Structural+AC0-Construction Accident,34,60
6464,Structural+AC0-Scaffold,127,60
2653,Structural+AC0-Construction Accident,529,60
6484,Structural+AC0-Car into Building,144,60
2672,Structural+AC0-Scaffold,40,60
6494,Structural+AC0-Life Safety Violations,259,60
6692,Structural+AC0-Collapse,592,60
2692,Structural+AC0-Collapse,848,60
2695,Structural+AC0-Car into Building,105,60
2702,Structural+AC0-Construction Accident,23,60
2708,Structural+AC0-Partial Collapse,291,60
2718,Structural+AC0-Falling Debris,56,60
6630,Structural+AC0-Construction Accident,106,60
6745,Structural+AC0-Falling Debris,567,60
2882,Structural+AC0-Street Collapse,259,60
2720,Structural+AC0-Street Collapse,47,60
2721,Structural+AC0-Collapse,156,60
3750,Structural+AC0-Street Collapse,6234,60
3201,Structural+AC0-Street Collapse,1674,60
6746,Structural+AC0-Collapse,6234,60
6506,Structural+AC0-Scaffold,230,60
2729,Structural+AC0-Collapse,1462,60
6606,Structural+AC0-Street Collapse,1193,60
6681,Structural+AC0-Street Collapse,6234,60
2733,Structural+AC0-Scaffold,500,60
6624,Structural+AC0-Stability Problem,933,60
2735,Structural+AC0-Construction Accident,93,60
2739,Structural+AC0-Partial Collapse,1073,60
2752,Structural+AC0-Street Collapse,466,60
6682,Structural+AC0-Construction Accident,79,60
2762,Structural+AC0-Collapse,2361,60
2883,Structural+AC0-Scaffold,259,60
2780,Structural+AC0-Falling Debris,317,60
6543,Structural+AC0-Street Collapse,6234,60
2788,Structural+AC0-Falling Debris,2405,60
2806,Structural+AC0-Construction Accident,101,60
6607,Structural+AC0-Partial Collapse,399,60
2815,Structural+AC0-Stability Problem,50,60
2836,Structural+AC0-Undermining,1930,60
6650,Structural+AC0-Life Safety Violations,1561,60
2840,Structural+AC0-Sidewalk Shed,424,60
2844,Structural+AC0-Car Into Building,913,60
2866,Structural+AC0-Collapse,4587,60
2894,Structural+AC0-Roadway Depression,259,60
2863,Structural+AC0-Scaffold,88,60
2864,Structural+AC0-Falling Debris,74,60
2873,Structural+AC0-Injuried Construction Worker,259,60
2885,Structural+AC0-Car into Building,831,60
2895,Structural+AC0-Sidewalk Collapse,1242,60
2906,Structural+AC0-Retaining Wall,1469,60
2904,Structural+AC0-Car Into Building,51,60
2908,Structural+AC0-Collapse,1457,60
2927,Structural+AC0-Vacate,489,60
2926,Structural+AC0-Construction Accident,39,60
6803,Structural+AC0-Falling Debris,6234,60
6574,Structural+AC0-Unstable Building,6234,60
2976,Structural+AC0-Stability Problem,6234,60
2930,Structural+AC0-Life Safety Violations,193,60
2932,Structural+AC0-Evacuation,1517,60
2933,Structural+AC0-Vacate,671,60
6596,Structural+AC0-Collapse,1285,60
2945,Structural+AC0-Life Safety Violations,263,60
6768,Structural+AC0-Stability Problem,291,60
2951,Structural+AC0-Partial Collapse,532,60
6610,Structural+AC0-Cracks,259,60
6778,Structural+AC0-Collapse,16,60
2978,Structural+AC0-Scaffold,152,60
6830,Structural+AC0-Life Safety Violations,6234,60
2984,Structural+AC0-Confined Space,70,60
6580,Structural+AC0-Crane,259,60
6829,Structural+AC0-Collapse,4927,60
3005,Structural+AC0-Crane,113,60
6769,Structural+AC0-Collapse,3804,60
3036,Structural+AC0-Collapse,3975,60
3009,Structural+AC0-Partial Collapse,1015,60
3033,Structural+AC0-Construction Accident,40,60
3039,Structural+AC0-Life Safety Violations,296,60
3041,Structural+AC0-Evacuation,9,60
3084,Structural+AC0-Life Safety Violations,9,60
3108,Structural+AC0-Scaffold,108,60
3111,Structural+AC0-Crane,788,60
3164,Structural+AC0-Stability Problem,6234,60
3118,Structural+AC0-Scaffold,48,60
3120,Structural+AC0-Stability Problem,102,60
6626,Structural+AC0-Scaffold,153,60
3144,Structural+AC0-Truck into Building,98,60
3147,Structural+AC0-Stability Problem,136,60
6717,Structural+AC0-Sidewalk Shed,154,60
3149,Structural+AC0-Sidewalk Shed,41,60
6817,Structural+AC0-Bridge,94,60
3168,Structural+AC0-Partial Collapse,122,60
6818,Structural+AC0-Scaffold,420,60
6819,Structural+AC0-Scaffold,455,60
3205,Structural+AC0-Partial Collapse,6234,60
6705,Structural+AC0-Scaffold,113,60
3193,Structural+AC0-Sidewalk Shed,86,60
3200,Structural+AC0-Sidewalk Shed,289,60
3203,Structural+AC0-Collapse,133,60
6758,Structural+AC0-Missing Construction Plate,50,60
6869,Structural+AC0-Scaffold,41,60
3207,Structural+AC0-Crane,2748,60
3209,Structural+AC0-Construction Accident,108,60
3226,Structural+AC0-Sidewalk Shed,91,60
6842,Structural+AC0-Life Safety Violations,117,60
3248,Structural+AC0-Sidewalk Shed,192,60
6880,Structural+AC0-Sidewalk Shed,42,60
3251,Structural+AC0-Stability Problem,5715,60
3272,Structural+AC0-Life Safety Violations,851,60
3275,Structural+AC0-Scaffold,399,60
3276,Structural+AC0-Life Safety Violations,145,60
3277,Structural+AC0-Construction Accident,49,60
6719,Structural+AC0-Stability Problem,951,60
6686,Structural+AC0-Falling Debris,254,60
6844,Structural+AC0-Construction Accident,38,60
3278,Structural+AC0-Collapse,83,60
3310,Structural+AC0-Partial Collapse,6234,60
3283,Structural+AC0-Life Safety Violations,123,60
3288,Structural+AC0-Life Safety Violations,911,60
3301,Structural+AC0-Life Safety Violations,96,60
3307,Structural+AC0-Stability Problem,65,60
3315,Structural+AC0-Falling Debris,845,60
3318,Structural+AC0-Partial Collapse,88,60
3339,Structural+AC0-Structural Integrity,182,60
3340,Structural+AC0-Scaffold,1037,60
6780,Structural+AC0-Stability Problem,112,60
3360,Structural+AC0-Collapse,5483,60
3357,Structural+AC0-Construction Accident,136,60
3397,Structural+AC0-Collapse,6234,60
3390,Structural+AC0-Construction Accident,183,60
3393,Structural+AC0-Stability Problem,516,60
3392,Structural+AC0-Scaffold,179,60
3422,Structural+AC0-Partial Collapse,1366,60
6914,Structural+AC0-Confined Space,39,60
6770,Structural+AC0-Stability Problem,149,60
6771,Structural+AC0-Crane,6234,60
3441,Structural+AC0-Street Collapse,6026,60
3444,Structural+AC0-Falling Debris,4247,60
6810,Structural+AC0-Construction Accident,99,60
3443,Structural+AC0-Car VS Building,122,60
6740,Structural+AC0-Construction Accident,35,60
6741,Structural+AC0-Collapse,187,60
3505,Structural+AC0-Collapse,6234,60
3471,Structural+AC0-Trees Down on Building,6234,60
3474,Structural+AC0-Collapse,124,60
