,Incident Type,Response Time,minute
2284,Utility+AC0-Water Main,74,60
2295,Utility+AC0-Manhole,603,60
6639,Utility+AC0-Water Main,100,60
2311,Utility+AC0-Odor of Gas,57,60
2314,Utility+AC0-Power Outage,154,60
2329,Utility+AC0-Water Main,1217,60
2331,Utility+AC0-Gas High Pressure,1215,60
2338,Utility+AC0-Water Main,799,60
2340,Utility+AC0-Water Main,58,60
2362,Utility+AC0-Water Main,2951,60
2420,Utility+AC0-Water Main,2171,60
2422,Utility+AC0-Transformer,39,60
2474,Utility+AC0-Water Service Line,516,60
6394,Utility+AC0-Water Service Line,2708,60
6518,Utility+AC0-Water Main,2054,60
6591,Utility+AC0-Water Main,1151,60
6420,Utility+AC0-Gas Electric Condition,345,60
2506,Utility+AC0-Steam Condition,1301,60
2502,Utility+AC0-Transformer,435,60
6656,Utility+AC0-Manhole,680,60
2535,Utility+AC0-Water Service Line,288,60
2539,Utility+AC0-Power Outage,440,60
6503,Utility+AC0-Water Main,792,60
6665,Utility+AC0-Water Main,562,60
6478,Utility+AC0-Water Main,2951,60
2549,Utility+AC0-Gas Main Rupture,120,60
6505,Utility+AC0-Item Retrieval,79,60
6519,Utility+AC0-Gas Main Rupture,79,60
6439,Utility+AC0-Gas Low Pressure,2951,60
2584,Utility+AC0-Water Main,2951,60
6438,Utility+AC0-Water Main,445,60
2587,Utility+AC0-Water Service Line,50,60
2602,Utility+AC0-Power Outage,286,60
2619,Utility+AC0-Water Main,1360,60
6567,Utility+AC0-Power Outage,278,60
2646,Utility+AC0-Sewer Service,2315,60
6691,Utility+AC0-Manhole,35,60
2661,Utility+AC0-Water Service Line,1228,60
6493,Utility+AC0-Power Outage,438,60
2662,Utility+AC0-Gas High Pressure,116,60
6621,Utility+AC0-Water Main,1430,60
2666,Utility+AC0-Water Main,902,60
6530,Utility+AC0-Water Main,527,60
2682,Utility+AC0-Power Outage,2951,60
2670,Utility+AC0-Water Main,128,60
2694,Utility+AC0-Water Main,839,60
2693,Utility+AC0-Water Main,124,60
2703,Utility+AC0-Gas High Pressure,111,60
2707,Utility+AC0-Water Main,1037,60
2711,Utility+AC0-Manhole,1753,60
2710,Utility+AC0-Power Outage,1044,60
6727,Utility+AC0-Network Condition,2254,60
6694,Utility+AC0-Electric Feeder Cable,2089,60
6693,Utility+AC0-Power Outage,525,60
6714,Utility+AC0-Power Outage,949,60
6532,Utility+AC0-Manhole,610,60
2727,Utility+AC0-Power Outage,115,60
6658,Utility+AC0-Power Outage,580,60
2751,Utility+AC0-Water Main,1651,60
6516,Utility+AC0-Water Service Line,192,60
2753,Utility+AC0-Water Main,500,60
2757,Utility+AC0-Gas Service Line,108,60
2779,Utility+AC0-Water Main,888,60
2786,Utility+AC0-Water Main,78,60
6728,Utility+AC0-Water Main,21,60
3063,Utility+AC0-Manhole,2951,60
2814,Utility+AC0-Gas Low Pressure,2951,60
6635,Utility+AC0-Water Main,837,60
6608,Utility+AC0-Power Outage,476,60
2837,Utility+AC0-Partial Power Outage,135,60
2846,Utility+AC0-Internal Water/Steam Condition,645,60
6544,Utility+AC0-Manhole,374,60
2874,Utility+AC0-Power Outage,1742,60
2884,Utility+AC0-Ravenswood Power Plant,120,60
6545,Utility+AC0-Power Outage,589,60
2888,Utility+AC0-Sewer Service,106,60
6625,Utility+AC0-Manhole,10,60
6792,Utility+AC0-Gas Main Rupture,116,60
2901,Utility+AC0-Power Outage,72,60
2905,Utility+AC0-Power Outage,1342,60
2924,Utility+AC0-Gas Main Rupture,87,60
2942,Utility+AC0-Gas Main Rupture,42,60
2946,Utility+AC0-Water Service Line,1173,60
6636,Utility+AC0-Power Outage,246,60
2950,Utility+AC0-Other,110,60
2955,Utility+AC0-Water Main,1230,60
2974,Utility+AC0-Water Service Line,893,60
3004,Utility+AC0-Water Main,833,60
6756,Utility+AC0-Power Outage,154,60
3003,Utility+AC0-Water Main,264,60
6645,Utility+AC0-Primary Wires on Fire,38,60
3081,Utility+AC0-Power Outage,2951,60
3007,Utility+AC0-Power Outage,386,60
3032,Utility+AC0-Power Outage,2951,60
3031,Utility+AC0-Gas Service Line,2714,60
3026,Utility+AC0-Water Service Line,1910,60
3083,Utility+AC0-Power Outage,2951,60
3025,Utility+AC0-Water Main,115,60
6735,Utility+AC0-Power Outage,177,60
3035,Utility+AC0-No Utilities,664,60
3037,Utility+AC0-Generator issue,69,60
3038,Utility+AC0-Water Condition,138,60
6582,Utility+AC0-Electric Overhead,305,60
3064,Utility+AC0-Gas Main Rupture,55,60
3085,Utility+AC0-Water Main,59,60
3089,Utility+AC0-Water Main,259,60
3095,Utility+AC0-Power Outage,82,60
6757,Utility+AC0-Power Outage,76,60
6584,Utility+AC0-Gas Service Line,55,60
6840,Utility+AC0-Water Main,179,60
3119,Utility+AC0-Water Service Line,404,60
3126,Utility+AC0-Gas Main Rupture,1117,60
3143,Utility+AC0-Steam Main,1402,60
6685,Utility+AC0-Gas Odor,89,60
6867,Utility+AC0-Sewer Service,2951,60
3151,Utility+AC0-Possible Gas Main Leak,428,60
3160,Utility+AC0-Possible Power Interruption at Hospital,209,60
3161,Utility+AC0-Light Pole,171,60
3172,Utility+AC0-Power Outage,150,60
3176,Utility+AC0-Water Main,1331,60
6729,Utility+AC0-Light Pole,116,60
3188,Utility+AC0-Water Service Line,868,60
3194,Utility+AC0-Gas Service Line,24,60
3198,Utility+AC0-Water Main,2951,60
3197,Utility+AC0-Manhole,135,60
6759,Utility+AC0-Water Main,29,60
6718,Utility+AC0-Electric Feeder Cable,438,60
3231,Utility+AC0-Defective Electrical Service,1599,60
3245,Utility+AC0-Water Main,483,60
3246,Utility+AC0-Water Main,1830,60
6633,Utility+AC0-Water Main,545,60
6797,Utility+AC0-Water Main,2951,60
3250,Utility+AC0-Water Main,2951,60
3249,Utility+AC0-Water Main,41,60
3264,Utility+AC0-Water Main,1026,60
3266,Utility+AC0-Unsafe Power Source,1791,60
6895,Utility+AC0-Power Outage,85,60
6779,Utility+AC0-Power Outage,31,60
3280,Utility+AC0-Manhole,2409,60
6720,Utility+AC0-Water Main,60,60
3281,Utility+AC0-Gas High Pressure,946,60
3284,Utility+AC0-Gas Service Line,66,60
6653,Utility+AC0-Leaning Light Tower,179,60
6674,Utility+AC0-Water Main,850,60
3295,Utility+AC0-Gas Service Line,461,60
3300,Utility+AC0-Water Main,64,60
3304,Utility+AC0-Gas Service Line,61,60
6798,Utility+AC0-Electric Feeder Cable,1963,60
3312,Utility+AC0-Steam Main,48,60
3319,Utility+AC0-Water Main,1467,60
3333,Utility+AC0-Water Main,2951,60
3336,Utility+AC0-Water Main,1595,60
6708,Utility+AC0-Gas High Pressure,85,60
3341,Utility+AC0-Gas Service Line,114,60
3356,Utility+AC0-Water Main,1937,60
6701,Utility+AC0-Power Outage,408,60
6882,Utility+AC0-Power Outage,2951,60
6676,Utility+AC0-Water Main,329,60
3389,Utility+AC0-Power Outage,637,60
6799,Utility+AC0-Water Main,1308,60
6857,Utility+AC0-Power Outage,131,60
6927,Utility+AC0-Transformer,1739,60
6858,Utility+AC0-Electric Feeder Cable,564,60
6883,Utility+AC0-Power Outage,47,60
3487,Utility+AC0-Downed Utility Pole,115,60
6955,Utility+AC0-Power Outage,96,60
6956,Utility+AC0-Power Outage,54,60
6848,Utility+AC0-Water Main,1135,60
6763,Utility+AC0-Water Main,1601,60
3533,Utility+AC0-Water Condition,168,60
3537,Utility+AC0-Water Main,1104,60
6731,Utility+AC0-Water Main,813,60
6723,Utility+AC0-Sink Hole,2951,60
6874,Utility+AC0-Water Main,138,60
6822,Utility+AC0-Network Condition,459,60
6935,Utility+AC0-Gas Service Line,65,60
6742,Utility+AC0-Water Main,1651,60
6726,Utility+AC0-Gas Service Line,97,60
3607,Utility+AC0-Power Outage,179,60
3608,Utility+AC0-Water Main,1206,60
6743,Utility+AC0-Power Outage,540,60
3609,Utility+AC0-Power Outage,423,60
3610,Utility+AC0-Power Outage,1022,60
6884,Utility+AC0-Air Conditioner,218,60
6947,Utility+AC0-HVAC System,52,60
6886,Utility+AC0-Power Outage,378,60
3641,Utility+AC0-Electric Feeder Cable,667,60
3640,Utility+AC0-Electric Feeder Cable,34,60
6988,Utility+AC0-Power Outage,156,60
6899,Utility+AC0-Power Outage,395,60
