iteration,trainRMSE
0,"[285.48054928392565, 285.48576764173885, 285.4903730135995, 285.5086109223678, 285.5179158719]"
2500,"[186.65783008720325, 190.89695324574095, 180.3312363456239, 174.47054075659378, 175.1604433768974]"
5000,"[64.02216133677528, 55.09045467653084, 53.860889396483024, 68.6955787467963, 56.26903275743678]"
7500,"[42.64011831847156, 30.02070940826387, 26.64068417298275, 26.136955725838426, 23.00808660043376]"
10000,"[35.02684659897786, 22.886058044873224, 20.540342598903255, 18.893018805199652, 16.05415467510386]"
12500,"[32.82000790512766, 24.6424378046023, 19.973705361619825, 18.30182294655188, 15.204519461929833]"
15000,"[32.17546237341827, 24.12680846517015, 25.187086304451036, 23.980703237516014, 24.740477866262435]"
17500,"[23.931648564620364, 18.10288917668654, 15.886454956638648, 14.395406208575775, 13.303140986122074]"
20000,"[25.309809503197574, 18.77173578419946, 18.01767245660507, 16.946844357279897, 16.758122788558293]"
22500,"[21.69190743095403, 15.81106617505133, 13.49042749870817, 12.583015731574912, 10.362761932715735]"
25000,"[24.04397319859633, 15.4740799694295, 14.232285341182639, 14.44609433065622, 12.960949523123828]"
27500,"[19.400502376656416, 14.923498007684561, 14.170796723855899, 12.178145362560722, 10.617043810465686]"
