iteration,trainRMSE
0,"[285.5184826248701, 285.51087310823317, 285.5108351294005, 285.5248838482074, 285.53158144225176]"
1000,"[260.95708875034285, 261.32991860857504, 260.85876659785026, 261.31052230048897, 261.2606940918872]"
2000,"[257.64263009189966, 258.3404236282967, 257.9457225627998, 258.1252303465885, 258.61753725195996]"
3000,"[255.4754421556005, 256.30760374938194, 255.93916971320263, 256.06065772504246, 257.4961304085753]"
4000,"[256.5887665339289, 259.32332895048484, 255.7189016596935, 253.00140407952532, 258.4688364598421]"
5000,"[251.62646547704514, 252.99747040026443, 253.25891203274594, 256.7751614783261, 260.35569236179566]"
6000,"[245.3929456920159, 242.95704308954, 242.2230758905763, 250.7500494396287, 248.81148609295698]"
7000,"[241.86148139443432, 238.3136312578679, 235.1617048280627, 243.79508645514446, 243.3428843623355]"
8000,"[235.94869322758487, 232.9860302146024, 226.366754152987, 233.84938406086738, 235.58946821702955]"
9000,"[236.83337051224646, 223.23996401806073, 215.51434242605097, 223.1428238577308, 233.71175392284036]"
10000,"[236.32917277786356, 216.88113900291236, 212.82801315697267, 215.6508410018467, 203.0942360645913]"
11000,"[237.9337319535326, 212.6317948019503, 214.70800440628983, 223.9278873796523, 218.05291126118797]"
