iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,629715.8,626788.7,793.55,791.6998
2500,432124.0,453702.25,657.35,673.5437
5000,401481.06,469069.16,633.6,684.8387
7500,380277.06,485735.5,616.61,696.8449
10000,341836.06,494429.06,584.39,703.1139
12500,293325.1,522237.44,540.5,722.5104
15000,286348.38,537406.06,533.8,732.9408
17500,310081.62,531512.7,556.37,728.993
20000,238674.75,570218.56,486.19,754.9005
22500,235074.7,572998.75,482.8,756.8697
25000,264186.97,576293.7,512.69,759.0302
27500,254939.55,592939.2,503.64,769.2267
30000,225658.02,568810.0,473.67,753.5376
32500,271418.38,621934.25,519.8,788.5146
35000,242067.89,602927.7,490.81,775.7421
37500,218546.0,629998.4,466.34,793.5747
40000,273854.2,588937.1,522.23,767.2294
42500,201463.53,630085.1,447.42,793.4645
45000,224276.62,627574.6,472.73,791.544
47500,273144.22,545860.0,522.08,738.461
50000,406628.2,454494.6,637.34,673.9854
52500,384687.94,470082.62,619.97,685.4411
55000,346485.66,480707.3,588.06,693.1627
57500,344756.56,510825.38,586.56,713.8997
