iteration,trainRMSE
0,"[2704.8449923380576, 2704.9336257013592, 2705.084165027425, 2705.0815112151927, 2705.052271174051, 2705.0613555207265, 2705.0614601052885, 2710.9733602382403, 2710.9921932579773, 2710.9863518653133]"
10,"[2703.5937097950136, 2701.9259328835587, 2701.6352003395564, 2701.574027019833, 2701.536329020985, 2701.5472380220017, 2701.5466564672097, 2707.43255664774, 2707.452554778714, 2707.454829989734]"
20,"[2702.5674241727643, 2698.688610000813, 2698.3342966152654, 2698.279390374049, 2698.2450405529758, 2698.251909848647, 2698.253959525638, 2704.104399685806, 2704.118857321067, 2704.115492106326]"
30,"[2700.7423096285643, 2695.2339430092456, 2694.7906578491, 2694.713813734577, 2694.678553971134, 2694.69053954523, 2694.686216963801, 2700.5042629394325, 2700.5166428324605, 2700.518081145065]"
40,"[2697.33541630566, 2691.14277183502, 2690.8043640046144, 2690.739987814031, 2690.705519383132, 2690.712739356108, 2690.7111949972855, 2696.4898731858434, 2696.4995792832315, 2696.498622079522]"
50,"[2692.0330384849094, 2686.538094963526, 2686.2697410510395, 2686.21716793877, 2686.1859776114047, 2686.187563386011, 2686.187056064208, 2691.9191457216284, 2691.928326592223, 2691.9253182772827]"
60,"[2685.0153249762525, 2681.4699657963397, 2681.3319192288695, 2681.301505699079, 2681.2757241443524, 2681.276764938947, 2681.276581372467, 2686.9573933124334, 2686.9639042059994, 2686.961595104011]"
70,"[2678.03333936293, 2675.7854871985783, 2675.7913046423737, 2675.779887700025, 2675.7584519113575, 2675.757857972634, 2675.7577372426795, 2681.377955355497, 2681.38147839107, 2681.380328034278]"
80,"[2671.376584659611, 2670.1506415781973, 2670.173406076808, 2670.1674267451403, 2670.1486385689072, 2670.1460336092496, 2670.145864564148, 2675.7008507121245, 2675.7007338809826, 2675.7000928800853]"
90,"[2664.319932476125, 2664.29887588833, 2664.3276850532793, 2664.3268539995, 2664.3108878119174, 2664.3060601885577, 2664.3058707893188, 2669.788800556584, 2669.784970550941, 2669.7853963588373]"
100,"[2658.064960883763, 2658.3178997766904, 2658.345485299081, 2658.3483278344606, 2658.3351821187016, 2658.328057105388, 2658.328123180637, 2663.732421265055, 2663.7249820723323, 2663.727025865797]"
110,"[2651.7267796746883, 2652.2866452381036, 2652.3125885318805, 2652.3187159155086, 2652.3085784654804, 2652.2986889497306, 2652.298432606252, 2657.616173044896, 2657.603902666432, 2657.6065412442476]"
120,"[2645.628008455615, 2646.3034008709024, 2646.318361427265, 2646.326613474836, 2646.3194487311007, 2646.3067063368603, 2646.3063915641746, 2651.530577083618, 2651.513610417321, 2651.5175530179276]"
130,"[2639.760306931444, 2640.4688025963947, 2640.4660532739213, 2640.476067452352, 2640.4720310266944, 2640.456237645686, 2640.455888355194, 2645.5790681881144, 2645.557160573236, 2645.5625004647236]"
140,"[2634.160735161207, 2634.8766272978537, 2634.8582131757203, 2634.870222463465, 2634.869542864161, 2634.8504995633016, 2634.8500653503206, 2639.864431833987, 2639.837072293346, 2639.843736118002]"
150,"[2628.9524687158405, 2629.6422037292036, 2629.605465977732, 2629.619480912141, 2629.6223547525406, 2629.599875341393, 2629.5993753206035, 2634.4970878287077, 2634.464047396381, 2634.472204073556]"
160,"[2624.2338892340263, 2624.8814617096305, 2624.824317802892, 2624.8401265952057, 2624.8467317931936, 2624.8206229681728, 2624.820054385511, 2629.593049979294, 2629.5540417567104, 2629.563794092009]"
170,"[2620.158071973039, 2620.7199208869883, 2620.6368105991755, 2620.658474239996, 2620.6695035063976, 2620.689687407359, 2620.6520638434367, 2625.315620410658, 2625.234850416486, 2625.284268476367]"
180,"[2617.013530789287, 2617.360733699256, 2617.251685559523, 2617.2458095359334, 2617.2616262935985, 2617.620993203081, 2617.370735617575, 2622.051452660191, 2621.698145683436, 2622.023026978624]"
190,"[2614.181484193894, 2614.562281139062, 2614.98519529071, 2614.9907994817045, 2614.9870069322733, 2615.497587342164, 2615.191891301762, 2619.878383559997, 2619.4180428574264, 2619.6899388013885]"
200,"[2612.934900587383, 2612.8887315005236, 2612.987560993106, 2612.823962343851, 2612.626791756458, 2613.311923991739, 2612.9715944382824, 2617.6631216198543, 2617.352558858881, 2617.6196297841984]"
210,"[2610.9820814892087, 2611.619680764564, 2611.791247307332, 2611.2537050754227, 2610.681364018815, 2612.7423639709605, 2611.760611638934, 2617.5002543986234, 2616.097711254604, 2616.9880486971706]"
220,"[2608.667202010381, 2610.4433924177774, 2610.432221783527, 2610.018083843273, 2609.748982999931, 2610.6574743863034, 2610.9099510213387, 2616.3354425045477, 2615.4286180488043, 2616.13317117441]"
230,"[2607.6302306886714, 2609.123574658979, 2609.561587181546, 2609.387438745538, 2608.599354416255, 2609.7489762967625, 2609.6001740490474, 2615.478461541035, 2613.975246711268, 2614.9015270261602]"
240,"[2606.06089121251, 2607.257687967686, 2607.841348958406, 2607.5823597159188, 2606.8144566606998, 2609.121553864969, 2608.4879017720837, 2614.950190874184, 2612.658766379978, 2614.3172840126617]"
250,"[2606.452014810395, 2605.553094636539, 2605.7280394264653, 2605.0832724510365, 2605.7298240617283, 2605.2596208155082, 2604.7576491908158, 2612.3059304012436, 2609.909697710805, 2611.8168663881142]"
260,"[2606.401423072048, 2602.982690809439, 2601.917792971205, 2601.8991365206093, 2600.374756066049, 2602.7197828181024, 2602.277307654695, 2609.8329382784455, 2608.370472097553, 2608.7269994156704]"
270,"[2603.313540466022, 2599.7927776141946, 2599.612373676826, 2600.933608077576, 2598.934527144815, 2599.963918677126, 2600.6694932454952, 2607.1333923976144, 2605.7324152283913, 2606.3178755572853]"
280,"[2601.6358347147666, 2599.560532360901, 2597.3841155131445, 2598.9588279952877, 2597.0248054072995, 2599.4017266850965, 2598.4200922536793, 2605.812690534114, 2605.5640980394523, 2604.9719037140494]"
