iteration,trainRMSE
0,"[1024.1863980765206, 1024.1887353367172, 1029.1538927438578, 1029.1703783205649, 1029.6973914122407]"
2500,"[762.530459208766, 762.6935423263083, 768.3018287430803, 768.2591362482607, 767.5538577405059]"
5000,"[760.4618809600472, 756.7499162790624, 763.8007684006728, 763.3454472385494, 763.5583172065363]"
7500,"[760.1858024854296, 749.1521546926496, 755.0090785218065, 753.3788123139913, 759.408393596414]"
10000,"[759.2584909821886, 750.9455542508514, 750.4974890124882, 752.8077490893679, 758.6326125117771]"
12500,"[755.5235701755809, 742.1462754531974, 741.2995751163005, 742.1412010954067, 752.9252401029864]"
15000,"[759.5366628450603, 748.2672191708958, 745.7120701404998, 733.2148748183292, 745.5351132296836]"
17500,"[743.3287153617528, 732.7713293715871, 727.561443512416, 713.1103906198796, 716.9544710702867]"
20000,"[756.5594779684317, 743.0821107410072, 749.4428111030412, 745.0331353047213, 748.092150502555]"
22500,"[771.7673620004974, 761.7362863182495, 771.4695638355751, 768.0064364409358, 766.2184156464582]"
25000,"[767.1829357232712, 750.7549236501256, 755.403631980156, 754.2661571199967, 746.6330779136794]"
27500,"[771.0744266159188, 753.4259576255548, 757.2723700156906, 758.4602000941102, 766.9490226794909]"
30000,"[770.5902873821393, 749.2913548120906, 744.5432421148213, 748.2248033047546, 761.7040012365678]"
32500,"[768.7149286066444, 757.4216569590475, 760.2498814821496, 764.4238023870063, 770.6590207645233]"
35000,"[767.851049814361, 747.5568462809074, 753.8813475934425, 751.9659819977448, 750.1971924626461]"
37500,"[767.6154967751108, 746.5119142300055, 750.7740814751627, 743.884767643218, 742.7656239816462]"
40000,"[770.7528328283705, 751.8096977460951, 739.7231434647153, 738.3830513440632, 753.3245381408817]"
42500,"[770.1171212263278, 749.7866756266042, 737.3562585945348, 733.6778468333059, 727.1404289049847]"
45000,"[769.9044356322356, 749.566319917028, 743.1937604245787, 740.1786112987622, 722.6566586121072]"
47500,"[769.3478078491376, 759.5791923511392, 757.4085079964289, 772.6929610567571, 771.4502566949855]"
50000,"[766.8542529600458, 760.118610408609, 757.5403828391165, 752.4359112013974, 761.2092859005975]"
52500,"[766.9286561776835, 760.5879692472644, 740.9245384679108, 749.3785643359355, 732.3529602359429]"
55000,"[764.9307194078032, 749.371707419537, 737.2010779300577, 737.9278723594681, 714.5006840233054]"
57500,"[763.9999942325185, 752.2882631045222, 735.973361598957, 737.9321698862996, 720.098273111121]"
60000,"[765.626598626452, 759.3574700509832, 744.7266851112198, 742.5594460058859, 704.9628977940928]"
62500,"[785.3159740897655, 779.2536479273604, 767.764332852177, 758.4455218299321, 774.1247440094472]"
65000,"[765.6658226544647, 750.7444470607702, 741.5602157802708, 744.3479824868883, 681.5579773126061]"
67500,"[766.7531627388447, 749.9279818812576, 741.3586804183863, 733.3941547583574, 670.6537887907448]"
