iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,81513.305,168067.64,285.51,409.9605
2500,4463.6265,180835.72,66.56,424.6495
5000,1114.4006,165555.58,33.23,406.5423
7500,1556.0896,167066.56,39.19,408.5436
10000,505.83276,172868.7,21.87,415.465
12500,555.88495,179346.02,22.89,422.6413
15000,509.586,185167.4,22.01,428.1866
17500,782.3548,180171.67,27.64,423.236
20000,363.36667,173311.95,18.18,415.5572
22500,769.1097,170548.0,27.48,412.0919
25000,1491.7394,180146.62,38.5,423.4178
27500,331.67093,183854.34,17.2,424.945
