iteration,trainRMSE
0,"[285.50942987053105, 285.5007928857611, 285.4963430234056, 285.50779827208953, 285.5122976395378]"
2500,"[76.15459268416276, 68.12766314435129, 63.235693992627986, 64.93723221892164, 60.32087108597712]"
5000,"[36.96090762601244, 33.06720887934485, 29.566383380650443, 32.5406784116534, 34.00201101996223]"
7500,"[43.591168162642795, 40.66855595522387, 34.64040747359722, 34.333999005580544, 42.71420699332565]"
10000,"[30.03685114618403, 24.49088382692539, 17.18773254023585, 18.209704884925852, 19.42434704489572]"
12500,"[31.851787605365843, 25.77391703062768, 18.477646022919348, 19.766662362775655, 18.595965438692346]"
15000,"[28.788521427436173, 25.47491133306763, 17.355449832240943, 17.27125883450562, 21.168147139543493]"
17500,"[33.899777619650976, 29.475549215283497, 25.73600778634256, 25.83949898352918, 23.265005093538896]"
20000,"[27.372741834225558, 21.0127620672964, 14.85272398052289, 14.236234834775182, 13.429754001768428]"
22500,"[32.136250092024845, 29.085391894848073, 24.15735508550774, 28.083216324964113, 23.923120583553267]"
25000,"[37.64344017078564, 36.57917322142821, 35.87512968018742, 41.45656390414655, 40.936253392041905]"
27500,"[26.98199674381802, 19.891873587522397, 14.154793147218594, 13.080328987045588, 11.87818940491604]"
