iteration,trainRMSE
0,"[285.3137161436044, 285.27894532081103, 285.2887127613379, 285.3256444679556, 285.35821814820275]"
500,"[260.5491961650809, 260.101780783411, 259.90414968803293, 260.0703532143398, 260.1627732440237]"
1000,"[256.25470624591753, 255.85724256156018, 255.2818313022122, 254.2977584946321, 254.53948031507514]"
1500,"[249.99383267628022, 250.04207390841825, 249.8018545069004, 247.9369687626662, 248.09495050528048]"
2000,"[243.50143105138108, 243.13400166168586, 243.43992251350116, 240.73050927115196, 239.1010149823424]"
2500,"[237.47014713382532, 239.06913270463937, 238.02909906858469, 233.2571314912028, 229.49263686580792]"
3000,"[232.4254784391608, 233.12676414492196, 230.573959657283, 225.95616890165962, 220.77663994901468]"
3500,"[228.59487526832868, 227.80497764144508, 222.15252971862535, 219.7425022333625, 212.80340344218408]"
4000,"[222.82767426751732, 222.23646494589204, 216.21589821854414, 212.30516298025222, 201.56928534854543]"
4500,"[219.6124589773295, 219.91613835863222, 211.8323607161693, 211.0209043289273, 196.15893890036443]"
