Epoch,lossTrain,lossVal,stdDev
1,0.1042664647102356,0.10565026104450226,0.019543055444955826
2501,0.08219817280769348,0.12072625011205673,0.1337934285402298
5001,0.0920640304684639,0.1133415475487709,0.1013314351439476
7501,0.07426576316356659,0.1308363825082779,0.15918606519699097
10001,0.08998467773199081,0.11549985408782959,0.11210834980010986
12501,0.08739496767520905,0.12186023592948914,0.14276482164859772
15001,0.06418343633413315,0.12861162424087524,0.15084359049797058
17501,0.06951200217008591,0.1293553113937378,0.15728828310966492
20001,0.06406673043966293,0.12890620529651642,0.15158633887767792
22501,0.06939271092414856,0.1258011907339096,0.14319053292274475
25001,0.07260391861200333,0.1228085607290268,0.1319984346628189
27501,0.08882570266723633,0.10705965012311935,0.035467542707920074
30001,0.0970354825258255,0.10527114570140839,0.022761818021535873
32501,0.09913590550422668,0.10581181198358536,0.03807087615132332
35001,0.09716598689556122,0.1048584133386612,0.005608751904219389
37501,0.09482356160879135,0.10492943972349167,0.01739022135734558
40001,0.08450108766555786,0.10606152564287186,0.02937503531575203
42501,0.08842004090547562,0.10666157305240631,0.07124679535627365
45001,0.09000329673290253,0.10605145990848541,0.04608432576060295
47501,0.09179011732339859,0.10644443333148956,0.0383608415722847
49999,0.0919850617647171,0.10503284633159637,0.03320743143558502
