iteration,trainRMSE
310,"[919.4684928810947, 917.2977132868211, 1000.4787890029257, 1000.3233775484302, 1000.7103210650033, 1001.0682788997727, 1001.3784036389902, 1001.4604432661957, 1003.4659194395579, 1003.5829696721454]"
320,"[919.3072075346789, 916.6614581314418, 999.8452133385983, 1000.34900750634, 1000.1798832381095, 1000.4618377059522, 1000.9134984620066, 1000.65817518206, 1002.9416216821577, 1003.1144475582594]"
330,"[918.3672336012219, 916.3905887806436, 999.3569419689153, 999.6816326499601, 1000.0011585584185, 1000.4236709148279, 1000.7157038781907, 1001.077085587945, 1002.9298227974455, 1003.37293441075]"
340,"[918.3138578455472, 916.1789766063254, 998.907834458407, 999.230191160869, 999.5873239113406, 1000.1218125138032, 1000.3433524485404, 1000.7535143131021, 1002.8203473596093, 1003.2271101590683]"
350,"[917.8848944319284, 915.2683490890412, 997.642341843078, 998.0364559251459, 999.4607515888831, 999.8890039258658, 1000.112460107229, 1000.464070347896, 1002.8173301719081, 1003.2660279844883]"
360,"[917.771385688735, 915.166495864041, 998.1080803361434, 998.3624343158386, 998.6591196734249, 999.1371928457328, 999.1363349471119, 999.8227656571464, 1002.4390804343312, 1003.3341880487482]"
370,"[917.8787249698275, 914.3227013415823, 997.0252287702998, 997.5872140836017, 998.3596406716265, 998.5945111693121, 998.7854401468435, 999.3970927149893, 1001.6687897091496, 1002.775871455923]"
380,"[917.3439395576955, 913.7863788847696, 996.2418084490035, 996.9477265135683, 997.5098097599462, 997.7253533014117, 997.6015802983575, 998.6324840647778, 1000.3579748470269, 1002.0104693957554]"
390,"[916.3251573422881, 913.4595483069621, 996.6084531186827, 996.9486775621264, 997.8796608921884, 997.7019106984403, 997.5383750434623, 998.215465844069, 1000.4609826574731, 1001.5068547285479]"
400,"[916.7382717221975, 913.6063651371412, 997.0943506477447, 997.1950563621396, 997.4541999072396, 997.9435045018159, 996.9974323297263, 997.8131080558198, 1000.1179344380295, 1001.5470603928362]"
410,"[915.7758496365133, 912.8107520751116, 995.9663520908487, 996.4863405688269, 996.597778156018, 997.2121055305016, 996.7751852238808, 997.5393377209878, 999.7186739112435, 1001.1514332562324]"
420,"[916.5901266719985, 912.7378225189368, 995.9863473368733, 997.2030732381899, 997.8904373745964, 998.8335974080045, 998.6545049590037, 998.5681138432071, 1000.573910720265, 1002.2412574713915]"
430,"[916.0644628773213, 912.7662199243863, 995.9335089767342, 996.1339578009394, 996.0499353121999, 997.0119491564052, 996.5954799617426, 997.6586109712115, 999.502977645828, 1001.3872259718244]"
440,"[915.9168718229025, 912.5797070666573, 995.7411533908669, 996.340924107586, 995.99740815707, 996.944518865588, 996.4162593242278, 997.2053469215319, 999.2438367643026, 1000.5934301800906]"
450,"[916.8450262774305, 914.3740178127566, 998.0579947988219, 997.6566437190762, 998.1180198098671, 998.4287731559052, 998.0128913769091, 998.0600513181579, 1000.8237638028968, 1001.6923552858012]"
460,"[917.5625528934478, 913.7625187772343, 997.4442086420704, 997.6420033091244, 997.0936985320203, 997.9437573812942, 997.52494853073, 997.211293574795, 999.5153452491763, 999.861267258201]"
470,"[917.807380324525, 914.0514947533161, 996.8093382770841, 997.0354884028577, 997.6380013384291, 996.9183389471937, 996.7758821137785, 996.3733776994767, 998.8525645337303, 999.8910280761547]"
480,"[917.2599008595951, 914.0122725601857, 996.3888167390371, 996.4132604415959, 996.3040062998789, 996.567021714028, 996.5623224384146, 996.2434802882274, 998.574328032634, 998.6688042215895]"
490,"[919.3224751115346, 915.8415825050068, 999.2854758343481, 999.392500611262, 1000.2081713668069, 999.9984311893146, 999.7784775756387, 1000.1709801793553, 1002.3705625074293, 1001.7790203918416]"
