Incident Type,Creation Date,Response Time,Year,Week,Day
Fire-1st Alarm,2011-12-17 00:00:00,4000.0,2011,2011-50,351
Fire-10-77 (Residential High Rise),2011-12-18 00:00:00,88.0,2011,2011-51,352
Fire-2nd Alarm,2011-12-19 00:00:00,206.0,2011,2011-51,353
Fire-10-76 (Commercial High Rise),2011-12-19 00:00:00,61.0,2011,2011-51,353
Fire-10-76 (Commercial High Rise),2011-12-20 00:00:00,195.0,2011,2011-51,354
Fire-1st Alarm,2011-12-21 00:00:00,85.0,2011,2011-51,355
Fire-2nd Alarm,2011-12-22 00:00:00,81.0,2011,2011-51,356
Fire-2nd Alarm,2011-12-23 00:00:00,1190.0,2011,2011-51,357
Fire-1st Alarm,2011-12-23 00:00:00,47.0,2011,2011-51,357
Fire-2nd Alarm,2011-12-29 00:00:00,1160.0,2011,2011-52,363
Fire-3rd Alarm,2012-01-03 23:23:44,532.0,2012,2012-01,3
Fire-2nd Alarm,2012-01-04 00:00:00,1906.0,2012,2012-01,4
Fire-1st Alarm,2012-01-05 00:00:00,90.0,2012,2012-01,5
Fire-10-77 (Residential High Rise),2012-01-07 00:00:00,1444.0,2012,2012-01,7
Fire-2nd Alarm,2012-01-13 00:00:00,4000.0,2012,2012-02,13
Fire-3rd Alarm,2012-01-15 00:00:00,276.0,2012,2012-03,15
Fire-3rd Alarm,2012-01-16 00:00:00,916.0,2012,2012-03,16
Fire-3rd Alarm,2012-01-17 00:00:00,527.0,2012,2012-03,17
Fire-Hospital,2012-01-24 00:00:00,71.0,2012,2012-04,24
Fire-1st Alarm,2012-01-25 00:00:00,149.0,2012,2012-04,25
Fire-2nd Alarm,2012-01-29 18:05:01,184.0,2012,2012-05,29
Fire-Collapse,2012-02-04 00:00:00,146.0,2012,2012-05,35
Fire-Nursing Home,2012-02-10 00:00:00,59.0,2012,2012-06,41
Fire-2nd Alarm,2012-02-11 00:00:00,4000.0,2012,2012-06,42
Fire-1st Alarm,2012-02-12 00:00:00,76.0,2012,2012-07,43
Fire-Haz Mat,2012-02-13 00:00:00,283.0,2012,2012-07,44
Fire-Manhole,2012-02-14 00:00:00,1376.0,2012,2012-07,45
Fire-3rd Alarm,2012-02-15 00:00:00,4000.0,2012,2012-07,46
Fire-1st Alarm,2012-02-16 00:00:00,110.0,2012,2012-07,47
Fire-4th Alarm,2012-02-20 00:00:00,589.0,2012,2012-08,51
Fire-10-77 (Residential High Rise),2012-02-23 00:00:00,4000.0,2012,2012-08,54
Fire-2nd Alarm,2012-02-24 08:39:34,184.0,2012,2012-08,55
Fire-10-77 (Residential High Rise),2012-03-03 00:00:00,107.0,2012,2012-09,63
Fire-1st Alarm,2012-03-07 00:00:00,72.0,2012,2012-10,67
Fire-4th Alarm,2012-03-07 00:00:00,4000.0,2012,2012-10,67
Fire-1st Alarm,2012-03-08 00:00:00,1551.0,2012,2012-10,68
Fire-4th Alarm,2012-03-08 00:00:00,232.0,2012,2012-10,68
Fire-1st Alarm,2012-03-12 00:00:00,148.0,2012,2012-11,72
Fire-1st Alarm,2012-03-14 00:00:00,95.0,2012,2012-11,74
Fire-3rd Alarm,2012-03-14 00:00:00,1475.0,2012,2012-11,74
Fire-1st Alarm,2012-03-21 00:00:00,658.0,2012,2012-12,81
Fire-3rd Alarm,2012-03-23 00:00:00,930.0,2012,2012-12,83
Fire-Manhole,2012-03-25 00:00:00,126.0,2012,2012-13,85
Fire-3rd Alarm,2012-03-25 00:00:00,2212.0,2012,2012-13,85
Fire-3rd Alarm,2012-03-27 00:00:00,269.0,2012,2012-13,87
Fire-Fatal Elevator Incident,2012-03-28 00:00:00,349.0,2012,2012-13,88
Fire-3rd Alarm,2012-03-28 00:00:00,385.0,2012,2012-13,88
Fire-10-76 (Commercial High Rise),2012-04-04 00:00:00,1036.0,2012,2012-14,95
Fire-Brush,2012-04-09 00:00:00,2769.0,2012,2012-15,100
Fire-Hospital,2012-04-09 00:00:00,30.0,2012,2012-15,100
Fire-10-76 (Commercial High Rise),2012-04-09 00:00:00,82.0,2012,2012-15,100
Fire-4th Alarm,2012-04-09 00:00:00,345.0,2012,2012-15,100
Fire-1st Alarm,2012-04-13 00:00:00,69.0,2012,2012-15,104
Fire-Brush Fire 2nd Alarm Fire,2012-04-13 00:00:00,2665.0,2012,2012-15,104
Fire-10-77 (Residential High Rise),2012-04-14 00:00:00,277.0,2012,2012-15,105
Fire-4th Alarm,2012-04-14 00:00:00,4000.0,2012,2012-15,105
Fire-School,2012-04-16 00:00:00,37.0,2012,2012-16,107
Fire-2nd Alarm,2012-04-16 00:00:00,311.0,2012,2012-16,107
Fire-3rd Alarm,2012-04-16 13:44:19,532.0,2012,2012-16,107
Fire-1st Alarm,2012-04-24 00:00:00,149.0,2012,2012-17,115
Fire-Sensitive Location,2012-04-27 00:00:00,1126.0,2012,2012-17,118
Fire-2nd Alarm,2012-04-27 00:00:00,133.0,2012,2012-17,118
Fire-Sensitive Location,2012-04-29 00:00:00,1317.0,2012,2012-18,120
Fire-2nd Alarm,2012-04-30 00:00:00,4000.0,2012,2012-18,121
Fire-Sensitive Location,2012-05-08 00:00:00,119.0,2012,2012-19,129
Fire-3rd Alarm,2012-05-12 00:00:00,292.0,2012,2012-19,133
Fire-10-76 (Commercial High Rise),2012-05-15 00:00:00,494.0,2012,2012-20,136
Fire-1st Alarm,2012-05-19 00:00:00,4000.0,2012,2012-20,140
Fire-10-77 (Residential High Rise),2012-05-22 00:00:00,133.0,2012,2012-21,143
Fire-1st Alarm,2012-05-23 00:00:00,168.0,2012,2012-21,144
Fire-1st Alarm,2012-05-28 00:00:00,29.0,2012,2012-22,149
Fire-Sensitive Location,2012-05-31 21:28:49,119.0,2012,2012-22,152
Fire-3rd Alarm,2012-06-01 00:00:00,864.0,2012,2012-22,153
Fire-10-77 (Residential High Rise),2012-06-01 00:00:00,142.0,2012,2012-22,153
Fire-Explosion,2012-06-01 00:00:00,179.0,2012,2012-22,153
Fire-10-76 (Commercial High Rise),2012-06-01 00:00:00,172.0,2012,2012-22,153
Fire-1st Alarm,2012-06-02 00:00:00,3154.0,2012,2012-22,154
Fire-2nd Alarm,2012-06-09 00:00:00,85.0,2012,2012-23,161
Fire-House of Worship - Synagogue,2012-06-10 00:00:00,75.0,2012,2012-24,162
Fire-2nd Alarm,2012-06-11 00:00:00,300.0,2012,2012-24,163
Fire-1st Alarm,2012-06-12 00:00:00,62.0,2012,2012-24,164
Fire-1st Alarm,2012-06-13 00:00:00,384.0,2012,2012-24,165
Fire-4th Alarm,2012-06-21 00:00:00,443.0,2012,2012-25,173
Fire-Manhole,2012-06-22 00:00:00,125.0,2012,2012-25,174
Fire-Sensitive Location,2012-06-24 00:00:00,77.0,2012,2012-26,176
Fire-1st Alarm,2012-06-25 00:00:00,97.0,2012,2012-26,177
Fire-Manhole,2012-06-27 00:00:00,4000.0,2012,2012-26,179
Fire-1st Alarm,2012-07-03 00:00:00,500.0,2012,2012-27,185
Fire-Manhole,2012-07-04 00:00:00,45.0,2012,2012-27,186
Fire-4th Alarm,2012-07-05 00:00:00,1548.0,2012,2012-27,187
Fire-Haz Mat,2012-07-06 00:00:00,82.0,2012,2012-27,188
Fire-10-77 (Residential High Rise),2012-07-07 00:00:00,2793.0,2012,2012-27,189
Fire-School,2012-07-10 00:00:00,98.0,2012,2012-28,192
Fire-3rd Alarm,2012-07-12 00:00:00,1897.0,2012,2012-28,194
Fire-3rd Alarm,2012-07-14 00:00:00,184.0,2012,2012-28,196
Fire-Manhole,2012-07-16 00:00:00,227.0,2012,2012-29,198
Fire-6th Alarm,2012-07-18 00:00:00,4000.0,2012,2012-29,200
Fire-1st Alarm,2012-07-18 00:00:00,91.0,2012,2012-29,200
Fire-3rd Alarm,2012-07-21 00:00:00,2292.0,2012,2012-29,203
Fire-Crane Fire,2012-07-22 00:00:00,4000.0,2012,2012-30,204
Fire-7th Alarm,2012-07-23 00:00:00,4000.0,2012,2012-30,205
Fire-7th Alarm,2012-07-26 00:00:00,4000.0,2012,2012-30,208
Fire-4th Alarm,2012-07-30 00:00:00,538.0,2012,2012-31,212
Fire-10-76 (Commercial High Rise),2012-07-30 00:00:00,183.0,2012,2012-31,212
Fire-2nd Alarm,2012-07-31 00:00:00,130.0,2012,2012-31,213
Fire-Drill,2012-07-31 00:00:00,4000.0,2012,2012-31,213
Fire-School,2012-08-01 00:00:00,217.0,2012,2012-31,214
Fire-Explosion,2012-08-01 00:00:00,123.0,2012,2012-31,214
Fire-1st Alarm,2012-08-05 00:00:00,83.0,2012,2012-32,218
Fire-Power Plant,2012-08-06 01:07:16,,2012,2012-32,219
Fire-10-76 (Commercial High Rise),2012-08-08 00:00:00,58.0,2012,2012-32,221
Fire-10-77 (Residential High Rise),2012-08-09 00:00:00,44.0,2012,2012-32,222
Fire-10-77 (Residential High Rise),2012-08-14 00:00:00,88.0,2012,2012-33,227
Fire-3rd Alarm,2012-08-14 00:00:00,1061.0,2012,2012-33,227
Fire-1st Alarm,2012-08-14 00:00:00,197.0,2012,2012-33,227
Fire-Explosion,2012-08-16 00:00:00,41.0,2012,2012-33,229
Fire-3rd Alarm,2012-08-20 00:00:00,2049.0,2012,2012-34,233
Fire-Explosion,2012-08-21 00:00:00,227.0,2012,2012-34,234
Fire-2nd Alarm,2012-08-23 00:00:00,177.0,2012,2012-34,236
Fire-1st Alarm,2012-08-24 00:00:00,80.0,2012,2012-34,237
Fire-Sensitive Location,2012-08-27 00:00:00,48.0,2012,2012-35,240
Fire-4th Alarm,2012-09-03 00:00:00,184.0,2012,2012-36,247
Fire-School,2012-09-06 00:00:00,153.0,2012,2012-36,250
Fire-School,2012-09-07 00:00:00,203.0,2012,2012-36,251
Fire-1st Alarm,2012-09-07 00:00:00,328.0,2012,2012-36,251
Fire-1st Alarm,2012-09-10 00:00:00,174.0,2012,2012-37,254
Fire-Hospital,2012-09-12 00:00:00,71.0,2012,2012-37,256
Fire-4th Alarm,2012-09-15 00:00:00,220.0,2012,2012-37,259
Fire-2nd Alarm,2012-09-28 00:00:00,4000.0,2012,2012-39,272
Fire-Sensitive Location,2012-10-02 00:00:00,2268.0,2012,2012-40,276
Fire-4th Alarm,2012-10-15 00:00:00,4000.0,2012,2012-42,289
Fire-10-76 (Commercial High Rise),2012-10-20 00:00:00,76.0,2012,2012-42,294
Fire-Commercial,2012-10-22 00:00:00,45.0,2012,2012-43,296
Fire-Haz Mat,2012-10-23 00:00:00,141.0,2012,2012-43,297
Fire-Hospital,2012-10-29 00:00:00,328.0,2012,2012-44,303
Fire-6th Alarm,2012-10-30 00:00:00,4000.0,2012,2012-44,304
Fire-2nd Alarm,2012-10-31 00:00:00,406.0,2012,2012-44,305
Fire-2nd Alarm,2012-10-31 00:00:00,84.0,2012,2012-44,305
Fire-Manhole,2012-11-02 00:00:00,239.0,2012,2012-44,307
Fire-10-77 (Residential High Rise),2012-11-09 00:00:00,40.0,2012,2012-45,314
Fire-1st Alarm,2012-11-09 00:00:00,74.0,2012,2012-45,314
Fire-10-77 (Residential High Rise),2012-11-16 00:00:00,58.0,2012,2012-46,321
Fire-3rd Alarm,2012-11-21 00:00:00,375.0,2012,2012-47,326
Fire-2nd Alarm,2012-11-22 00:00:00,1213.0,2012,2012-47,327
Fire-10-76 (Commercial High Rise),2012-11-23 00:00:00,109.0,2012,2012-47,328
Fire-3rd Alarm,2012-11-25 00:00:00,961.0,2012,2012-48,330
Fire-School,2012-11-27 00:00:00,88.0,2012,2012-48,332
Fire-Sanitation Garage,2012-12-07 00:00:00,31.0,2012,2012-49,342
Fire-2nd Alarm,2012-12-09 00:00:00,136.0,2012,2012-50,344
Fire-2nd Alarm,2012-12-09 00:00:00,267.0,2012,2012-50,344
Fire-2nd Alarm,2012-12-13 00:00:00,119.0,2012,2012-50,348
Fire-4th Alarm,2012-12-16 00:00:00,1527.0,2012,2012-51,351
Fire-4th Alarm,2012-12-17 00:00:00,525.0,2012,2012-51,352
Fire-2nd Alarm,2012-12-18 00:00:00,4000.0,2012,2012-51,353
Fire-2nd Alarm,2012-12-23 00:00:00,244.0,2012,2012-52,358
Fire-Sensitive Location,2012-12-25 00:00:00,51.0,2012,2012-52,360
Fire-2nd Alarm,2012-12-26 00:00:00,67.0,2012,2012-52,361
Fire-Manhole,2012-12-29 00:00:00,129.0,2012,2012-52,364
Fire-3rd Alarm,2012-12-31 00:00:00,3095.0,2012,2012-53,366
Fire-2nd Alarm,2013-01-01 00:00:00,235.0,2013,2013-00,1
Fire-3rd Alarm,2013-01-04 00:00:00,4000.0,2013,2013-00,4
Fire-5th Alarm,2013-01-10 00:00:00,3969.0,2013,2013-01,10
Fire-2nd Alarm,2013-01-11 00:00:00,98.0,2013,2013-01,11
Fire-4th Alarm,2013-01-12 00:00:00,530.0,2013,2013-01,12
Fire-School,2013-01-14 00:00:00,113.0,2013,2013-02,14
Fire-4th Alarm,2013-01-22 00:00:00,433.0,2013,2013-03,22
Fire-4th Alarm,2013-01-23 00:00:00,1286.0,2013,2013-03,23
Fire-3rd Alarm,2013-01-25 00:00:00,421.0,2013,2013-03,25
Fire-1st Alarm,2013-01-26 00:00:00,43.0,2013,2013-03,26
Fire-4th Alarm,2013-01-27 00:00:00,901.0,2013,2013-04,27
Fire-3rd Alarm,2013-01-27 00:00:00,232.0,2013,2013-04,27
Fire-2nd Alarm,2013-01-27 00:00:00,152.0,2013,2013-04,27
Fire-1st Alarm,2013-02-04 00:00:00,47.0,2013,2013-05,35
Fire-Smoke Condition,2013-02-10 00:00:00,56.0,2013,2013-06,41
Fire-Manhole,2013-02-11 00:00:00,136.0,2013,2013-06,42
Fire-Manhole,2013-02-11 00:00:00,178.0,2013,2013-06,42
Fire-Manhole,2013-02-11 00:00:00,90.0,2013,2013-06,42
Fire-School,2013-02-13 00:00:00,371.0,2013,2013-06,44
Fire-4th Alarm,2013-02-14 00:00:00,1643.0,2013,2013-06,45
Fire-4th Alarm,2013-02-15 00:00:00,962.0,2013,2013-06,46
Fire-2nd Alarm,2013-02-24 00:00:00,215.0,2013,2013-08,55
Fire-1st Alarm,2013-03-03 00:00:00,195.0,2013,2013-09,62
Fire-2nd Alarm,2013-03-05 00:00:00,441.0,2013,2013-09,64
Fire-2nd Alarm,2013-03-06 00:00:00,146.0,2013,2013-09,65
Fire-2nd Alarm,2013-03-09 00:00:00,246.0,2013,2013-09,68
Fire-3rd Alarm,2013-03-09 00:00:00,3013.0,2013,2013-09,68
Fire-10-77 (Residential High Rise),2013-03-13 00:00:00,48.0,2013,2013-10,72
Fire-1st Alarm,2013-03-15 00:00:00,329.0,2013,2013-10,74
Fire-10-77 (Residential High Rise),2013-03-16 00:00:00,72.0,2013,2013-10,75
Fire-4th Alarm,2013-03-17 00:00:00,374.0,2013,2013-11,76
Fire-3rd Alarm,2013-03-18 00:00:00,4000.0,2013,2013-11,77
Fire-1st Alarm,2013-03-27 00:00:00,331.0,2013,2013-12,86
Fire-1st Alarm,2013-04-01 00:00:00,58.0,2013,2013-13,91
Fire-2nd Alarm,2013-04-04 00:00:00,258.0,2013,2013-13,94
Fire-3rd Alarm,2013-04-06 00:00:00,557.0,2013,2013-13,96
Fire-Truck Fire,2013-04-07 00:00:00,124.0,2013,2013-14,97
Fire-3rd Alarm,2013-04-11 00:00:00,194.0,2013,2013-14,101
Fire-3rd Alarm,2013-04-13 00:00:00,300.0,2013,2013-14,103
Fire-10-76 (Commercial High Rise),2013-04-16 00:00:00,178.0,2013,2013-15,106
Fire-1st Alarm,2013-04-17 00:00:00,73.0,2013,2013-15,107
Fire-10-77 (Residential High Rise),2013-04-17 00:00:00,92.0,2013,2013-15,107
Fire-Brush,2013-04-22 00:00:00,40.0,2013,2013-16,112
Fire-3rd Alarm,2013-04-28 00:00:00,196.0,2013,2013-17,118
Fire-5th Alarm,2013-05-02 00:00:00,4000.0,2013,2013-17,122
Fire-1st Alarm,2013-05-02 00:00:00,1106.0,2013,2013-17,122
Fire-1st Alarm,2013-05-04 00:00:00,102.0,2013,2013-17,124
Fire-1st Alarm,2013-05-05 00:00:00,111.0,2013,2013-18,125
Fire-Haz Mat,2013-05-08 00:00:00,176.0,2013,2013-18,128
Fire-10-77 (Residential High Rise),2013-05-10 00:00:00,997.0,2013,2013-18,130
Fire-School,2013-05-15 00:00:00,742.0,2013,2013-19,135
Fire-1st Alarm,2013-05-16 00:00:00,89.0,2013,2013-19,136
Fire-10-76 (Commercial High Rise),2013-05-20 00:00:00,92.0,2013,2013-20,140
Fire-1st Alarm,2013-05-20 00:00:00,469.0,2013,2013-20,140
Fire-Con Ed Feeder Cables on Fire,2013-05-24 00:00:00,4000.0,2013,2013-20,144
Fire-Sensitive Location,2013-05-29 00:00:00,179.0,2013,2013-21,149
Fire-2nd Alarm,2013-05-29 00:00:00,1743.0,2013,2013-21,149
Fire-Haz Mat,2013-05-30 00:00:00,153.0,2013,2013-21,150
Fire-Manhole,2013-06-03 00:00:00,205.0,2013,2013-22,154
Fire-3rd Alarm,2013-06-03 00:00:00,4000.0,2013,2013-22,154
Fire-2nd Alarm,2013-06-05 00:00:00,4000.0,2013,2013-22,156
Fire-Manhole,2013-06-05 00:00:00,1477.0,2013,2013-22,156
Fire-School,2013-06-05 00:00:00,75.0,2013,2013-22,156
Fire-10-76 (Commercial High Rise),2013-06-11 00:00:00,1980.0,2013,2013-23,162
Fire-Collapse,2013-06-12 00:00:00,1372.0,2013,2013-23,163
Fire-Sensitive Location,2013-06-20 00:00:00,508.0,2013,2013-24,171
Fire-1st Alarm,2013-06-24 00:00:00,79.0,2013,2013-25,175
Fire-1st Alarm,2013-06-24 00:00:00,166.0,2013,2013-25,175
Fire-Manhole,2013-06-25 00:00:00,143.0,2013,2013-25,176
Fire-10-76 (Commercial High Rise),2013-07-02 00:00:00,72.0,2013,2013-26,183
Fire-10-77 (Residential High Rise),2013-07-04 00:00:00,59.0,2013,2013-26,185
Fire-Metro North Train on Fire,2013-07-04 00:00:00,91.0,2013,2013-26,185
Fire-3rd Alarm,2013-07-04 00:00:00,217.0,2013,2013-26,185
Fire-3rd Alarm,2013-07-09 00:00:00,1318.0,2013,2013-27,190
Fire-3rd Alarm,2013-07-09 00:00:00,532.0,2013,2013-27,190
Fire-Collapse,2013-07-11 00:00:00,4000.0,2013,2013-27,192
Fire-Commercial,2013-07-12 00:00:00,128.0,2013,2013-27,193
Fire-Manhole,2013-07-14 00:00:00,4000.0,2013,2013-28,195
Fire-1st Alarm,2013-07-15 00:00:00,204.0,2013,2013-28,196
Fire-Electrical,2013-07-15 00:00:00,444.0,2013,2013-28,196
Fire-2nd Alarm,2013-07-16 00:00:00,225.0,2013,2013-28,197
Fire-Manhole,2013-07-17 00:00:00,155.0,2013,2013-28,198
Fire-5th Alarm,2013-07-17 00:00:00,891.0,2013,2013-28,198
Fire-Turbine,2013-07-17 00:00:00,96.0,2013,2013-28,198
Fire-1st Alarm,2013-07-18 00:00:00,823.0,2013,2013-28,199
Fire-3rd Alarm,2013-07-18 00:00:00,4000.0,2013,2013-28,199
Fire-5th Alarm,2013-07-22 00:00:00,4000.0,2013,2013-29,203
Fire-2nd Alarm,2013-07-23 00:00:00,3162.0,2013,2013-29,204
Fire-Manhole,2013-07-30 00:00:00,897.0,2013,2013-30,211
Fire-Sensitive Location,2013-07-30 00:00:00,42.0,2013,2013-30,211
Fire-Fire in a Hotel,2013-08-08 00:00:00,47.0,2013,2013-31,220
Fire-10-76 (Commercial High Rise),2013-08-14 00:00:00,76.0,2013,2013-32,226
Fire-3rd Alarm,2013-08-14 00:00:00,129.0,2013,2013-32,226
Fire-3rd Alarm,2013-08-15 00:00:00,143.0,2013,2013-32,227
Fire-Vehicle Fire,2013-08-16 00:00:00,1971.0,2013,2013-32,228
Fire-Sensitive Location,2013-08-18 00:00:00,78.0,2013,2013-33,230
Fire-10-76 (Commercial High Rise),2013-08-22 00:00:00,299.0,2013,2013-33,234
Fire-1st Alarm,2013-08-23 00:00:00,4000.0,2013,2013-33,235
Fire-2nd Alarm,2013-08-23 00:00:00,1676.0,2013,2013-33,235
Fire-10-77 (Residential High Rise),2013-08-24 00:00:00,46.0,2013,2013-33,236
Fire-1st Alarm,2013-08-28 00:00:00,1341.0,2013,2013-34,240
Fire-2nd Alarm,2013-08-29 00:00:00,409.0,2013,2013-34,241
Fire-1st Alarm,2013-09-02 00:00:00,4000.0,2013,2013-35,245
Fire-10-77 (Residential High Rise),2013-09-03 00:00:00,96.0,2013,2013-35,246
Fire-10-76 (Commercial High Rise),2013-09-06 00:00:00,91.0,2013,2013-35,249
Fire-1st Alarm,2013-09-08 00:00:00,371.0,2013,2013-36,251
Fire-School,2013-09-09 00:00:00,6.0,2013,2013-36,252
Fire-3rd Alarm,2013-09-09 00:00:00,4000.0,2013,2013-36,252
Fire-5th Alarm,2013-09-09 00:00:00,494.0,2013,2013-36,252
Fire-10-76 (Commercial High Rise),2013-09-11 00:00:00,60.0,2013,2013-36,254
Fire-2nd Alarm,2013-09-19 00:00:00,4000.0,2013,2013-37,262
Fire-Sensitive Location,2013-10-01 00:00:00,96.0,2013,2013-39,274
Fire-Overhead wires,2013-10-01 00:00:00,4000.0,2013,2013-39,274
Fire-2nd Alarm,2013-10-04 00:00:00,156.0,2013,2013-39,277
Fire-Sensitive Location,2013-10-04 00:00:00,260.0,2013,2013-39,277
