iteration,trainRMSE
0,"[793.2613631668736, 793.2616174802064, 793.3057506761048, 793.3158295705929, 794.2544596959888]"
2500,"[666.6443089825474, 664.5447325152169, 665.7897050145256, 665.5750579248036, 667.1119047552055]"
5000,"[665.1102751611177, 663.6927598922091, 664.3723207598159, 664.0197428849119, 665.6682500750848]"
7500,"[663.3669247232648, 662.2075134611454, 664.1996459768254, 663.6681219867545, 665.4839589259807]"
10000,"[663.368101329083, 662.886925558944, 664.1913048150986, 663.3566835562277, 666.1148770739787]"
12500,"[661.8807847570326, 661.1468068420141, 662.34964429564, 662.0348895013126, 664.9984871273247]"
15000,"[662.0043768603725, 660.6577711710979, 662.8935512083513, 662.6555588212991, 664.9720964420376]"
17500,"[663.3747723009918, 661.3186365321137, 664.0992648311112, 662.6175028847586, 663.4175397856596]"
20000,"[661.8894005502445, 660.4066471862701, 662.0115314476559, 663.0825681816565, 663.9410610447333]"
22500,"[661.5970940491972, 659.0514039453658, 662.7580972194519, 661.1029582573129, 664.9142525990579]"
25000,"[661.887579836783, 655.2803470974848, 660.2589479321791, 657.3153993159985, 657.4117440122124]"
27500,"[669.4817119937583, 669.1445153746546, 675.0657202357028, 675.2793712893252, 671.1994333595408]"
30000,"[676.9158384169115, 676.451390291295, 675.0549180675824, 665.6691961850403, 668.6907300311148]"
32500,"[656.4941611906811, 644.9985448111123, 644.4954699849537, 635.8236180280425, 638.0862139301217]"
35000,"[658.0804162735934, 649.7438183097041, 643.4768562941376, 638.6309272254715, 645.9380195683868]"
37500,"[692.146397390505, 678.9581207941089, 681.3774255676316, 672.4854480843687, 674.4948845010872]"
