iteration,trainRMSE
0,"[1029.7143586867396, 1030.0136689971312, 1030.1705670288482, 1028.5953185607366, 1027.1843077440597, 1026.5301135822135, 1018.2048961542536, 1023.2819593986637, 1022.783388859647, 1023.292340025685]"
100,"[950.7755716006002, 949.9739040850985, 949.8948197937607, 948.4069157984862, 947.1214141079956, 946.5048653479116, 938.0607899924631, 943.1148994462867, 942.6972341770721, 943.1307469968818]"
200,"[847.3473625760677, 847.3324466177941, 847.3039126642775, 846.0333784127371, 845.0222057410242, 844.4849493730045, 836.06195315584, 840.9046466123172, 840.6356940564782, 840.8727101345155]"
300,"[775.0946920721783, 775.7702262646117, 775.6689665130705, 774.8955566253823, 774.4771384464423, 774.1367767046289, 766.6240461562581, 770.5833284750362, 770.6092103220798, 770.4688629344514]"
400,"[772.2837511118804, 773.5286469520147, 773.2111495219542, 772.2604542598035, 771.8475642304434, 771.4226548676558, 764.1254713419753, 767.7289672081357, 767.6249789239371, 767.606403334446]"
