,Distribution,Distribution parameters,P_Values
75,semicircular,"(2773.6385006320393, 4655.9476137911)",0.0
76,t,"(0.671450318298614, 143.48123034742508, 101.6187753775024)",0.0
77,triang,"(7.886230953045094e-07, 2.709228112639444, 7443.836456279402)",0.0
78,truncexpon,"(1.3042445309691368, -704.3050596681896, 6229.842794099324)",0.0
79,truncnorm,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",0.0
80,tukeylambda,"(1.2563595228373976, 1592.0843132203777, 1996.8171780374187)",0.0
81,uniform,"(2.716666666666667, 7418.216666666667)",0.0
82,vonmises,"(2.002551584446584, 46.032076715007165, 7.035977237882488e-26)",0.0
83,vonmises_line,"(4.313362757757766, 597.8650015189987, 2171.8501041241084)",0.0
84,wald,"(-89.95099745676686, 652.9205856238817)",0.0
85,weibull_min,"(0.6548758305640832, 2.716666666666666, 1431.0014290815889)",0.0
86,weibull_max,"(0.09806273111552444, 7420.933333333334, 1.7497459905702648)",0.0
87,wrapcauchy,"(1.0, -739.105, 1416.7750217120195)",
