Incident Type,Creation Date,Response Time
Utility-Other,2016-10-17,433
Utility-Other,2016-10-17,343
Fire-1st Alarm,2016-10-22,856
Fire-1st Alarm,2016-10-25,121
Utility-Other,2016-10-25,621
Fire-3rd Alarm,2016-10-26,1761
Fire-Collapse,2016-11-04,7341
Utility-Other,2016-11-05,323
Fire-1st Alarm,2016-11-07,179
Utility-Gas High Pressure,2016-11-10,3380
Fire-10-77 (Residential High Rise Fire),2016-11-12,113
Utility-Power Outage,2016-11-18,558
Utility-Power Outage,2016-11-18,2148
Utility-Other,2016-11-22,1543
Fire-10-76 (Commercial High Rise Fire),2016-11-26,117
Fire-3rd Alarm,2016-11-27,2285
Utility-Other,2016-11-29,3033
Utility-Manhole,2016-11-29,283
Fire-3rd Alarm,2016-11-30,236
Fire-3rd Alarm,2016-11-30,619
Utility-Power Outage,2016-11-30,1326
Utility-Power Outage,2016-11-30,83
Utility-Gas High Pressure,2016-12-06,70
Utility-Water Service Line,2016-12-06,4717
Utility-Other,2016-12-06,5470
Fire-Other,2016-12-07,1000
Fire-Other,2016-12-10,248
Utility-Power Outage,2016-12-12,63
Fire-4th Alarm,2016-12-13,338
Fire-10-77 (Residential High Rise Fire),2016-12-14,105
Utility-Other,2016-12-14,176
Fire-1st Alarm,2016-12-17,710
Fire-10-76 (Commercial High Rise Fire),2016-12-18,281
Utility-Gas High Pressure,2016-12-19,1519
Utility-Gas High Pressure,2016-12-19,211
Utility-Other,2016-12-20,136
Utility-Power Outage,2016-12-22,74
Fire-4th Alarm,2016-12-22,698
Utility-Other,2016-12-23,1544
Fire-1st Alarm,2016-12-25,2255
Fire-5th Alarm,2016-12-30,1554
Utility-Manhole,2017-01-02,75
Fire-Manhole,2017-01-04,250
Utility-Gas Service Line,2017-01-05,214
Fire-3rd Alarm,2017-01-06,769
Utility-Other,2017-01-07,277
Fire-3rd Alarm,2017-01-08,471
Fire-10-76 (Commercial High Rise Fire),2017-01-08,85
Utility-Other,2017-01-09,927
Fire-3rd Alarm,2017-01-09,305
Utility-Power Outage,2017-01-10,165
Fire-5th Alarm,2017-01-11,553
Fire-Haz Mat,2017-01-11,168
Fire-3rd Alarm,2017-01-12,142
Fire-10-77 (Residential High Rise Fire),2017-01-16,1475
Utility-Power Outage,2017-01-17,64
Utility-Manhole,2017-01-17,153
Utility-Power Outage,2017-01-17,115
Utility-Manhole,2017-01-17,99
Utility-Power Outage,2017-01-17,97
Utility-Power Outage,2017-01-20,93
Fire-4th Alarm,2017-01-21,187
Utility-Water Service Line,2017-01-23,3897
Utility-Water Service Line,2017-01-23,109
Utility-Other,2017-01-23,297
Utility-Power Outage,2017-01-23,82
Fire-1st Alarm,2017-01-23,492
Fire-3rd Alarm,2017-01-24,348
Fire-4th Alarm,2017-01-25,1680
Fire-3rd Alarm,2017-01-29,369
Utility-Power Outage,2017-02-01,219
Fire-4th Alarm,2017-02-08,1113
Fire-3rd Alarm,2017-02-09,217
Utility-Power Outage,2017-02-10,1021
Fire-10-76 (Commercial High Rise Fire),2017-02-11,132
Utility-Water Service Line,2017-02-11,503
Utility-Power Outage,2017-02-11,700
Utility-Power Outage,2017-02-12,74
Fire-1st Alarm,2017-02-14,701
Fire-Manhole,2017-02-14,147
Utility-Other,2017-02-14,3569
Utility-Power Outage,2017-02-15,455
Utility-Power Outage,2017-02-15,4308
Fire-10-76 (Commercial High Rise Fire),2017-02-17,71
Fire-Collapse,2017-02-19,395
Utility-Water Service Line,2017-02-20,91
Fire-10-76 (Commercial High Rise Fire),2017-02-21,226
Fire-1st Alarm,2017-02-22,64
Fire-1st Alarm,2017-02-23,84
Utility-Manhole,2017-02-23,362
Fire-4th Alarm,2017-02-24,1283
Utility-Other,2017-02-27,574
Fire-4th Alarm,2017-03-01,3809
Fire-10-76 (Commercial High Rise Fire),2017-03-02,803
Fire-10-77 (Residential High Rise Fire),2017-03-03,114
Utility-Other,2017-03-03,1841
Fire-1st Alarm,2017-03-05,159
Fire-4th Alarm,2017-03-06,5242
Fire-5th Alarm,2017-03-12,1729
Fire-10-76 (Commercial High Rise Fire),2017-03-13,97
Fire-Collapse,2017-03-14,111
Utility-Gas High Pressure,2017-03-17,270
Fire-10-76 (Commercial High Rise Fire),2017-03-17,127
Fire-Other,2017-03-19,100
Utility-Power Outage,2017-03-21,160
Utility-Gas Service Line,2017-03-21,1060
Utility-Power Outage,2017-03-22,556
Fire-Other,2017-03-23,476
Fire-Other,2017-03-24,96
Fire-10-76 (Commercial High Rise Fire),2017-03-28,74
Fire-1st Alarm,2017-03-30,124
Fire-Haz Mat,2017-03-30,259
Fire-1st Alarm,2017-03-31,5939
Fire-Other,2017-04-01,1381
Utility-Power Outage,2017-04-02,280
Fire-1st Alarm,2017-04-04,102
Fire-Other,2017-04-05,110
Fire-3rd Alarm,2017-04-09,1294
Fire-10-76 (Commercial High Rise Fire),2017-04-09,533
Fire-10-76 (Commercial High Rise Fire),2017-04-18,112
Utility-Power Outage,2017-04-18,338
Fire-Manhole,2017-04-19,128
Utility-Power Outage,2017-04-20,63
Fire-1st Alarm,2017-04-23,4157
Fire-Manhole,2017-04-24,811
Utility-Water Service Line,2017-04-25,148
Fire-1st Alarm,2017-04-25,87
Utility-Gas Service Line,2017-04-26,262
Utility-Manhole,2017-04-27,974
Fire-3rd Alarm,2017-04-28,2680
Fire-3rd Alarm,2017-04-28,585
Fire-3rd Alarm,2017-04-28,1542
Fire-3rd Alarm,2017-04-29,141
Utility-Other,2017-04-29,615
Utility-Power Outage,2017-04-29,265
Fire-Haz Mat,2017-04-30,67
Fire-1st Alarm,2017-05-08,191
Fire-1st Alarm,2017-05-10,120
Fire-10-76 (Commercial High Rise Fire),2017-05-10,228
Fire-Collapse,2017-05-13,112
Fire-Sensitive Location,2017-05-17,1641
Fire-Other,2017-05-19,127
Utility-Manhole,2017-05-20,387
Fire-5th Alarm,2017-05-21,3607
Fire-3rd Alarm,2017-05-23,509
Fire-Manhole,2017-05-30,345
Fire-Collapse,2017-06-03,926
Fire-10-76 (Commercial High Rise Fire),2017-06-03,129
Fire-10-76 (Commercial High Rise Fire),2017-06-13,103
Utility-Power Outage,2017-06-13,144
Fire-Other,2017-06-21,160
Fire-1st Alarm,2017-06-21,190
Utility-Power Outage,2017-06-21,71
Fire-5th Alarm,2017-06-22,3402
Fire-1st Alarm,2017-06-30,140
Utility-Power Outage,2017-07-01,440
Fire-4th Alarm,2017-07-04,1935
Fire-3rd Alarm,2017-07-05,842
Fire-3rd Alarm,2017-07-05,268
Utility-Power Outage,2017-07-06,886
Utility-Other,2017-07-10,84
Utility-Water Service Line,2017-07-11,282
Utility-Gas High Pressure,2017-07-11,523
Fire-School,2017-07-11,87
Utility-Gas High Pressure,2017-07-13,1354
Utility-Gas High Pressure,2017-07-13,84
Utility-Power Outage,2017-07-13,422
Utility-Manhole,2017-07-13,1472
Utility-Power Outage,2017-07-13,345
Utility-Power Outage,2017-07-13,423
Utility-Power Outage,2017-07-15,512
Fire-10-76 (Commercial High Rise Fire),2017-07-17,70
Utility-Power Outage,2017-07-18,460
Utility-Power Outage,2017-07-19,211
Utility-Other,2017-07-27,110
Utility-Manhole,2017-07-29,1427
Utility-Manhole,2017-07-29,361
Fire-1st Alarm,2017-08-01,201
Fire-1st Alarm,2017-08-02,220
Fire-1st Alarm,2017-08-06,142
Utility-Water Service Line,2017-08-06,78
Utility-Gas Main Rupture,2017-08-08,108
Utility-Gas High Pressure,2017-08-10,60
Utility-Other,2017-08-11,476
Utility-Gas High Pressure,2017-08-11,218
Utility-Power Outage,2017-08-14,266
Utility-Water Service Line,2017-08-20,1053
Fire-Explosion,2017-08-24,120
Fire-Manhole,2017-08-25,984
Fire-3rd Alarm,2017-08-28,234
Fire-School,2017-09-04,80
Utility-Other,2017-09-05,180
Utility-Other,2017-09-05,213
Fire-Other,2017-09-08,104
Utility-Other,2017-09-14,1889
Fire-Haz Mat,2017-09-16,83
Fire-Other,2017-09-17,3368
Utility-Power Outage,2017-09-17,852
Fire-Haz Mat,2017-09-22,109
Fire-1st Alarm,2017-09-24,107
Fire-1st Alarm,2017-09-27,375
Utility-Power Outage,2017-09-29,101
Utility-Power Outage,2017-09-29,121
Utility-Power Outage,2017-10-07,74
Fire-3rd Alarm,2017-10-16,136
Utility-Water Service Line,2017-10-17,212
Utility-Gas High Pressure,2017-10-18,1514
Utility-Other,2017-10-18,247
Fire-3rd Alarm,2017-10-23,1614
Utility-Power Outage,2017-10-23,112
Utility-Water Service Line,2017-10-24,535
Fire-Sensitive Location,2017-10-24,207
Fire-Haz Mat,2017-10-25,321
Utility-Gas High Pressure,2017-10-25,104
Utility-Gas High Pressure,2017-10-27,63
Utility-Gas High Pressure,2017-10-27,85
Fire-10-76 (Commercial High Rise Fire),2017-10-30,200
Fire-3rd Alarm,2017-11-02,274
Utility-Other,2017-11-04,113
Fire-3rd Alarm,2017-11-10,551
Fire-10-76 (Commercial High Rise Fire),2017-11-12,174
Fire-10-76 (Commercial High Rise Fire),2017-11-16,91
Utility-Power Outage,2017-11-16,256
Fire-Collapse,2017-11-19,851
Fire-School,2017-11-21,128
Fire-Haz Mat,2017-11-22,75
Fire-3rd Alarm,2017-11-23,181
Fire-4th Alarm,2017-11-26,6335
Fire-3rd Alarm,2017-11-26,195
Fire-10-76 (Commercial High Rise Fire),2017-11-27,105
Utility-Water Service Line,2017-11-28,1043
Fire-1st Alarm,2017-11-29,87
Fire-10-77 (Residential High Rise Fire),2017-11-29,1575
Fire-1st Alarm,2017-12-01,63
Fire-10-76 (Commercial High Rise Fire),2017-12-06,88
Fire-Other,2017-12-06,320
Fire-Explosion,2017-12-07,284
Utility-Gas Main Rupture,2017-12-08,1244
Utility-Manhole,2017-12-12,686
Utility-Gas High Pressure,2017-12-13,399
Fire-1st Alarm,2017-12-15,87
Fire-Sensitive Location,2017-12-17,118
Fire-3rd Alarm,2017-12-18,3833
Fire-10-77 (Residential High Rise Fire),2017-12-18,185
Utility-Other,2017-12-18,85
Fire-3rd Alarm,2017-12-25,4020
Fire-1st Alarm,2017-12-25,89
Fire-3rd Alarm,2017-12-27,668
Fire-3rd Alarm,2017-12-28,3319
Utility-Manhole,2017-12-29,104
Fire-3rd Alarm,2018-01-01,3656
Utility-Other,2018-01-02,1482
Fire-3rd Alarm,2018-01-02,821
Fire-3rd Alarm,2018-01-02,389
Utility-Water Service Line,2018-01-05,1261
Utility-Other,2018-01-06,91
Utility-Other,2018-01-06,4661
Fire-10-76 (Commercial High Rise Fire),2018-01-08,108
Fire-10-76 (Commercial High Rise Fire),2018-01-08,74
Utility-Power Outage,2018-01-09,332
Utility-Other,2018-01-09,4094
Fire-Haz Mat,2018-01-10,9231
Utility-Other,2018-01-11,1242
Utility-Other,2018-01-12,582
Fire-10-77 (Residential High Rise Fire),2018-01-12,316
Utility-Other,2018-01-13,912
Utility-Power Outage,2018-01-17,69
Utility-Manhole,2018-01-17,974
Fire-3rd Alarm,2018-01-18,821
Utility-Other,2018-01-18,134
Fire-Manhole,2018-01-18,640
Fire-10-77 (Residential High Rise Fire),2018-01-18,94
Fire-3rd Alarm,2018-01-18,276
Fire-Explosion,2018-01-20,1868
Fire-10-76 (Commercial High Rise Fire),2018-01-22,79
Fire-3rd Alarm,2018-01-22,5497
Utility-Gas Service Line,2018-01-24,73
Fire-1st Alarm,2018-01-24,1407
Fire-Other,2018-01-26,644
Fire-4th Alarm,2018-01-30,3435
Fire-10-77 (Residential High Rise Fire),2018-02-05,311
Utility-Power Outage,2018-02-07,98
Fire-1st Alarm,2018-02-08,185
Fire-1st Alarm,2018-02-09,351
Fire-Other,2018-02-11,171
Utility-Manhole,2018-02-14,367
Utility-Water Service Line,2018-02-16,107
Utility-Power Outage,2018-02-21,147
Utility-Gas Main Rupture,2018-02-22,573
Fire-3rd Alarm,2018-02-28,1409
Fire-School,2018-03-01,73
Fire-Explosion,2018-03-02,4038
Utility-Power Outage,2018-03-02,62
Fire-Other,2018-03-02,236
Utility-Gas Main Rupture,2018-03-06,652
Utility-Power Outage,2018-03-07,537
Utility-Power Outage,2018-03-08,118
Utility-Water Service Line,2018-03-09,1177
Fire-Sensitive Location,2018-03-13,148
Fire-5th Alarm,2018-03-16,1661
Utility-Gas High Pressure,2018-03-17,439
Fire-3rd Alarm,2018-03-19,316
Fire-10-77 (Residential High Rise Fire),2018-03-19,97
Fire-10-76 (Commercial High Rise Fire),2018-03-21,99
Utility-Manhole,2018-03-22,286
Utility-Other,2018-03-22,966
Fire-4th Alarm,2018-03-24,3599
Fire-Haz Mat,2018-03-24,153
Fire-10-77 (Residential High Rise Fire),2018-04-02,177
Fire-10-77 (Residential High Rise Fire),2018-04-03,109
Fire-4th Alarm,2018-04-07,5339
Fire-10-77 (Residential High Rise Fire),2018-04-09,560
Fire-1st Alarm,2018-04-10,119
Fire-4th Alarm,2018-04-11,1096
Fire-10-76 (Commercial High Rise Fire),2018-04-16,356
Fire-3rd Alarm,2018-04-17,248
Utility-Gas High Pressure,2018-04-20,502
Fire-3rd Alarm,2018-04-21,283
Fire-3rd Alarm,2018-04-27,181
Fire-3rd Alarm,2018-04-29,2186
Fire-Sensitive Location,2018-05-03,89
Fire-Collapse,2018-05-03,221
Utility-Power Outage,2018-05-03,3139
Fire-10-77 (Residential High Rise Fire),2018-05-05,68
Fire-School,2018-05-10,111
Fire-Other,2018-05-10,169
Fire-Other,2018-05-10,5284
Fire-4th Alarm,2018-05-10,250
Fire-Sensitive Location,2018-05-13,233
Utility-Gas High Pressure,2018-05-15,598
Fire-Collapse,2018-05-15,93
Fire-10-76 (Commercial High Rise Fire),2018-05-16,74
Fire-Collapse,2018-05-17,212
Fire-3rd Alarm,2018-05-21,1054
Fire-3rd Alarm,2018-05-21,2138
Fire-4th Alarm,2018-05-27,659
Fire-3rd Alarm,2018-05-28,197
Fire-3rd Alarm,2018-06-06,273
Fire-Sensitive Location,2018-06-07,295
Fire-3rd Alarm,2018-06-13,205
Fire-1st Alarm,2018-06-14,1266
Fire-Other,2018-06-16,102
Fire-5th Alarm,2018-06-16,226
Fire-Collapse,2018-06-19,1075
Fire-3rd Alarm,2018-06-19,128
Fire-Manhole,2018-06-22,2162
Fire-1st Alarm,2018-06-22,75
Fire-Collapse,2018-06-23,9831
Utility-Water Service Line,2018-06-23,841
Fire-1st Alarm,2018-06-23,90
Utility-Other,2018-06-25,3830
Fire-10-77 (Residential High Rise Fire),2018-06-30,244
Fire-10-76 (Commercial High Rise Fire),2018-07-01,78
Utility-Power Outage,2018-07-02,360
Utility-Gas Main Rupture,2018-07-03,575
Fire-Other,2018-07-05,182
Fire-10-76 (Commercial High Rise Fire),2018-07-06,206
Utility-Power Outage,2018-07-09,303
Fire-3rd Alarm,2018-07-09,698
Fire-4th Alarm,2018-07-10,395
Fire-Haz Mat,2018-07-12,275
Utility-Other,2018-07-12,355
Utility-Manhole,2018-07-17,269
Fire-1st Alarm,2018-07-26,257
Utility-Power Outage,2018-07-27,1480
Utility-Gas High Pressure,2018-07-28,126
Utility-Power Outage,2018-08-02,677
Utility-Power Outage,2018-08-03,1040
Fire-3rd Alarm,2018-08-07,265
Utility-Power Outage,2018-08-11,427
Utility-Other,2018-08-14,228
Fire-3rd Alarm,2018-08-14,173
Utility-Power Outage,2018-08-15,237
Utility-Other,2018-08-17,854
Fire-3rd Alarm,2018-08-17,707
Fire-4th Alarm,2018-08-22,1836
Fire-Other,2018-08-27,304
Fire-Sensitive Location,2018-08-27,80
Fire-Manhole,2018-08-28,622
Utility-Gas High Pressure,2018-08-30,153
Fire-Haz Mat,2018-09-02,140
Utility-Power Outage,2018-09-04,67
Fire-3rd Alarm,2018-09-05,209
Fire-Haz Mat,2018-09-07,6208
Fire-1st Alarm,2018-09-07,220
Fire-3rd Alarm,2018-09-11,346
Fire-10-76 (Commercial High Rise Fire),2018-09-18,870
Fire-Manhole,2018-09-18,278
Fire-Other,2018-09-19,160
Fire-3rd Alarm,2018-09-24,148
Fire-Manhole,2018-09-25,1263
Utility-Power Outage,2018-09-26,98
Fire-4th Alarm,2018-09-29,2937
Fire-Sensitive Location,2018-09-30,184
Fire-Haz Mat,2018-10-11,74
Fire-Other,2018-10-11,244
Fire-Other,2018-10-12,169
Fire-1st Alarm,2018-10-15,99
Utility-Power Outage,2018-10-16,594
Utility-Gas Main Rupture,2018-10-17,251
Utility-Power Outage,2018-10-19,132
Fire-10-76 (Commercial High Rise Fire),2018-10-23,94
Fire-1st Alarm,2018-10-29,137
Fire-10-76 (Commercial High Rise Fire),2018-10-30,139
Utility-Manhole,2018-11-09,427
Fire-3rd Alarm,2018-11-13,129
Utility-Gas High Pressure,2018-11-14,547
Fire-10-76 (Commercial High Rise Fire),2018-11-14,79
Fire-Explosion,2018-11-16,86
Utility-Gas High Pressure,2018-11-19,121
Fire-Manhole,2018-11-19,917
Fire-Other,2018-11-21,70
Fire-Other,2018-11-21,342
Fire-Other,2018-11-21,107
Fire-3rd Alarm,2018-11-22,1320
Fire-10-76 (Commercial High Rise Fire),2018-11-25,216
Fire-Haz Mat,2018-11-25,2429
Fire-3rd Alarm,2018-11-29,7870
Fire-Collapse,2018-11-29,8847
Fire-1st Alarm,2018-12-04,236
Fire-3rd Alarm,2018-12-04,4039
Fire-1st Alarm,2018-12-07,115
Fire-3rd Alarm,2018-12-09,148
Fire-Sensitive Location,2018-12-10,503
Utility-Other,2018-12-11,2910
Fire-1st Alarm,2018-12-11,83
Fire-5th Alarm,2018-12-13,2356
Fire-1st Alarm,2018-12-14,104
Fire-3rd Alarm,2018-12-14,207
Utility-Other,2018-12-17,247
Fire-3rd Alarm,2018-12-19,496
Fire-1st Alarm,2018-12-20,1670
Fire-1st Alarm,2018-12-20,187
Utility-Power Outage,2018-12-20,65
Fire-10-76 (Commercial High Rise Fire),2018-12-21,407
Fire-Sensitive Location,2018-12-21,146
Utility-Power Outage,2018-12-21,148
Fire-10-77 (Residential High Rise Fire),2018-12-22,110
Fire-1st Alarm,2018-12-23,2224
Fire-1st Alarm,2018-12-25,1610
