iteration,trainRMSE
0,"[910.9348969046929, 911.0421101297544, 910.5964110417764, 910.5685198634455, 912.0773925953893]"
1000,"[750.3253249646332, 748.8515092007681, 750.5602956255582, 751.1200723295432, 752.519761409336]"
2000,"[747.6160960981599, 747.1616908195168, 746.6539526468002, 746.8135114038793, 751.840893237321]"
3000,"[744.7931838851031, 742.4074055709204, 742.9581093764718, 743.6025505445905, 742.6552970591292]"
4000,"[743.3979404134121, 741.3164294113695, 741.5941501131531, 741.086291335258, 741.419445131484]"
5000,"[740.40956771344, 738.2349021655286, 738.1478627403569, 737.5514002071532, 739.8245166274598]"
6000,"[739.5002564933759, 737.2377572411392, 735.6244715687981, 732.8306753693469, 725.5966112102273]"
7000,"[739.0295047560054, 735.9775996999592, 734.6919221954668, 729.0783439524834, 722.4682082369213]"
