iteration,trainRMSE
0,"[1030.9668967736004, 1030.1167961269725, 1030.3287937527878, 1028.8044849608298, 1027.4432170486511, 1026.8335614967602, 1018.5402907990392, 1023.6475454676003, 1023.182819236393, 1023.7305759822942]"
2000,"[942.8615201236607, 942.691757619742, 942.7030321697786, 941.2374508922262, 939.9671806100941, 939.3545292202417, 930.9027876124082, 935.9507111304633, 935.5407012398089, 935.9639786528483]"
4000,"[813.84536471359, 813.923801673483, 813.8734451371289, 812.7317583158285, 811.8812497932887, 811.3945567572795, 803.1210627968676, 807.7718987983009, 807.586111141207, 807.7151743922395]"
6000,"[770.366757256529, 770.9878726087604, 770.0230476209687, 769.458716820447, 768.3845208544818, 769.022994140477, 761.370046654026, 765.0596114151036, 766.366767596123, 766.0408649073273]"
8000,"[768.4962846102298, 768.9730911213026, 767.4989930274086, 766.7923933533842, 766.303681205791, 768.1419554922969, 758.8089161533071, 763.0388021021362, 761.7255833624764, 761.9249378564905]"
10000,"[766.4128127041021, 764.4526213416517, 762.6140893495711, 761.4260805805142, 761.2799095789507, 760.701731226107, 755.3263574242965, 759.0895811096265, 758.2021767796529, 760.3751970515743]"
12000,"[760.6481569135534, 757.0343758356239, 755.1058548370279, 754.0462103167386, 752.245309998649, 750.9014986902871, 746.2353834908697, 751.7199914649538, 751.1833902678807, 754.6345781205943]"
14000,"[755.0326830032996, 749.7572215078826, 749.241507494401, 747.2438107382477, 748.5930136452981, 745.212984513461, 740.3677239463685, 744.2860520573806, 745.1505865869404, 749.0478604481475]"
16000,"[751.090718307838, 742.8975782479018, 740.6079294542186, 740.2279800860858, 743.1239678759731, 742.6041417842598, 735.4276377692192, 741.3898095571495, 745.4869754304334, 750.5333038969871]"
18000,"[747.1510865995672, 740.1280161932655, 736.829993302542, 732.0413383596687, 732.6227682273255, 738.1096634379651, 732.3663952205286, 740.0824744442438, 744.675461807421, 749.0002743114301]"
20000,"[743.8694890124408, 736.8106786162401, 733.7511867257275, 729.5306111791967, 727.6701491903195, 733.2473016583392, 730.0907436478441, 736.9755554899897, 741.5823355952405, 747.259046417044]"
22000,"[740.7549688394051, 730.8938637864974, 728.9296594289319, 727.304457031877, 723.6133982193007, 732.6944882106658, 729.3733157029511, 733.2648061200465, 736.9750498754015, 735.7106668720393]"
24000,"[740.869153742102, 730.1085799758099, 728.0396584395465, 718.3613394878691, 713.2082592817433, 719.2349254677861, 712.3279881769602, 723.6986781678991, 713.8262008232559, 719.7208478416148]"
26000,"[739.2806767155002, 724.3927201438803, 725.2321389199046, 716.1684277202314, 707.4562736172984, 721.3706316938618, 715.9611391400863, 728.8551218869018, 717.5053556803958, 715.0783953504329]"
28000,"[739.0315722774095, 720.7034928473777, 720.8070610971631, 708.9100868479657, 703.3384326760525, 703.7598109115925, 699.7441147105222, 704.2444886662296, 695.8956392040836, 701.1750911512062]"
30000,"[737.6648061703833, 718.4913272596294, 716.014029117436, 706.0929310949565, 693.3427892205724, 693.3115289227453, 691.362992211875, 697.5276552768237, 674.9061207517705, 687.3432582161653]"
32000,"[734.7696869111962, 720.8297451430689, 713.2913467923054, 703.9580709487682, 698.0369153015951, 692.1647824186413, 694.5220346095127, 692.8844922019567, 670.188265968898, 679.3597731818023]"
34000,"[734.0269866494664, 716.0581417401432, 713.9976872829661, 702.1430384400816, 697.2917040609639, 693.799086736729, 686.0654750717002, 688.9915136509878, 671.5819176460066, 682.9147836060602]"
36000,"[732.558664928108, 715.8407622949225, 711.5652051716958, 699.8266262754023, 691.3446428061009, 680.3311619820263, 686.6771369736584, 683.7613543284475, 665.222622326898, 666.4810512350763]"
38000,"[729.7533316114643, 717.9071801556204, 712.1791663613488, 699.5129302986677, 692.881590195241, 685.60610953834, 679.9331033231804, 675.8162283982024, 665.532044014422, 666.137141894537]"
40000,"[727.3458274460559, 716.5365219347839, 707.8312583725735, 693.4161440985378, 683.5355858051158, 681.1521313497021, 674.6755249260823, 677.6623939878205, 656.7987999437596, 664.1114978683743]"
42000,"[725.515960591302, 717.0493902701155, 707.0238363953304, 690.4185837042884, 679.2446154787684, 674.2639331658971, 662.4588720816637, 667.4485886505106, 646.6105761858945, 642.4523939368427]"
44000,"[724.1962200714202, 719.0468901231997, 708.3741622288858, 689.1959171400387, 678.9608164963596, 681.1326975545336, 670.4459983949931, 676.3696198231052, 652.0213668478759, 656.7991815552494]"
46000,"[724.0642842928424, 717.2259128460133, 704.1191009966515, 688.1029011251452, 672.5291925627878, 672.5679010119823, 657.5518318180284, 656.8410289325909, 647.4130235524497, 638.9672808309408]"
48000,"[720.0242864066583, 716.7781991283639, 701.1120041234369, 681.8391660727914, 671.0263736253951, 666.621868293961, 650.6864304724203, 656.2667995642786, 630.831259992792, 627.6194891986271]"
50000,"[719.1756346300226, 714.9946825863818, 699.8495344709963, 683.7215695894596, 673.3508599439554, 676.5531019412256, 657.3314781055544, 654.4914203437274, 638.8800765138257, 634.5283233624923]"
52000,"[718.9476410576426, 714.5441868121987, 697.3002596196914, 684.9215810060183, 666.7161763592713, 670.9558363455635, 655.8662841822539, 655.287428425768, 653.7229474163296, 631.644695343116]"
54000,"[717.5743008711629, 714.392916346852, 696.6640669377393, 680.6977834342953, 663.4209954045997, 661.5727068901683, 643.2325246368938, 643.2167886210116, 617.3239222947819, 621.1828651902968]"
56000,"[719.4835054438953, 716.0699993663533, 694.4543417503257, 685.6959518539068, 670.1401655154008, 666.6271100294381, 651.4914907659637, 653.1447432178987, 639.0875495519082, 633.5760305380993]"
58000,"[716.0556744829731, 712.6485172370851, 690.1192011064834, 676.8506922793355, 659.5968441256291, 648.4820109427079, 631.2809534916275, 634.3594305678768, 603.1871829687636, 603.9658196700201]"
60000,"[716.5273701785397, 713.6775540250613, 689.2446370481587, 676.6176252425855, 666.6680297761574, 656.1302287216878, 634.4255702783908, 629.2463220667781, 607.6757394844535, 618.7777610277534]"
62000,"[715.6941734169055, 712.1620880155217, 688.6981039108381, 672.9315234243085, 658.0786055262272, 647.3829687032585, 627.2932125339763, 624.4078858270318, 596.9279917390397, 593.4525824889679]"
64000,"[718.4610750826424, 716.0813630159917, 686.6455817382921, 675.0252649694536, 664.4514092142254, 652.3529958639127, 638.1596191923944, 628.3164508131175, 607.918587708518, 614.2852319026497]"
66000,"[716.2281258532977, 712.5174575865909, 683.4878875542407, 668.1214747611594, 657.6731923533602, 641.8443582821614, 622.3556054429109, 620.0096456421608, 587.7615843030356, 599.0443857639822]"
68000,"[719.4286511484693, 715.0066861049812, 686.8027609903464, 668.9452730103916, 657.1306809252483, 643.4348320938019, 623.0123078250681, 637.5470831342732, 611.1730441790173, 611.0779591828076]"
70000,"[718.3690525690006, 711.704270451129, 682.8242673444045, 668.7089752059281, 658.1436097721216, 649.3362063080832, 633.9061730788533, 617.3792049991839, 592.6941520180756, 603.5850710279361]"
72000,"[717.8412124254994, 712.6564914862483, 680.4318153134261, 663.5692991024557, 650.0356910690598, 642.0997870894669, 618.7132298521011, 610.1958906460546, 575.4678037915816, 592.1351921548824]"
74000,"[717.9673135567448, 710.088351481842, 679.774838327119, 662.9274121394722, 648.9988773772668, 633.182261679792, 610.8688463452645, 600.5018702076643, 568.0568614593309, 576.0047189866809]"
76000,"[718.31397170021, 708.5564138241504, 678.11358262573, 661.801150327452, 653.1144934255544, 644.1833971731725, 624.0448079979458, 612.6244759828492, 571.3253518317084, 589.6825321256194]"
78000,"[718.805421551081, 711.0580616731633, 676.0365009301158, 665.5231129515306, 662.9846816782706, 643.1251990601527, 620.3254330963435, 614.005541470876, 603.5938304123118, 597.941386338973]"
80000,"[718.2119965113101, 710.6937178530973, 676.7023833438459, 657.1678160304984, 648.6618803559118, 638.8679365870487, 620.3063719866627, 606.0528374869209, 580.9003147306319, 583.36920212975]"
82000,"[715.3643120080003, 711.3122840436467, 677.4493563272875, 659.9198650741621, 653.3973335103501, 632.5379791585601, 614.306068857077, 600.0249243069039, 561.696627257168, 573.3423796867097]"
84000,"[714.0082629996823, 709.6816757814596, 672.4292745032471, 655.9892388194412, 649.2001953394097, 631.2817175374713, 606.7126211335888, 590.815791436524, 557.7261469055824, 578.8675897576547]"
86000,"[716.9150811041151, 710.3835518136653, 676.2270851128111, 657.6223344196643, 645.8301437787871, 635.2203585082607, 605.3919903317882, 592.3281998547712, 563.2217790481373, 569.9462171465519]"
88000,"[715.858250811814, 710.8664863655897, 670.7138924791444, 658.1091168069163, 645.9433551134749, 631.7474248658428, 608.1659703362875, 598.6488270585704, 558.0473242895335, 578.3950737850299]"
90000,"[718.448463087092, 713.3222458613598, 671.4669363461248, 661.7759581200277, 647.0217052331974, 635.4481819525168, 615.3571500412812, 614.1491485053951, 589.7934102811299, 597.6025219699303]"
92000,"[716.3243312345843, 709.3846695507234, 672.0150773324805, 659.0394285941488, 645.5525533665786, 633.8475147536495, 601.4833281276949, 596.7983043304826, 567.0302004570394, 578.8904284618465]"
94000,"[719.0296166787329, 709.0038583872334, 671.7716648354723, 654.2322831783737, 642.0440635509221, 628.4230021702122, 600.4847491311112, 586.517639147196, 556.4780957014638, 562.8697070062286]"
96000,"[718.1296272990651, 706.6763568763517, 665.758338432759, 645.5096876537618, 635.2621319635606, 621.2970680426929, 591.6520224916661, 574.8424972022282, 543.0268714749387, 550.8650446162937]"
98000,"[715.8209171691044, 709.2715422062591, 667.3489023845765, 644.731070088075, 637.3680685170036, 621.1875831894399, 593.2052673098127, 581.2635355113999, 533.5473760039798, 568.5167661583758]"
