iteration,trainRMSE
0,"[793.3363198368314, 793.3423043750611, 793.3929087208284, 793.4061569106409, 794.3438432728153]"
10000,"[669.897764998184, 663.4556657156587, 649.3842297292616, 625.5497390563895, 623.7123237687598]"
20000,"[667.9864546860732, 660.745180819526, 645.1500027205374, 609.9741214242962, 617.8265823863372]"
30000,"[680.720035385151, 671.7913952908671, 640.6097927630553, 631.2382260878321, 639.064480928763]"
40000,"[665.3620172403133, 659.6146350652684, 620.1105894410994, 619.9709026684744, 621.372107386006]"
50000,"[667.6889840249272, 662.0325561074485, 631.4202607373624, 638.2684311030986, 640.4222373176817]"
60000,"[671.354095434827, 668.0634203727061, 648.6277960346812, 649.3618002583387, 632.1678603302439]"
70000,"[675.8755543556263, 670.3245466747928, 663.9234607585184, 651.6970182697659, 654.4656022279003]"
80000,"[766.5292214794513, 789.6219707791154, 1072.8730807344507, 749.3722102664274, 753.4588989532062]"
90000,"[671.1630164876346, 669.5090384963307, 673.218341815798, 665.323982548047, 655.0447588886327]"
100000,"[672.6721254072456, 793.3695184323761, 670.197840997806, 663.7909013414605, 673.1463868392595]"
110000,"[673.1357224894704, 789.935035658047, 673.9916584361854, 663.5932106071259, 656.9168439811796]"
120000,"[673.0718005616728, 789.6530974134716, 674.0061902288782, 670.7864180658881, 644.4266480433702]"
130000,"[670.1610390759662, 675.4050716642588, 788.2100593062868, 792.7766777884924, 791.4750351808243]"
140000,"[672.6218165688643, 669.924034206709, 680.7772036264766, 675.3119066069038, 655.451415331729]"
150000,"[793.0826138131002, 793.3425788824624, 677.5411461935512, 678.4334168738328, 794.2887194367632]"
160000,"[793.33661082804, 793.3425788824624, 793.4911030956936, 689.9520811172205, 685.5574046139936]"
170000,"[793.33661082804, 793.3425788824624, 793.3937995021358, 677.6603820873875, 668.3256948844435]"
180000,"[672.6313184604775, 670.5145519889037, 678.2935011893824, 784.8345716927312, 792.9596991418655]"
190000,"[672.0356378513594, 669.025402010075, 670.6038895471168, 678.4659825988184, 794.3438432728153]"
200000,"[674.9210722556858, 668.2061292198738, 667.6411643592822, 658.0982843868969, 793.4932736740197]"
210000,"[793.2199158864181, 673.7464512570536, 793.5055240439814, 790.7288155636187, 669.8669702036079]"
220000,"[790.9370343277683, 689.0517109430145, 710.6291289715127, 717.5804990175358, 766.2439119258884]"
230000,"[790.8528993471618, 673.3855872811838, 695.3710880702729, 695.534305212001, 763.4179838204881]"
240000,"[789.5240007357315, 670.490310778762, 673.9141712293892, 672.4465982280876, 673.2978428031557]"
250000,"[788.9534995865163, 668.9466067087268, 676.2307377167815, 664.566356817172, 676.5116549977301]"
260000,"[790.7671003981244, 668.0720618707226, 673.5831747492261, 644.6998652926983, 652.5616299273062]"
270000,"[789.624011295874, 667.0167261098807, 675.6861665122232, 659.5623045023609, 665.7517051900298]"
280000,"[789.7952789258103, 668.5716953987276, 670.8918239683939, 655.1818748729916, 632.0897925834823]"
290000,"[789.7469494672307, 662.2882431234186, 670.8179177192775, 653.0854572343843, 633.380516274507]"
300000,"[789.8087720746187, 661.8263141226422, 671.162040785407, 651.5713383711827, 628.9622028773634]"
310000,"[789.6901380728568, 662.482169893621, 669.3193096849923, 652.1635898388536, 641.2936149873208]"
320000,"[789.7008738949315, 667.7501381010453, 667.8279336425162, 663.6318794168362, 660.5401747001087]"
330000,"[789.3268919182705, 672.6728202498473, 675.474640455846, 662.7269814885713, 654.9032532166]"
340000,"[789.358221172516, 672.1757218052597, 672.987339488266, 676.0649212433368, 691.1624397332695]"
350000,"[789.3047246507853, 671.9903494528673, 672.0991782749594, 665.2106577557939, 644.6577488827556]"
360000,"[791.9598704033566, 672.4805736457275, 670.6446062260552, 669.9164301759383, 663.2740129035025]"
370000,"[790.6862278598039, 670.3419544323485, 670.9590483999785, 666.9888519229256, 679.2534182038901]"
380000,"[790.525078873111, 668.7035326809057, 669.4225021834641, 665.1527499828089, 653.6493936272964]"
390000,"[789.7053061784726, 669.1000464965451, 672.469000259461, 651.6511628993201, 654.4829423546923]"
400000,"[669.1535892919841, 793.3302274576296, 792.2575836070667, 793.4061767468637, 794.3438432728153]"
410000,"[786.8983534864993, 784.1099571020013, 793.1968548875684, 793.4061767468637, 794.3438432728153]"
420000,"[788.9280448693, 789.4924148189531, 792.2917875012326, 779.8529328493456, 794.3150766841061]"
430000,"[669.2855735952837, 789.4253428764474, 700.4644031424027, 786.698482205149, 794.3438432728153]"
440000,"[668.9950225527657, 789.4074409373557, 673.3831892563658, 675.7531766979546, 676.4010578818587]"
450000,"[670.8266696342247, 789.5200358687993, 674.287198047456, 675.067173207967, 667.1500114532896]"
460000,"[670.6807015153573, 789.4237523325859, 674.2894224973815, 673.816797022784, 669.6551041022832]"
470000,"[671.0095739164174, 789.0796906685806, 673.0933566993524, 678.0645362278625, 679.7038369691965]"
480000,"[670.2730625407825, 789.9624693067462, 673.7270447904774, 677.1404838268965, 671.1133065418018]"
490000,"[670.7316593236715, 789.7010527955716, 673.8899262287907, 669.1420750818858, 661.7685459059365]"
