iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,81528.43,167544.9,285.53,409.3224
2500,56035.754,146767.83,236.72,383.0903
5000,43480.2,150977.8,208.48,388.5235
7500,33720.395,160950.42,183.49,400.954
10000,28676.004,164825.95,169.07,405.739
12500,24438.26,172593.16,155.88,415.155
15000,22986.826,174327.02,151.18,416.9648
17500,22002.922,173557.23,147.9,415.975
20000,21603.553,174856.83,146.55,417.5272
22500,21420.229,175873.95,145.92,418.7397
25000,21353.094,175796.38,145.7,418.6513
27500,21320.846,175768.31,145.59,418.6159
