iteration,trainRMSE
0,"[285.53189908996836, 285.52734554137385, 285.52607307968304, 285.53967725999604, 285.5350186103013]"
2500,"[236.32807178211422, 237.77597794714526, 237.34058460500577, 235.33749622715834, 236.79949408749263]"
5000,"[210.05336159846277, 213.6001982110721, 210.1247969987272, 205.7650297618908, 202.87414433011662]"
7500,"[188.1331851919442, 191.39587101874014, 187.17029155876227, 178.68797063196885, 172.06757603195982]"
10000,"[177.93489702930123, 173.3506414516818, 177.52229633648687, 163.28843845831312, 153.24452270833183]"
12500,"[173.77603225885443, 159.9287467445131, 159.51073626849518, 145.70781482406838, 140.47472339494306]"
15000,"[168.13606467533538, 155.40291221664742, 155.18882599273928, 141.02834759373116, 136.13573338720127]"
17500,"[164.44768463214584, 151.80489977594289, 152.3789676237355, 137.97363592999048, 132.89732753474271]"
20000,"[163.06391255349646, 150.37168712013383, 151.02680190745565, 136.62986947281962, 131.6444104922125]"
22500,"[162.38694679110105, 149.7002613706017, 150.36137423059603, 136.08107345662805, 131.09394849804514]"
25000,"[162.118882073863, 149.4607085082533, 150.09850592846325, 135.89180513486747, 130.91616320005332]"
27500,"[161.97481034870611, 149.34269371602807, 149.9852958145068, 135.80777847921317, 130.83010762558666]"
