Epoch,lossTrain,lossVal,standarDeviation
1,0.09052883833646774,0.1848282814025879,0.017688341438770294
6,0.08743313699960709,0.18233567476272583,0.012075202539563179
11,0.09061317890882492,0.1812494695186615,0.011486641131341457
16,0.09259586036205292,0.18088579177856445,0.011242290027439594
21,0.09225119650363922,0.1813621073961258,0.01125818770378828
26,0.08852394670248032,0.1828814297914505,0.011786501854658127
31,0.09044747799634933,0.18219797313213348,0.011441749520599842
36,0.0900007039308548,0.181366965174675,0.010935919359326363
41,0.09239358454942703,0.18107445538043976,0.010772553272545338
46,0.08631004393100739,0.18151235580444336,0.011019011959433556
51,0.09303378313779831,0.1807466596364975,0.010581588372588158
56,0.08925291150808334,0.18140602111816406,0.01071842946112156
61,0.0880354791879654,0.182960644364357,0.01106301974505186
66,0.0821516364812851,0.18299630284309387,0.011291177943348885
71,0.08833689987659454,0.1806057244539261,0.010205200873315334
76,0.08955647051334381,0.18013876676559448,0.010187550447881222
81,0.0872749611735344,0.18012385070323944,0.010441056452691555
86,0.09001315385103226,0.18035875260829926,0.010367686860263348
91,0.09031404554843903,0.18092891573905945,0.010880248621106148
96,0.09112636744976044,0.18068866431713104,0.010547015815973282
99,0.09165433049201965,0.18093207478523254,0.011114593595266342
