Epoch,lossTrain,lossVal,stdDev
0,0.14476355910301208,0.12768931686878204,0.003000000026077032
5000,0.044884685426950455,0.04497171565890312,0.05900000035762787
10000,0.02394525706768036,0.0762324407696724,0.1850000023841858
15000,0.015430038794875145,0.09246004372835159,0.23000000417232513
20000,0.012912103906273842,0.09921032935380936,0.24699999392032623
25000,0.008469651453197002,0.10625826567411423,0.2619999945163727
30000,0.004363160114735365,0.11797469854354858,0.2809999883174896
35000,0.0025312895886600018,0.12448320537805557,0.28999999165534973
40000,0.0012610970297828317,0.12235617637634277,0.2879999876022339
45000,0.0006946860812604427,0.12442237138748169,0.2919999957084656
50000,0.0006651350995525718,0.11960425227880478,0.2840000092983246
55000,0.0005066756857559085,0.1186198815703392,0.28200000524520874
60000,0.0003871513472404331,0.11797679960727692,0.2809999883174896
65000,0.0003300145617686212,0.11678313463926315,0.27900001406669617
70000,0.00030694884480908513,0.11423669010400772,0.2750000059604645
75000,0.00027393989148549736,0.1114426925778389,0.27000001072883606
80000,0.0002269432006869465,0.10849858820438385,0.26499998569488525
85000,0.00023448889260180295,0.10722839832305908,0.2639999985694885
90000,0.00010327495692763478,0.10545453429222107,0.26100000739097595
95000,0.00013451205450110137,0.10444903373718262,0.2590000033378601
99999,0.00029908207943663,0.10457256436347961,0.257999986410141
