Incident Type,Creation Date,Response Time,Incident Number
Structural-Collapse,2017-06-26,103,5
Structural-Partial Collapse,2017-06-26,82,12
Structural-Stability Problem,2017-06-30,684,11
Structural-Falling Debris,2017-07-03,901,10
Structural-Street Collapse,2017-07-11,528,7
Structural-Street Collapse,2017-07-11,585,7
Structural-Crane,2017-07-12,233,13
Structural-Stability Problem,2017-07-18,525,11
Structural-Other,2017-07-25,197,8
Structural-Construction Accident,2017-07-25,35,1
Structural-Stability Problem,2017-07-31,306,11
Structural-Street Collapse,2017-08-05,204,7
Structural-Collapse,2017-08-07,1832,5
Structural-Other,2017-08-12,809,8
Structural-Life Safety Violations,2017-08-14,182,6
Structural-Other,2017-08-15,1366,8
Structural-Other,2017-08-15,473,8
Structural-Construction Accident,2017-08-18,18,1
Structural-Stability Problem,2017-08-18,290,11
Structural-Stability Problem,2017-08-23,1355,11
Structural-Collapse,2017-08-31,98,5
Structural-Life Safety Violations,2017-09-01,87,6
Structural-Other,2017-09-03,156,8
Structural-Scaffold,2017-09-07,109,3
Structural-Construction Accident,2017-09-19,18,1
Structural-Construction Accident,2017-09-21,213,1
Structural-Construction Accident,2017-09-21,89,1
Structural-Collapse,2017-09-24,2622,5
Structural-Partial Collapse,2017-09-28,910,12
Structural-Other,2017-09-28,741,8
Structural-Other,2017-09-29,29,8
Structural-Construction Accident,2017-09-29,35,1
Structural-Collapse,2017-09-29,2078,5
Structural-Construction Accident,2017-09-29,26,1
Structural-Bricks,2017-10-04,1599,4
Structural-Bricks,2017-10-04,259,4
Structural-Partial Collapse,2017-10-06,367,12
Structural-Falling Debris,2017-10-27,105,10
Structural-Partial Collapse,2017-10-28,163,12
Structural-Other,2017-11-02,65,8
Structural-Collapse,2017-11-06,606,5
Structural-Scaffold,2017-11-10,171,3
Structural-Scaffold,2017-11-19,426,3
Structural-Falling Debris,2017-11-19,487,10
Structural-Stability Problem,2017-11-26,78,11
Structural-Construction Accident,2017-12-01,127,1
Structural-Other,2017-12-09,147,8
Structural-Construction Accident,2017-12-12,36,1
Structural-Scaffold,2017-12-15,24,3
Structural-Scaffold,2017-12-25,314,3
Structural-Falling Debris,2017-12-25,92,10
Structural-Sidewalk Shed,2017-12-29,68,9
Structural-Other,2018-01-04,162,8
Structural-Scaffold,2018-01-04,247,3
Structural-Street Collapse,2018-01-11,441,7
Structural-Stability Problem,2018-01-24,365,11
Structural-Partial Collapse,2018-02-05,771,12
Structural-Collapse,2018-02-15,152,5
Structural-Falling Debris,2018-02-16,1365,10
Structural-Partial Collapse,2018-02-18,325,12
Structural-Confined Space,2018-02-27,1368,2
Structural-Collapse,2018-03-02,189,5
Structural-Scaffold,2018-03-02,344,3
Structural-Collapse,2018-03-02,430,5
Structural-Other,2018-03-03,734,8
Structural-Falling Debris,2018-03-06,167,10
Structural-Confined Space,2018-03-07,24,2
Structural-Scaffold,2018-03-07,624,3
Structural-Stability Problem,2018-03-07,638,11
Structural-Sidewalk Shed,2018-03-07,103,9
Structural-Sidewalk Shed,2018-03-07,80,9
Structural-Other,2018-03-09,145,8
Structural-Other,2018-03-09,929,8
Structural-Construction Accident,2018-03-23,24,1
Structural-Street Collapse,2018-03-23,302,7
Structural-Collapse,2018-03-26,444,5
Structural-Collapse,2018-03-27,1782,5
Structural-Sidewalk Shed,2018-03-28,68,9
Structural-Stability Problem,2018-04-03,118,11
Structural-Life Safety Violations,2018-04-05,170,6
Structural-Falling Debris,2018-04-13,56,10
Structural-Sidewalk Shed,2018-04-14,967,9
Structural-Other,2018-04-16,980,8
Structural-Other,2018-04-18,192,8
Structural-Street Collapse,2018-04-21,221,7
Structural-Life Safety Violations,2018-04-24,240,6
Structural-Falling Debris,2018-04-25,109,10
Structural-Falling Debris,2018-05-01,139,10
Structural-Street Collapse,2018-05-08,103,7
Structural-Scaffold,2018-05-11,150,3
Structural-Life Safety Violations,2018-05-11,2065,6
Structural-Life Safety Violations,2018-05-11,210,6
Structural-Collapse,2018-05-17,246,5
Structural-Collapse,2018-05-17,2754,5
Structural-Life Safety Violations,2018-05-21,239,6
Structural-Other,2018-05-24,126,8
Structural-Partial Collapse,2018-05-24,1629,12
Structural-Partial Collapse,2018-05-24,277,12
Structural-Sidewalk Shed,2018-05-25,211,9
Structural-Stability Problem,2018-05-25,149,11
Structural-Construction Accident,2018-05-26,6,1
Structural-Falling Debris,2018-05-27,2606,10
Structural-Other,2018-05-31,705,8
Structural-Partial Collapse,2018-06-01,314,12
Structural-Street Collapse,2018-06-03,374,7
Structural-Life Safety Violations,2018-06-06,220,6
Structural-Other,2018-06-08,167,8
Structural-Street Collapse,2018-06-16,435,7
Structural-Collapse,2018-06-20,28,5
Structural-Stability Problem,2018-07-02,218,11
Structural-Street Collapse,2018-07-02,60,7
Structural-Other,2018-07-10,1053,8
Structural-Construction Accident,2018-07-11,2424,1
Structural-Construction Accident,2018-07-12,141,1
Structural-Confined Space,2018-07-13,13,2
Structural-Stability Problem,2018-07-18,83,11
Structural-Street Collapse,2018-07-24,736,7
Structural-Scaffold,2018-08-03,898,3
Structural-Falling Debris,2018-08-04,492,10
Structural-Collapse,2018-08-06,94,5
Structural-Other,2018-08-07,16,8
Structural-Scaffold,2018-08-07,44,3
Structural-Construction Accident,2018-08-09,36,1
Structural-Street Collapse,2018-08-09,619,7
Structural-Collapse,2018-08-09,992,5
Structural-Crane,2018-08-11,271,13
Structural-Other,2018-08-13,3963,8
Structural-Other,2018-08-17,98,8
Structural-Other,2018-08-18,285,8
Structural-Other,2018-08-18,133,8
Structural-Other,2018-08-30,248,8
Structural-Falling Debris,2018-09-07,3945,10
Structural-Scaffold,2018-09-11,1151,3
Structural-Partial Collapse,2018-09-12,3378,12
Structural-Scaffold,2018-09-15,69,3
Structural-Stability Problem,2018-09-17,403,11
Structural-Other,2018-09-21,254,8
Structural-Stability Problem,2018-09-25,493,11
Structural-Collapse,2018-09-26,996,5
Structural-Sidewalk Shed,2018-10-05,351,9
Structural-Falling Debris,2018-10-05,149,10
Structural-Other,2018-10-16,392,8
Structural-Other,2018-10-19,170,8
Structural-Stability Problem,2018-10-23,261,11
Structural-Collapse,2018-10-28,1806,5
Structural-Other,2018-10-29,57,8
Structural-Other,2018-11-03,248,8
Structural-Falling Debris,2018-11-09,997,10
Structural-Confined Space,2018-11-14,498,2
Structural-Life Safety Violations,2018-11-25,2190,6
Structural-Collapse,2018-11-26,119,5
Structural-Construction Accident,2018-11-28,1234,1
Structural-Other,2018-11-29,301,8
Structural-Collapse,2018-12-06,106,5
Structural-Stability Problem,2018-12-09,49,11
Structural-Other,2018-12-14,626,8
Structural-Scaffold,2018-12-18,108,3
Structural-Falling Debris,2018-12-18,159,10
Structural-Collapse,2018-12-21,1170,5
Structural-Partial Collapse,2018-12-23,1326,12
Structural-Other,2018-12-27,156,8
Structural-Partial Collapse,2018-12-29,225,12
Structural-Collapse,2018-12-30,287,5
Structural-Scaffold,2019-01-03,231,3
Structural-Falling Debris,2019-01-09,200,10
Structural-Sidewalk Shed,2019-01-15,313,9
Structural-Scaffold,2019-01-21,1483,3
Structural-Collapse,2019-01-23,1108,5
Structural-Other,2019-01-28,163,8
Structural-Scaffold,2019-01-30,243,3
Structural-Collapse,2019-01-30,673,5
Structural-Sidewalk Shed,2019-02-05,298,9
Structural-Collapse,2019-02-08,103,5
Structural-Sidewalk Shed,2019-02-12,91,9
Structural-Other,2019-02-12,111,8
Structural-Other,2019-02-25,574,8
Structural-Sidewalk Shed,2019-02-25,412,9
Structural-Stability Problem,2019-02-26,1217,11
Structural-Partial Collapse,2019-03-02,85,12
Structural-Stability Problem,2019-03-07,366,11
Structural-Other,2019-03-08,106,8
Structural-Collapse,2019-03-18,437,5
Structural-Life Safety Violations,2019-03-22,195,6
Structural-Sidewalk Shed,2019-03-22,104,9
Structural-Falling Debris,2019-03-23,113,10
Structural-Scaffold,2019-03-31,142,3
Structural-Partial Collapse,2019-04-05,68,12
Structural-Other,2019-04-07,191,8
Structural-Scaffold,2019-04-08,117,3
Structural-Partial Collapse,2019-04-10,499,12
Structural-Construction Accident,2019-04-13,856,1
Structural-Collapse,2019-04-15,157,5
Structural-Falling Debris,2019-04-15,846,10
Structural-Collapse,2019-04-30,29,5
Structural-Partial Collapse,2019-05-01,229,12
Structural-Confined Space,2019-05-08,27,2
Structural-Confined Space,2019-05-09,15,2
Structural-Scaffold,2019-05-10,397,3
Structural-Confined Space,2019-05-14,41,2
Structural-Confined Space,2019-05-16,194,2
Structural-Stability Problem,2019-06-10,245,11
Structural-Sidewalk Shed,2019-06-19,73,9
Structural-Falling Debris,2019-06-23,391,10
Structural-Partial Collapse,2019-06-25,138,12
Structural-Construction Accident,2019-06-27,38,1
Structural-Scaffold,2019-06-29,1982,3
Structural-Scaffold,2019-07-15,79,3
Structural-Other,2019-07-16,361,8
Structural-Street Collapse,2019-07-17,350,7
Structural-Collapse,2019-07-22,266,5
Structural-Crane,2019-07-30,1052,13
Structural-Sidewalk Shed,2019-08-07,125,9
Structural-Falling Debris,2019-08-09,1445,10
Structural-Confined Space,2019-08-13,861,2
Structural-Collapse,2019-08-13,408,5
Structural-Other,2019-08-16,322,8
Structural-Partial Collapse,2019-08-27,330,12
Structural-Other,2019-08-27,47,8
Structural-Scaffold,2019-09-02,77,3
Structural-Collapse,2019-09-06,119,5
Structural-Construction Accident,2019-09-11,34,1
Structural-Scaffold,2019-09-14,1076,3
Structural-Street Collapse,2019-09-17,608,7
Structural-Scaffold,2019-09-30,198,3
Structural-Other,2019-10-16,648,8
Structural-Sidewalk Shed,2019-10-17,610,9
Structural-Construction Accident,2019-10-24,219,1
Structural-Collapse,2019-10-28,194,5
Structural-Scaffold,2019-10-30,632,3
Structural-Street Collapse,2019-10-31,859,7
Structural-Collapse,2019-10-31,119,5
Structural-Partial Collapse,2019-11-06,691,12
Structural-Scaffold,2019-11-11,220,3
Structural-Stability Problem,2019-11-15,221,11
Structural-Other,2019-11-17,320,8
Structural-Scaffold,2019-11-19,288,3
Structural-Other,2019-11-20,269,8
Structural-Other,2019-11-20,174,8
Structural-Other,2019-11-21,233,8
Structural-Scaffold,2019-12-13,112,3
Structural-Other,2019-12-16,177,8
Structural-Scaffold,2019-12-16,69,3
