Incident Type,Creation Date,Response Time,Incident Number
Law Enforcement-Suspicious Package,2017-07-09,22,1
Law Enforcement-Suspicious Package,2017-07-15,78,1
Law Enforcement-Suspicious Package,2017-07-20,151,1
Law Enforcement-Suspicious Package,2017-07-20,147,1
Law Enforcement-Device,2017-07-25,17,2
Law Enforcement-Suspicious Package,2017-08-01,92,1
Law Enforcement-Suspicious Package,2017-08-04,33,1
Law Enforcement-Suspicious Package,2017-08-07,9,1
Law Enforcement-Suspicious Package,2017-08-10,29,1
Law Enforcement-Suspicious Package,2017-08-13,107,1
Law Enforcement-Suspicious Package,2017-08-15,43,1
Law Enforcement-Suspicious Package,2017-09-07,54,1
Law Enforcement-Device,2017-09-07,33,2
Law Enforcement-Suspicious Package,2017-09-12,61,1
Law Enforcement-Device,2017-09-14,23,2
Law Enforcement-Suspicious Package,2017-09-14,50,1
Law Enforcement-Suspicious Package,2017-09-20,27,1
Law Enforcement-Suspicious Package,2017-09-29,26,1
Law Enforcement-Suspicious Package,2017-10-12,623,1
Law Enforcement-Suspicious Package,2017-10-14,109,1
Law Enforcement-Other,2017-10-31,2485,4
Law Enforcement-Suspicious Package,2017-11-05,7,1
Law Enforcement-Suspicious Package,2017-11-06,39,1
Law Enforcement-Other,2017-11-08,40,4
Law Enforcement-Suspicious Package,2017-11-11,101,1
Law Enforcement-Suspicious Package,2017-11-13,77,1
Law Enforcement-Suspicious Package,2017-11-28,46,1
Law Enforcement-Other,2017-11-29,59,4
Law Enforcement-Suspicious Package,2017-11-30,26,1
Law Enforcement-Other,2017-12-04,64,4
Law Enforcement-Other,2017-12-06,243,4
Law Enforcement-Suspicious Package,2017-12-07,91,1
Law Enforcement-Other,2017-12-13,267,4
Law Enforcement-Other,2017-12-13,170,4
Law Enforcement-Suspicious Package,2017-12-31,65,1
Law Enforcement-Suspicious Package,2017-12-31,49,1
Law Enforcement-Suspicious Package,2018-01-13,74,1
Law Enforcement-Suspicious Package,2018-01-26,80,1
Law Enforcement-Device,2018-01-27,70,2
Law Enforcement-Other,2018-02-01,36,4
Law Enforcement-Device,2018-02-01,48,2
Law Enforcement-Suspicious Package,2018-02-08,8,1
Law Enforcement-Suspicious Package,2018-02-15,123,1
Law Enforcement-Suspicious Package,2018-02-19,132,1
Law Enforcement-Suspicious Package,2018-02-20,203,1
Law Enforcement-Suspicious Package,2018-02-27,166,1
Law Enforcement-Suspicious Package,2018-03-01,31,1
Law Enforcement-Suspicious Package,2018-03-10,28,1
Law Enforcement-Suspicious Package,2018-03-12,44,1
Law Enforcement-Suspicious Package,2018-03-17,233,1
Law Enforcement-Suspicious Package,2018-03-28,50,1
Law Enforcement-Suspicious Package,2018-04-02,19,1
Law Enforcement-Suspicious Package,2018-04-03,87,1
Law Enforcement-Suspicious Package,2018-04-04,133,1
Law Enforcement-Device,2018-04-09,168,2
Law Enforcement-Suspicious Package,2018-04-09,56,1
Law Enforcement-Suspicious Package,2018-04-12,29,1
Law Enforcement-Suspicious Package,2018-04-15,17,1
Law Enforcement-Suspicious Package,2018-04-25,81,1
Law Enforcement-Suspicious Package,2018-05-03,1559,1
Law Enforcement-Suspicious Package,2018-05-03,69,1
Law Enforcement-Other,2018-05-04,289,4
Law Enforcement-Device,2018-05-06,745,2
Law Enforcement-Suspicious Package,2018-05-09,42,1
Law Enforcement-Suspicious Package,2018-05-09,33,1
Law Enforcement-Haz Mat,2018-05-22,158,3
Law Enforcement-Other,2018-06-01,128,4
Law Enforcement-Other,2018-06-01,42,4
Law Enforcement-Suspicious Package,2018-06-08,29,1
Law Enforcement-Device,2018-06-13,198,2
Law Enforcement-Suspicious Package,2018-06-14,77,1
Law Enforcement-Haz Mat,2018-06-15,81,3
Law Enforcement-Other,2018-06-22,25,4
Law Enforcement-Other,2018-07-02,109,4
Law Enforcement-Suspicious Package,2018-07-03,89,1
Law Enforcement-Suspicious Package,2018-07-04,91,1
Law Enforcement-Device,2018-07-11,32,2
Law Enforcement-Suspicious Package,2018-07-17,79,1
Law Enforcement-Haz Mat,2018-07-17,277,3
Law Enforcement-Suspicious Package,2018-07-27,1137,1
Law Enforcement-Other,2018-08-03,96,4
Law Enforcement-Haz Mat,2018-08-06,52,3
Law Enforcement-Suspicious Package,2018-08-12,53,1
Law Enforcement-Suspicious Package,2018-08-13,17,1
Law Enforcement-Suspicious Package,2018-08-15,531,1
Law Enforcement-Suspicious Package,2018-08-15,16,1
Law Enforcement-Device,2018-09-04,139,2
Law Enforcement-Suspicious Package,2018-09-06,471,1
Law Enforcement-Suspicious Package,2018-09-10,453,1
Law Enforcement-Device,2018-09-15,49,2
Law Enforcement-Suspicious Package,2018-09-27,94,1
Law Enforcement-Suspicious Package,2018-09-30,62,1
Law Enforcement-Other,2018-10-06,13,4
Law Enforcement-Suspicious Package,2018-10-16,28,1
Law Enforcement-Suspicious Package,2018-10-24,399,1
Law Enforcement-Suspicious Package,2018-10-25,150,1
Law Enforcement-Suspicious Package,2018-10-25,1972,1
Law Enforcement-Device,2018-10-25,30,2
Law Enforcement-Suspicious Package,2018-10-25,89,1
Law Enforcement-Suspicious Package,2018-10-26,195,1
Law Enforcement-Suspicious Package,2018-10-26,218,1
Law Enforcement-Other,2018-10-29,65,4
Law Enforcement-Device,2018-10-31,57,2
Law Enforcement-Suspicious Package,2018-11-02,36,1
Law Enforcement-Suspicious Package,2018-11-03,118,1
Law Enforcement-Suspicious Package,2018-11-04,88,1
Law Enforcement-Suspicious Package,2018-11-05,44,1
Law Enforcement-Suspicious Package,2018-11-07,2303,1
Law Enforcement-Suspicious Package,2018-11-11,40,1
Law Enforcement-Suspicious Package,2018-11-15,103,1
Law Enforcement-Other,2018-11-18,17,4
Law Enforcement-Device,2018-11-19,17,2
Law Enforcement-Suspicious Package,2018-11-20,55,1
Law Enforcement-Suspicious Package,2018-12-07,107,1
Law Enforcement-Other,2018-12-13,42,4
Law Enforcement-Other,2018-12-17,692,4
Law Enforcement-Suspicious Package,2018-12-31,42,1
Law Enforcement-Device,2019-01-10,52,2
Law Enforcement-Device,2019-01-16,113,2
Law Enforcement-Other,2019-01-17,79,4
Law Enforcement-Device,2019-01-21,442,2
Law Enforcement-Suspicious Package,2019-01-29,23,1
Law Enforcement-Other,2019-02-11,1650,4
Law Enforcement-Suspicious Package,2019-02-11,33,1
Law Enforcement-Suspicious Package,2019-02-22,50,1
Law Enforcement-Other,2019-02-27,69,4
Law Enforcement-Other,2019-03-08,156,4
Law Enforcement-Haz Mat,2019-03-12,89,3
Law Enforcement-Suspicious Package,2019-03-15,77,1
Law Enforcement-Suspicious Package,2019-03-17,51,1
Law Enforcement-Device,2019-04-05,103,2
Law Enforcement-Device,2019-04-23,82,2
Law Enforcement-Suspicious Package,2019-04-25,58,1
Law Enforcement-Device,2019-04-26,50,2
Law Enforcement-Suspicious Package,2019-05-06,117,1
Law Enforcement-Other,2019-05-29,169,4
Law Enforcement-Suspicious Package,2019-06-05,326,1
Law Enforcement-Other,2019-06-20,27,4
Law Enforcement-Other,2019-06-20,28,4
Law Enforcement-Suspicious Package,2019-06-28,17,1
Law Enforcement-Suspicious Package,2019-07-04,91,1
Law Enforcement-Device,2019-07-08,67,2
Law Enforcement-Other,2019-07-11,1424,4
Law Enforcement-Device,2019-07-22,295,2
Law Enforcement-Suspicious Package,2019-07-26,130,1
Law Enforcement-Suspicious Package,2019-07-29,65,1
Law Enforcement-Suspicious Package,2019-08-04,117,1
Law Enforcement-Suspicious Package,2019-08-16,310,1
Law Enforcement-Suspicious Package,2019-08-16,224,1
Law Enforcement-Suspicious Package,2019-08-21,225,1
Law Enforcement-Other,2019-08-21,36,4
Law Enforcement-Device,2019-08-22,38,2
Law Enforcement-Device,2019-08-22,197,2
Law Enforcement-Device,2019-08-23,43,2
Law Enforcement-Suspicious Package,2019-08-26,57,1
Law Enforcement-Suspicious Package,2019-08-30,41,1
Law Enforcement-Suspicious Package,2019-09-05,40,1
Law Enforcement-Suspicious Package,2019-09-06,57,1
Law Enforcement-Other,2019-09-10,921,4
Law Enforcement-Suspicious Package,2019-09-13,126,1
Law Enforcement-Suspicious Package,2019-09-15,36,1
Law Enforcement-Other,2019-09-17,187,4
Law Enforcement-Suspicious Package,2019-10-09,20,1
Law Enforcement-Suspicious Package,2019-10-18,43,1
Law Enforcement-Suspicious Package,2019-10-22,70,1
Law Enforcement-Suspicious Package,2019-10-27,119,1
Law Enforcement-Suspicious Package,2019-10-28,28,1
Law Enforcement-Suspicious Package,2019-11-06,55,1
Law Enforcement-Suspicious Package,2019-11-15,71,1
Law Enforcement-Suspicious Package,2019-11-16,75,1
Law Enforcement-Suspicious Package,2019-11-24,49,1
Law Enforcement-Other,2019-12-04,75,4
Law Enforcement-Other,2019-12-05,258,4
Law Enforcement-Device,2019-12-15,293,2
