Incident Type,Creation Date,Response Time,Incident Number
Utility-Manhole,2018-03-22,286,5
Utility-Other,2018-03-22,966,9
Utility-Water Main,2018-03-31,2833,2
Utility-Water Service Line,2018-04-12,57,6
Utility-Gas High Pressure,2018-04-20,502,8
Utility-Water Main,2018-04-25,108,2
Utility-Power Outage,2018-05-03,3139,4
Utility-Water Main,2018-05-12,281,2
Utility-Gas High Pressure,2018-05-15,598,8
Utility-Water Main,2018-05-16,66,2
Utility-Water Main,2018-05-23,554,2
Utility-Water Main,2018-05-26,1046,2
Utility-Water Main,2018-05-31,862,2
Utility-Water Main,2018-06-22,1231,2
Utility-Water Service Line,2018-06-23,841,6
Utility-Other,2018-06-25,3830,9
Utility-Power Outage,2018-07-02,360,4
Utility-Gas Main Rupture,2018-07-03,575,3
Utility-Power Outage,2018-07-09,303,4
Utility-Water Main,2018-07-10,3832,2
Utility-Other,2018-07-12,355,9
Utility-Manhole,2018-07-17,269,5
Utility-Power Outage,2018-07-27,1480,4
Utility-Gas High Pressure,2018-07-28,126,8
Utility-Power Outage,2018-08-02,677,4
Utility-Power Outage,2018-08-03,1040,4
Utility-Water Main,2018-08-06,169,2
Utility-Power Outage,2018-08-11,427,4
Utility-Other,2018-08-14,228,9
Utility-Gas Main Rupture,2018-08-15,46,3
Utility-Power Outage,2018-08-15,237,4
Utility-Other,2018-08-17,854,9
Utility-Power Outage,2018-08-17,31,4
Utility-Gas High Pressure,2018-08-30,153,8
Utility-Water Main,2018-08-31,708,2
Utility-Water Main,2018-08-31,6,2
Utility-Power Outage,2018-09-04,67,4
Utility-Water Main,2018-09-07,54,2
Utility-Gas High Pressure,2018-09-12,50,8
Utility-Power Outage,2018-09-26,98,4
Utility-Water Main,2018-10-04,617,2
Utility-Water Main,2018-10-08,1462,2
Utility-Power Outage,2018-10-16,594,4
Utility-Gas Main Rupture,2018-10-17,251,3
Utility-Power Outage,2018-10-19,132,4
Utility-Manhole,2018-11-09,427,5
Utility-Gas High Pressure,2018-11-14,547,8
Utility-Gas High Pressure,2018-11-19,121,8
Utility-Water Main,2018-11-24,619,2
Utility-Other,2018-12-11,2910,9
Utility-Other,2018-12-17,247,9
Utility-Power Outage,2018-12-20,65,4
Utility-Power Outage,2018-12-21,148,4
Utility-Water Main,2018-12-28,3634,2
Utility-Gas High Pressure,2019-01-03,981,8
Utility-Water Main,2019-01-08,148,2
Utility-Water Main,2019-01-09,1100,2
Utility-Gas High Pressure,2019-01-14,218,8
Utility-Power Outage,2019-01-20,153,4
Utility-Water Main,2019-01-23,2197,2
Utility-Water Main,2019-01-31,743,2
Utility-Other,2019-01-31,157,9
Utility-Power Outage,2019-02-01,389,4
Utility-Water Service Line,2019-02-02,226,6
Utility-Water Main,2019-02-04,3711,2
Utility-Power Outage,2019-02-06,172,4
Utility-Gas High Pressure,2019-02-07,289,8
Utility-Gas High Pressure,2019-02-07,16,8
Utility-Gas High Pressure,2019-02-19,151,8
Utility-Water Main,2019-02-20,450,2
Utility-Power Outage,2019-03-19,957,4
Utility-Other,2019-03-26,92,9
Utility-Water Main,2019-03-26,1841,2
Utility-Other,2019-03-30,892,9
Utility-Gas High Pressure,2019-04-01,210,8
Utility-Other,2019-04-06,480,9
Utility-Water Main,2019-04-10,3965,2
Utility-Gas Main Rupture,2019-04-16,309,3
Utility-Power Outage,2019-04-19,853,4
Utility-Other,2019-04-24,82,9
Utility-Gas High Pressure,2019-04-25,833,8
Utility-Gas High Pressure,2019-04-30,79,8
Utility-Other,2019-05-23,804,9
Utility-Other,2019-05-24,173,9
Utility-Other,2019-05-26,507,9
Utility-Water Main,2019-05-29,2615,2
Utility-Water Main,2019-05-30,828,2
Utility-Gas Main Rupture,2019-06-05,464,3
Utility-Water Main,2019-06-07,1388,2
Utility-Gas Main Rupture,2019-06-13,85,3
Utility-Other,2019-06-16,331,9
Utility-Gas High Pressure,2019-06-17,1288,8
Utility-Gas Main Rupture,2019-06-19,620,3
Utility-Water Main,2019-06-21,1763,2
Utility-Gas High Pressure,2019-06-22,199,8
Utility-Water Main,2019-06-23,2653,2
Utility-Gas Main Rupture,2019-06-24,777,3
Utility-Manhole,2019-06-25,855,5
Utility-Other,2019-06-27,166,9
Utility-Other,2019-06-28,1211,9
Utility-Water Main,2019-06-30,140,2
Utility-Power Outage,2019-07-05,322,4
Utility-Other,2019-07-06,1017,9
Utility-Water Service Line,2019-07-09,1260,6
Utility-Other,2019-07-09,603,9
Utility-Power Outage,2019-07-17,604,4
Utility-Power Outage,2019-07-17,121,4
Utility-Power Outage,2019-07-20,2382,4
Utility-Power Outage,2019-07-20,175,4
Utility-Power Outage,2019-07-20,97,4
Utility-Power Outage,2019-07-21,167,4
Utility-Power Outage,2019-07-21,358,4
Utility-Power Outage,2019-07-22,161,4
Utility-Power Outage,2019-07-22,305,4
Utility-Power Outage,2019-07-22,158,4
Utility-Power Outage,2019-07-23,132,4
Utility-Water Main,2019-07-26,1045,2
Utility-Electric Feeder Cable,2019-08-02,2950,1
Utility-Water Service Line,2019-08-08,1682,6
Utility-Gas High Pressure,2019-08-09,118,8
Utility-Water Main,2019-08-09,670,2
Utility-Gas High Pressure,2019-08-09,1504,8
Utility-Gas Service Line,2019-08-10,285,7
Utility-Power Outage,2019-08-14,794,4
Utility-Water Main,2019-08-19,115,2
Utility-Gas High Pressure,2019-08-21,266,8
Utility-Water Main,2019-08-22,1279,2
Utility-Gas High Pressure,2019-08-26,342,8
Utility-Water Main,2019-08-27,396,2
Utility-Gas Service Line,2019-08-29,107,7
Utility-Gas High Pressure,2019-08-29,214,8
Utility-Water Main,2019-09-02,1047,2
Utility-Manhole,2019-09-06,198,5
Utility-Gas High Pressure,2019-09-12,994,8
Utility-Water Main,2019-09-16,597,2
Utility-Gas High Pressure,2019-09-16,308,8
Utility-Gas High Pressure,2019-09-16,153,8
Utility-Gas High Pressure,2019-09-19,111,8
Utility-Gas Main Rupture,2019-09-24,36,3
Utility-Other,2019-09-27,489,9
Utility-Water Service Line,2019-09-30,3371,6
Utility-Gas High Pressure,2019-09-30,170,8
Utility-Other,2019-10-01,1519,9
Utility-Water Main,2019-10-07,2961,2
Utility-Gas High Pressure,2019-10-16,333,8
Utility-Water Service Line,2019-10-17,600,6
Utility-Water Service Line,2019-10-28,474,6
Utility-Power Outage,2019-10-29,509,4
Utility-Water Main,2019-11-02,125,2
Utility-Water Main,2019-11-02,2151,2
Utility-Other,2019-11-04,325,9
Utility-Power Outage,2019-11-10,377,4
Utility-Gas Main Rupture,2019-11-10,81,3
Utility-Gas Main Rupture,2019-11-10,9,3
Utility-Gas High Pressure,2019-11-12,843,8
Utility-Water Main,2019-11-13,3577,2
Utility-Water Main,2019-11-14,178,2
Utility-Water Main,2019-11-20,1961,2
Utility-Water Main,2019-11-23,2613,2
Utility-Power Outage,2019-12-01,44,4
Utility-Power Outage,2019-12-09,183,4
Utility-Water Main,2019-12-10,1679,2
Utility-Gas High Pressure,2019-12-11,249,8
Utility-Power Outage,2019-12-11,94,4
Utility-Gas High Pressure,2019-12-12,118,8
Utility-Other,2019-12-12,1707,9
Utility-Water Service Line,2019-12-15,153,6
Utility-Power Outage,2019-12-17,389,4
