Incident Type,Creation Date,Response Time,Incident Number
Utility-Power Outage,2014-03-20,88,4
Utility-Manhole,2014-03-20,578,5
Utility-Power Outage,2014-03-29,39,4
Utility-Power Outage,2014-04-06,103,4
Utility-Water Main,2014-04-07,807,2
Utility-Gas Main Rupture,2014-04-14,59,3
Utility-Gas Main Rupture,2014-04-16,797,3
Utility-Water Main,2014-04-19,1092,2
Utility-Water Service Line,2014-04-23,77,6
Utility-Gas Service Line,2014-04-28,97,7
Utility-Power Outage,2014-05-01,560,4
Utility-Gas Service Line,2014-05-07,212,7
Utility-Gas Main Rupture,2014-05-12,189,3
Utility-Manhole,2014-05-12,1104,5
Utility-Gas High Pressure,2014-05-13,89,8
Utility-Gas Service Line,2014-05-15,2033,7
Utility-Water Main,2014-05-22,1369,2
Utility-Gas Service Line,2014-05-28,0,7
Utility-Water Main,2014-05-30,215,2
Utility-Gas High Pressure,2014-06-03,67,8
Utility-Gas Main Rupture,2014-06-16,3633,3
Utility-Water Main,2014-06-18,214,2
Utility-Power Outage,2014-06-19,134,4
Utility-Water Main,2014-06-20,1411,2
Utility-Water Main,2014-06-21,410,2
Utility-Other,2014-06-24,74,9
Utility-Other,2014-07-05,51,9
Utility-Water Main,2014-07-14,519,2
Utility-Water Main,2014-07-19,1251,2
Utility-Power Outage,2014-07-23,126,4
Utility-Gas High Pressure,2014-07-29,386,8
Utility-Other,2014-07-29,15,9
Utility-Power Outage,2014-07-29,242,4
Utility-Other,2014-07-29,113,9
Utility-Water Main,2014-07-29,27,2
Utility-Water Main,2014-08-01,686,2
Utility-Gas Main Rupture,2014-08-13,145,3
Utility-Water Main,2014-08-18,283,2
Utility-Water Main,2014-08-18,445,2
Utility-Water Main,2014-09-14,34,2
Utility-Water Main,2014-09-17,554,2
Utility-Water Main,2014-09-18,837,2
Utility-Gas Service Line,2014-09-24,112,7
Utility-Water Main,2014-10-07,90,2
Utility-Other,2014-10-08,541,9
Utility-Water Main,2014-10-09,254,2
Utility-Gas Main Rupture,2014-10-09,317,3
Utility-Water Main,2014-10-10,2136,2
Utility-Power Outage,2014-10-10,310,4
Utility-Water Main,2014-10-13,608,2
Utility-Other,2014-10-18,650,9
Utility-Water Main,2014-10-21,1863,2
Utility-Gas Service Line,2014-10-28,192,7
Utility-Power Outage,2014-10-29,207,4
Utility-Other,2014-10-30,35,9
Utility-Power Outage,2014-10-31,144,4
Utility-Water Main,2014-11-01,548,2
Utility-Water Main,2014-11-02,1773,2
Utility-Power Outage,2014-11-02,143,4
Utility-Water Service Line,2014-11-05,1831,6
Utility-Water Main,2014-11-05,608,2
Utility-Gas High Pressure,2014-11-10,81,8
