iteration,trainRMSE
310,"[2676.5017031138477, 2675.577998133365, 2675.490822582183, 2675.3777646012645, 2675.388325150181, 2675.8910369243586, 2675.97806716553, 2675.9897075170193, 2675.889223690916, 2675.9104951554787]"
320,"[2674.1659727099054, 2673.648238369429, 2673.626923220297, 2673.5104847252683, 2673.5216034223276, 2673.9790331583836, 2674.0749602948463, 2674.0873643047516, 2673.9720476713605, 2673.994725226857]"
330,"[2672.1966742655704, 2672.0896865348395, 2672.176133352118, 2672.067553771136, 2672.0763555837, 2672.4875735856804, 2672.5926485629125, 2672.6058352244318, 2672.475273995771, 2672.4993954873285]"
340,"[2670.2475536720176, 2670.696434558171, 2671.064145856545, 2671.004177371333, 2671.065957504302, 2671.4575187069718, 2671.5767612426494, 2671.5914212233142, 2671.445431157028, 2671.4710301372556]"
350,"[2668.6108017200713, 2669.488972385136, 2670.3990275746332, 2670.446573552799, 2670.565741473582, 2670.9377612277913, 2671.0712155662654, 2671.087322645197, 2670.926448922286, 2670.953462088243]"
360,"[2667.8843019304754, 2669.025540874034, 2669.0927050974838, 2669.2321292308065, 2668.8141819730704, 2669.3593548629565, 2669.8223039344484, 2670.3251796817294, 2670.2736593361187, 2670.5505652028132]"
370,"[2667.880738091741, 2667.495207000041, 2667.8199504766467, 2668.126938116455, 2667.7394225609687, 2668.3722733450004, 2668.7544350334074, 2668.9966503468377, 2669.2759654359747, 2669.686335102873]"
380,"[2671.8147199385944, 2669.923022694379, 2669.3307420801184, 2669.5520861500136, 2668.461911184391, 2669.109274120445, 2669.737837395125, 2670.22763784914, 2670.16866185751, 2669.3149010601446]"
390,"[2669.6532627201495, 2667.985605449019, 2667.707434671946, 2667.540241299074, 2666.4354820591457, 2667.464502086545, 2668.0630305276068, 2668.886916519214, 2668.78306026263, 2668.971127521947]"
400,"[2670.6727448247407, 2668.7047249267875, 2668.2769005981163, 2667.7750330960603, 2666.2645934927436, 2667.19627996322, 2667.480443691284, 2668.3040573990766, 2668.1507134664434, 2667.934129785682]"
410,"[2666.953566229715, 2665.0899287667157, 2664.325466952887, 2663.627221361445, 2662.6203290802646, 2663.734634313155, 2664.251320121116, 2665.193518828965, 2665.5825525540954, 2666.5124745251155]"
420,"[2665.7646961600467, 2664.1073050529294, 2663.2654850841154, 2662.3082949498103, 2661.412198859597, 2662.362470256106, 2663.3309270636796, 2665.013863676251, 2664.588961153496, 2664.6589978459847]"
430,"[2664.643772806977, 2662.68140507417, 2661.313838109357, 2660.672082036627, 2659.5036596631276, 2660.5571817758655, 2661.771620093322, 2662.543648133724, 2662.841619760545, 2663.6457886619582]"
440,"[2663.19560583574, 2660.1934841899542, 2659.119810823188, 2659.100842028271, 2658.1907468403206, 2659.5165953960814, 2661.0710850372097, 2662.4188300482883, 2662.364783794274, 2663.3679555108106]"
450,"[2673.3700285304926, 2667.867393011281, 2664.7609928351453, 2663.4905964694967, 2662.0387716135842, 2663.4278690524443, 2665.1220400159277, 2665.781934498585, 2665.763402826289, 2666.2183375417953]"
460,"[2665.7928700666203, 2660.9112332211334, 2659.207095956173, 2659.2002112864793, 2658.635466059649, 2659.423299362121, 2660.6950315954114, 2662.7570056312265, 2662.697316339353, 2662.5570266066325]"
470,"[2670.623247453497, 2663.716565449906, 2661.103926975654, 2661.3415165034266, 2659.5704873828004, 2660.708320352865, 2663.2931024587397, 2664.079716022308, 2664.3786680420762, 2665.769300884728]"
480,"[2666.319545376141, 2661.999755862925, 2660.028337091396, 2659.756644476441, 2658.484833592837, 2660.016550549427, 2661.702455697512, 2661.9019223396417, 2662.2789668618248, 2663.3531218192566]"
490,"[2664.366286013468, 2659.4852594683553, 2659.226196756863, 2658.2871924970445, 2657.838218287729, 2658.9037028124576, 2659.8540817121902, 2661.8700401843153, 2661.465821000912, 2663.3814832572366]"
500,"[2667.652269824659, 2666.657386660362, 2662.02939253176, 2655.0502126073757, 2655.1953954513056, 2656.9005725357993, 2657.899525221718, 2660.5589118999646, 2659.6728384885814, 2661.261330160107]"
510,"[2664.0155366733948, 2659.7524434867623, 2658.8397726621115, 2658.985242019097, 2658.058175124788, 2659.6978955869145, 2660.180014342661, 2662.972102692416, 2662.003515810973, 2663.1835565887927]"
520,"[2662.857564154434, 2658.228589585672, 2656.925708678656, 2655.6905186868894, 2654.270751737255, 2657.0935670815898, 2657.5852876512413, 2659.9632859795315, 2658.433128031579, 2660.803773389865]"
530,"[2665.3538666553077, 2666.0815636590446, 2657.610228688131, 2659.24549237569, 2655.201388624643, 2660.3466357899756, 2656.842382393686, 2659.1970679477163, 2658.4979918832078, 2660.1607734423446]"
540,"[2663.1655842116206, 2658.69741272651, 2653.032123473015, 2652.9016598007997, 2652.52855373959, 2655.0608887605636, 2655.636808516501, 2658.8196695013644, 2657.9209096446125, 2659.6778376253596]"
550,"[2661.786165255084, 2661.3446868041883, 2654.437311821486, 2652.4577211298124, 2651.9785156051657, 2655.0726960977104, 2654.3484263694463, 2659.7622134834623, 2656.342018014659, 2657.8733451663634]"
560,"[2661.672839197295, 2656.222609522797, 2655.180315047887, 2656.2501196035346, 2654.890358160379, 2655.082652073682, 2657.5631909459785, 2658.1417568592533, 2657.7992032881248, 2659.003731654363]"
570,"[2658.612915041336, 2655.356825265124, 2653.364649898762, 2651.816698151143, 2651.3835427825825, 2652.346602348466, 2653.6986805121405, 2655.962410972567, 2655.413205489097, 2656.600648976238]"
580,"[2658.451633492211, 2653.0669208790673, 2651.279433877082, 2650.682949263112, 2651.4254662388958, 2651.1098647928407, 2652.786597711434, 2655.5734588259565, 2654.8493911342575, 2656.619075191834]"
590,"[2659.3380569274445, 2664.564369574785, 2652.5960745790594, 2649.5721682911903, 2648.8694324800895, 2651.304464906044, 2650.0721444459264, 2658.0961108434863, 2653.5315592406896, 2655.226942900237]"
600,"[2659.6432415487334, 2652.8380392035465, 2650.0709781080213, 2650.357664619265, 2650.590343449549, 2649.3134016795684, 2651.690224392156, 2653.298261144083, 2653.843652802731, 2655.082339362807]"
610,"[2656.909220298752, 2651.5966670822354, 2648.9056067070223, 2649.3267025659597, 2648.837676704675, 2648.8634187303433, 2650.9983740596826, 2652.4857354588166, 2651.743190692974, 2651.1935856476252]"
620,"[2657.6589719758986, 2657.301860142306, 2649.466932802468, 2649.5808184632906, 2648.779961841779, 2651.468415890515, 2649.62952929919, 2654.9426350415015, 2651.5927928728593, 2653.211145044634]"
