Epoch,lossTrain,lossVal,stdDev
0,0.18654009699821472,0.1932697743177414,0.0020000000949949026
5000,0.026664989069104195,0.03758962079882622,0.11900000274181366
10000,0.02305900864303112,0.0498550608754158,0.1599999964237213
15000,0.024357004091143608,0.05098981782793999,0.16599999368190765
20000,0.01930689811706543,0.05008397996425629,0.1599999964237213
25000,0.016237525269389153,0.05202321708202362,0.164000004529953
30000,0.014799365773797035,0.05803046002984047,0.18199999630451202
35000,0.012795635499060154,0.055300984531641006,0.17499999701976776
40000,0.012270675040781498,0.061666470021009445,0.1899999976158142
45000,0.01029292307794094,0.06428537517786026,0.19599999487400055
50000,0.009181962348520756,0.06565643101930618,0.19900000095367432
55000,0.007957257330417633,0.0690486878156662,0.20800000429153442
60000,0.006876856088638306,0.07075995951890945,0.21199999749660492
65000,0.005671733524650335,0.0716448426246643,0.21299999952316284
70000,0.004666811786592007,0.07309257984161377,0.21799999475479126
75000,0.0036875037476420403,0.07610488682985306,0.22599999606609344
80000,0.0029390708077698946,0.07997121661901474,0.23399999737739563
85000,0.002457418479025364,0.08266445249319077,0.23800000548362732
90000,0.0020252340473234653,0.08328238129615784,0.23800000548362732
95000,0.0017304237699136138,0.08490727841854095,0.2409999966621399
99999,0.0015655704773962498,0.08431291580200195,0.23899999260902405
