iteration,trainRMSE
0,"[910.9348969046929, 911.0420864930064, 910.5963749644728, 910.5684709474077, 912.0772798799543]"
1000,"[747.4111163748502, 746.6302820038582, 746.12161205931, 747.9940797810353, 749.2810805006735]"
2000,"[734.3265246110227, 729.0872317975766, 731.0993171045473, 731.5132770690801, 738.7312051050719]"
3000,"[730.339355483903, 722.0079574318503, 724.5212069878642, 724.3082447000443, 734.8942008745904]"
4000,"[724.9823806808016, 713.2683968924414, 716.5134500685612, 716.8106685448001, 729.5634584328856]"
5000,"[722.2975625715948, 708.9679714606743, 713.961386080407, 714.0018653942377, 725.5782047928753]"
6000,"[721.327318961991, 703.6428652212907, 711.9489116706264, 711.1070582520335, 721.1644080029239]"
7000,"[715.0781466314339, 701.0643891550263, 707.2945365029505, 714.9438167477506, 709.580883713399]"
