iteration,trainRMSE
0,"[1030.9681240112484, 1030.4856577419598, 1030.7598090063489, 1029.200712246748, 1027.796012178833, 1027.145484772687, 1018.8237980077694, 1023.9071759533546, 1023.4117945287585, 1023.9429925549207]"
10,"[1026.576438349055, 1019.646656167318, 1018.1350995870199, 1016.1296260481836, 1014.6337429683153, 1013.9601542015955, 1005.6058606689571, 1010.6831838210949, 1010.2028036384168, 1010.7167826586838]"
20,"[1012.3436702698392, 1008.8364647857126, 1007.9501634751439, 1006.2319050373583, 1004.8219869112581, 1004.1738311745569, 995.8109336846201, 1000.8906834450377, 1000.4196819275339, 1000.9240669562049]"
30,"[1005.1619276779702, 1002.1493904936482, 1001.6847781980035, 1000.0807760448834, 998.703772362871, 998.0642231629814, 989.6932517636196, 994.7726845247561, 994.3071078439252, 994.805049662007]"
40,"[997.3695145683976, 995.2108948136695, 994.9423475947951, 993.375177447527, 992.0122644847398, 991.3758791556498, 982.9941674688758, 988.0719236319775, 987.6119443366753, 988.102346055019]"
50,"[989.4855694508808, 987.82252614673, 987.6207317642456, 986.0737675139925, 984.7228287840284, 984.092034439382, 975.7033293543445, 980.7822410561354, 980.3282866600836, 980.8101727648526]"
60,"[981.552315964686, 979.7824419053471, 979.5378268024846, 977.9935420534993, 976.6542555846084, 976.0262127009422, 967.6209596639204, 972.6866662358468, 972.234266146492, 972.7063384232092]"
70,"[973.0471096615656, 971.1715320789679, 970.9372950146237, 969.4015300591243, 968.0764755127885, 967.4497769253164, 959.0321219371092, 964.1001929021135, 963.6616422059916, 964.1231650666767]"
80,"[964.0388776396687, 962.3418364922505, 962.1318750081037, 960.6100240036076, 959.3002791003727, 958.6775604306864, 950.2481708928125, 955.311094246383, 954.8810298679869, 955.3311614250887]"
90,"[954.9116558811226, 953.1496220797337, 952.9258928000936, 951.4140858539711, 950.1203863554281, 949.5019908322477, 941.0613065845153, 946.1177817837433, 945.6969944898502, 946.1346905921023]"
100,"[945.0586460888462, 943.541798421229, 943.3482563981222, 941.8538298581486, 940.5785814608317, 939.9650982249335, 931.5139136039521, 936.562394475717, 936.1517139893938, 936.5758797291375]"
110,"[934.6749451704136, 933.575570697298, 933.4393597382295, 931.9673946146113, 930.712827647148, 930.1048488711522, 921.6443242092414, 926.6829904915749, 926.2833202333948, 926.692792065277]"
120,"[924.1428022541434, 923.3406795876489, 923.2474389482837, 921.7970075657335, 920.5646343058605, 919.9626866939634, 911.494393079989, 916.5211291816923, 916.1334157718414, 916.5269553094428]"
130,"[913.4049176344769, 912.8788599436194, 912.8187094062969, 911.3904135996092, 910.1820438414844, 909.5867357652555, 901.1127546905373, 906.125070919335, 905.7503298975049, 906.1266224412363]"
140,"[902.8196207874136, 902.2773200495918, 902.2084219211096, 900.7983070682255, 899.6153178513092, 899.0272323702752, 890.5501855580325, 895.5452210689323, 895.1845386117878, 895.5421840213025]"
150,"[892.1005708107083, 891.5451774026789, 891.4675508582701, 890.0775631068306, 888.9222747365964, 888.3421966145435, 879.8653815249475, 884.8398051827573, 884.494338981447, 884.8318517291287]"
160,"[881.311126627771, 880.746539790054, 880.6603051721379, 879.2926161316108, 878.1675219069675, 877.5962560940513, 869.12373783543, 874.0737247420248, 873.7447057017914, 874.0605139262943]"
170,"[870.5205773191059, 869.9515602434416, 869.856938450359, 868.513896486228, 867.4216647546368, 866.8601399621962, 858.396847144093, 863.3180165199711, 863.0067506959529, 863.2991950488436]"
180,"[859.805021086527, 859.2371370917695, 859.1344288278291, 857.8186355449724, 856.7621674494885, 856.2113687563713, 847.7631528945426, 852.6505102551954, 852.3583790532709, 852.6257139363294]"
190,"[849.2473399093745, 848.6870462733923, 848.5767337888718, 847.2909795062203, 846.2733490959491, 845.7343873202192, 837.3081831921227, 842.156062342854, 841.8845211257008, 842.1249181067571]"
200,"[838.9378755485978, 838.3926416383566, 838.275331157189, 837.0226805565953, 836.0471787366615, 835.521208791076, 827.1251221609836, 831.9271305546744, 831.6777043742892, 831.8892594189504]"
210,"[828.97433839677, 828.4527804589056, 828.3292343470293, 827.1129741550648, 826.1830844854685, 825.6713877539572, 817.3148407873417, 822.0638110328315, 821.8380876767251, 822.0188318908357]"
220,"[819.4621067437573, 818.9739950294879, 818.8451299081697, 817.668844078118, 816.7882067976237, 816.2921366699803, 807.9859301913316, 812.6738798044954, 812.473499367326, 812.6214142075312]"
230,"[810.5142120052975, 810.0705207629034, 809.937501302511, 808.8049125351874, 807.9773932714434, 807.4984033844593, 799.2548114624768, 803.8729121856604, 803.6995518140741, 803.8125904208069]"
240,"[802.2508263021231, 801.863788354096, 801.7279264736896, 800.6430502590273, 799.8725754808228, 799.4122148528487, 791.2450310258747, 795.7836398302499, 795.6389873529653, 795.7151006939974]"
250,"[794.7989691414662, 794.4820969921419, 794.3449366202501, 793.3119285701039, 792.6025590969077, 792.1624054244621, 784.0869877266066, 788.5356238319096, 788.4213812255222, 788.4585518515667]"
260,"[788.2914822463451, 788.0594816859508, 787.9227666620383, 786.9459477949977, 786.3017538005313, 785.8834802712139, 777.9166627602375, 782.2640889018755, 782.1818994077629, 782.1781802018085]"
270,"[782.8657319911872, 782.7346068526152, 782.6003276630095, 781.6840860044048, 781.109095475607, 780.7143715938611, 772.8744108417359, 777.1087647767706, 777.0602060672787, 777.0137660042823]"
280,"[778.6616836891413, 778.6490714364791, 778.5193868276959, 777.6681330959419, 777.1662656918452, 776.7967690993956, 769.1031409571625, 773.2120517328763, 773.1985894152974, 773.1077631056547]"
290,"[775.8179755564246, 775.9453276203692, 775.8226173778706, 775.0406668897745, 774.6156323257801, 774.2730212379514, 766.7461716976545, 770.7169499077088, 770.7398952035442, 770.6032352861617]"
300,"[774.4598279836267, 774.7643595427265, 774.6511804558071, 773.9426794232056, 773.597864838663, 773.283715406202, 765.9447048489643, 769.7646081826349, 769.8250745068193, 769.6414043005758]"
310,"[774.1687661316845, 774.7569359249126, 774.6490372799856, 773.9728813258791, 773.6630931314022, 773.3614929809979, 766.1087780320437, 769.8607318186386, 769.9374277920276, 769.7334945028533]"
320,"[773.7139305045893, 774.8803857126738, 774.7718195821507, 774.0452850648104, 773.6825410001351, 773.3620622002826, 765.9801246860179, 769.8341275669998, 769.8862991289477, 769.7130017466877]"
330,"[773.3590287428884, 774.6932728715731, 774.6142245993826, 773.9204301708143, 773.5934788179018, 773.2859186061161, 765.9913878122433, 769.7761670021152, 769.845070653273, 769.6508610251464]"
340,"[773.041541915191, 774.6992532572103, 774.6191392673157, 773.9201979503324, 773.585273410168, 773.2746491792101, 765.9596737510614, 769.7605727825446, 769.8256175817896, 769.6362266806867]"
350,"[772.6436094647388, 774.6135662339096, 774.6172877580025, 773.9212556107344, 773.5852413986659, 773.2745848716146, 765.9591569173008, 769.7604196017837, 769.8253766513772, 769.6360956438705]"
360,"[772.4761684899083, 774.6503862193052, 774.638877521464, 773.9336178814698, 773.5917178897523, 773.2785959310826, 765.9465051907017, 769.760931595015, 769.8227206102408, 769.6373973813598]"
370,"[772.505201223218, 774.5959434912505, 774.6190633816484, 773.9323338940368, 773.611997687004, 773.3066634425559, 766.0281603695362, 769.8003369555186, 769.8722430688795, 769.674285540445]"
380,"[771.5816976237186, 774.524762711002, 774.642995967569, 773.9392205354651, 773.5954205512335, 773.2816439362538, 765.9451153120464, 769.7630538401714, 769.8239949460025, 769.6397313522805]"
390,"[770.5410860800032, 774.5574022089546, 774.6309486423075, 773.9276455250726, 773.5881218246832, 773.2758585942362, 765.9496173964586, 769.7594163493444, 769.8223208649702, 769.6356037705051]"
400,"[769.4780059197075, 774.5082861055865, 774.6128405289136, 773.9200374547969, 773.5929578444864, 773.2852495038773, 765.9900192014247, 769.7753501346004, 769.8441222790585, 769.6500766893201]"
410,"[768.854180771163, 774.4715627359154, 774.6177539293438, 773.9221928694036, 773.5965045256538, 773.2894572586048, 765.9983244742292, 769.7804267531944, 769.8499692492646, 769.6549620722091]"
420,"[769.0706893777254, 774.7999812186758, 775.0064037159043, 774.2560055647381, 773.872973434923, 773.5455121864902, 766.1162209880237, 770.008084680739, 770.0509227966238, 769.8893108214612]"
