Epoch,lossTrain,lossVal,stdDev
0,0.20872682332992554,0.20416221022605896,0.0020000000949949026
5000,0.007645731326192617,0.00684315524995327,0.0010000000474974513
10000,0.006539718713611364,0.01426171325147152,0.0820000022649765
15000,0.006354652810841799,0.017681825906038284,0.10100000351667404
20000,0.005868925247341394,0.01596037484705448,0.09300000220537186
25000,0.008392182178795338,0.009092462249100208,0.03400000184774399
30000,0.007566262502223253,0.011453945189714432,0.06499999761581421
35000,0.0071985553950071335,0.009364722296595573,0.04899999871850014
40000,0.0076774172484874725,0.012193177826702595,0.06700000166893005
45000,0.005616761744022369,0.01663476601243019,0.09399999678134918
50000,0.005362247116863728,0.017861392349004745,0.10100000351667404
55000,0.005275929346680641,0.01590907759964466,0.09099999815225601
60000,0.00516076385974884,0.01496452558785677,0.08799999952316284
65000,0.005014244467020035,0.013886458240449429,0.08399999886751175
70000,0.004893866367638111,0.013540777377784252,0.08299999684095383
75000,0.005180589854717255,0.013306542299687862,0.07999999821186066
80000,0.004680004436522722,0.015688400715589523,0.0949999988079071
85000,0.004624427296221256,0.015055614523589611,0.09000000357627869
90000,0.0047575063072144985,0.013812610879540443,0.08100000023841858
95000,0.004541207570582628,0.01470689196139574,0.0860000029206276
99999,0.004519286565482616,0.014752809889614582,0.0860000029206276
