iteration,trainRMSE
0,"[285.424471689599, 285.4585024846024, 285.475670253989, 285.5015403269841, 285.5128497189387]"
500,"[262.69247736309734, 261.38953518497016, 261.98296414224905, 262.8604270937941, 263.4647338993015]"
1000,"[257.5571844575068, 257.28425602835375, 257.10592685632577, 256.72348888863195, 256.52399759943324]"
1500,"[253.19561133545798, 252.48117516038766, 251.68109569900773, 251.08690705707374, 252.3348820314212]"
2000,"[249.2909275376658, 249.36850519920768, 248.761978031903, 247.01940037298766, 247.17894254400366]"
2500,"[246.2157425739935, 245.2887103183153, 243.8567269024991, 243.01811876178385, 241.98942063296613]"
3000,"[242.92355957264556, 242.37687205008473, 241.4740379414023, 240.3203785957291, 237.93987401119625]"
3500,"[240.9836963719031, 240.6201648056477, 239.6202653981348, 238.12391555976447, 234.7979654050058]"
4000,"[238.3734267823961, 238.27171707472934, 236.90890005624263, 234.6823169641528, 229.00289254527107]"
4500,"[236.93831543436457, 235.3755015442688, 233.02040945509356, 231.18857079367658, 223.70676970070906]"
