Incident Type,Creation Date,Response Time,Year,Week,Day
Fire-10-77 (Residential High Rise),2012-01-07,1444.0,2012,2012-01,7
Fire-2nd Alarm,2012-01-13,4921.400000000009,2012,2012-02,13
Fire-3rd Alarm,2012-01-15,276.0,2012,2012-03,15
Fire-3rd Alarm,2012-01-16,916.0,2012,2012-03,16
Fire-3rd Alarm,2012-01-17,527.0,2012,2012-03,17
Fire-Hospital,2012-01-24,71.0,2012,2012-04,24
Fire-1st Alarm,2012-01-25,149.0,2012,2012-04,25
Fire-2nd Alarm,2012-01-29,184.0,2012,2012-05,29
Fire-Collapse,2012-02-04,146.0,2012,2012-05,35
Fire-Nursing Home,2012-02-10,59.0,2012,2012-06,41
Fire-2nd Alarm,2012-02-11,4921.400000000009,2012,2012-06,42
Fire-1st Alarm,2012-02-12,76.0,2012,2012-07,43
Fire-Haz Mat,2012-02-13,283.0,2012,2012-07,44
Fire-Manhole,2012-02-14,1376.0,2012,2012-07,45
Fire-3rd Alarm,2012-02-15,4921.400000000009,2012,2012-07,46
Fire-1st Alarm,2012-02-16,110.0,2012,2012-07,47
Fire-4th Alarm,2012-02-20,589.0,2012,2012-08,51
Fire-10-77 (Residential High Rise),2012-02-23,4921.400000000009,2012,2012-08,54
Fire-2nd Alarm,2012-02-24,184.0,2012,2012-08,55
Fire-10-77 (Residential High Rise),2012-03-03,107.0,2012,2012-09,63
Fire-4th Alarm,2012-03-07,4883.0,2012,2012-10,67
Fire-1st Alarm,2012-03-07,72.0,2012,2012-10,67
Fire-1st Alarm,2012-03-08,1551.0,2012,2012-10,68
Fire-4th Alarm,2012-03-08,232.0,2012,2012-10,68
Fire-1st Alarm,2012-03-12,148.0,2012,2012-11,72
Fire-1st Alarm,2012-03-14,95.0,2012,2012-11,74
Fire-3rd Alarm,2012-03-14,1475.0,2012,2012-11,74
Fire-1st Alarm,2012-03-21,658.0,2012,2012-12,81
Fire-3rd Alarm,2012-03-23,930.0,2012,2012-12,83
Fire-3rd Alarm,2012-03-25,2212.0,2012,2012-13,85
Fire-Manhole,2012-03-25,126.0,2012,2012-13,85
Fire-3rd Alarm,2012-03-27,269.0,2012,2012-13,87
Fire-Fatal Elevator Incident,2012-03-28,349.0,2012,2012-13,88
Fire-3rd Alarm,2012-03-28,385.0,2012,2012-13,88
Fire-10-76 (Commercial High Rise),2012-04-04,1036.0,2012,2012-14,95
Fire-10-76 (Commercial High Rise),2012-04-09,82.0,2012,2012-15,100
Fire-Brush,2012-04-09,2769.0,2012,2012-15,100
Fire-Hospital,2012-04-09,30.0,2012,2012-15,100
Fire-4th Alarm,2012-04-09,345.0,2012,2012-15,100
Fire-1st Alarm,2012-04-13,69.0,2012,2012-15,104
Fire-Brush Fire 2nd Alarm Fire,2012-04-13,2665.0,2012,2012-15,104
Fire-10-77 (Residential High Rise),2012-04-14,277.0,2012,2012-15,105
Fire-4th Alarm,2012-04-14,4921.400000000009,2012,2012-15,105
Fire-3rd Alarm,2012-04-16,532.0,2012,2012-16,107
Fire-School,2012-04-16,37.0,2012,2012-16,107
Fire-2nd Alarm,2012-04-16,311.0,2012,2012-16,107
Fire-1st Alarm,2012-04-24,149.0,2012,2012-17,115
Fire-Sensitive Location,2012-04-27,1126.0,2012,2012-17,118
Fire-2nd Alarm,2012-04-27,133.0,2012,2012-17,118
Fire-Sensitive Location,2012-04-29,1317.0,2012,2012-18,120
Fire-2nd Alarm,2012-04-30,4921.400000000009,2012,2012-18,121
Fire-Sensitive Location,2012-05-08,119.0,2012,2012-19,129
Fire-3rd Alarm,2012-05-12,292.0,2012,2012-19,133
Fire-10-76 (Commercial High Rise),2012-05-15,494.0,2012,2012-20,136
Fire-1st Alarm,2012-05-19,4921.400000000009,2012,2012-20,140
Fire-10-77 (Residential High Rise),2012-05-22,133.0,2012,2012-21,143
Fire-1st Alarm,2012-05-23,168.0,2012,2012-21,144
Fire-1st Alarm,2012-05-28,29.0,2012,2012-22,149
Fire-Sensitive Location,2012-05-31,119.0,2012,2012-22,152
Fire-3rd Alarm,2012-06-01,864.0,2012,2012-22,153
Fire-10-77 (Residential High Rise),2012-06-01,142.0,2012,2012-22,153
Fire-Explosion,2012-06-01,179.0,2012,2012-22,153
Fire-10-76 (Commercial High Rise),2012-06-01,172.0,2012,2012-22,153
Fire-1st Alarm,2012-06-02,3154.0,2012,2012-22,154
Fire-2nd Alarm,2012-06-09,85.0,2012,2012-23,161
Fire-House of Worship - Synagogue,2012-06-10,75.0,2012,2012-24,162
