,,,,,,,,,,,Loss tr,Loss te,RMSE,Min-max,std,,,,
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0,0.026,645.0,0.47,0.0096,20-05-08_16-39,20-05-03_12-36,./Data/With_Features/fire.csv,35001
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0,0.026,643.0,0.13,0.0123,20-05-08_16-40,20-05-03_12-36,./Data/With_Features/fire.csv,37501
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0,0.027,648.0,0.58,0.0185,20-05-08_16-41,20-05-03_12-36,./Data/With_Features/fire.csv,40001
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0,0.027,647.0,0.68,0.0202,20-05-08_16-42,20-05-03_12-36,./Data/With_Features/fire.csv,42501
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0,0.026,643.0,0.42,0.0116,20-05-08_16-43,20-05-03_12-36,./Data/With_Features/fire.csv,45001
lstm_unguided,50000,1,15,5,0.01,10,RB,872,160,sigmoid,0,0.027,647.0,0.27,0.0083,20-05-08_16-45,20-05-03_12-36,./Data/With_Features/fire.csv,47501
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.049,875.0,0.98,0.1496,20-05-08_16-46,20-05-03_13-44,./Data/With_Features/fire.csv,5001
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.05,886.0,0.93,0.1571,20-05-08_16-47,20-05-03_13-44,./Data/With_Features/fire.csv,7501
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.05,883.0,0.91,0.1563,20-05-08_16-48,20-05-03_13-44,./Data/With_Features/fire.csv,10001
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.05,885.0,0.92,0.1565,20-05-08_16-49,20-05-03_13-44,./Data/With_Features/fire.csv,12501
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.05,884.0,0.93,0.1541,20-05-08_16-50,20-05-03_13-44,./Data/With_Features/fire.csv,15001
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.049,877.0,0.97,0.1529,20-05-08_16-51,20-05-03_13-44,./Data/With_Features/fire.csv,17501
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.048,873.0,0.97,0.1507,20-05-08_16-52,20-05-03_13-44,./Data/With_Features/fire.csv,20001
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.048,866.0,0.98,0.147,20-05-08_16-53,20-05-03_13-44,./Data/With_Features/fire.csv,22501
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.048,868.0,0.99,0.1481,20-05-08_16-54,20-05-03_13-44,./Data/With_Features/fire.csv,25001
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.048,866.0,0.99,0.1469,20-05-08_16-55,20-05-03_13-44,./Data/With_Features/fire.csv,27501
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.047,862.0,0.99,0.1428,20-05-08_16-56,20-05-03_13-44,./Data/With_Features/fire.csv,30001
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.047,863.0,0.99,0.1473,20-05-08_16-57,20-05-03_13-44,./Data/With_Features/fire.csv,32501
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.047,864.0,1.0,0.1485,20-05-08_16-58,20-05-03_13-44,./Data/With_Features/fire.csv,35001
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.048,866.0,1.0,0.1482,20-05-08_16-59,20-05-03_13-44,./Data/With_Features/fire.csv,37501
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.042,815.0,0.99,0.1206,20-05-08_17-00,20-05-03_13-44,./Data/With_Features/fire.csv,40001
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.047,864.0,1.0,0.148,20-05-08_17-01,20-05-03_13-44,./Data/With_Features/fire.csv,42501
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.047,863.0,0.99,0.1479,20-05-08_17-02,20-05-03_13-44,./Data/With_Features/fire.csv,45001
lstm_unguided,50000,1,15,5,0.001,50,RB,872,160,sigmoid,0,0.047,861.0,0.99,0.1466,20-05-08_17-03,20-05-03_13-44,./Data/With_Features/fire.csv,47501
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.03,688.0,0.49,0.0597,20-05-08_17-04,20-05-03_15-37,./Data/With_Features/fire.csv,5001
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.035,742.0,0.92,0.0931,20-05-08_17-05,20-05-03_15-37,./Data/With_Features/fire.csv,7501
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.042,807.0,0.97,0.1213,20-05-08_17-06,20-05-03_15-37,./Data/With_Features/fire.csv,10001
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.048,865.0,0.99,0.1428,20-05-08_17-07,20-05-03_15-37,./Data/With_Features/fire.csv,12501
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.053,911.0,1.0,0.1591,20-05-08_17-08,20-05-03_15-37,./Data/With_Features/fire.csv,15001
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.059,957.0,1.0,0.1742,20-05-08_17-09,20-05-03_15-37,./Data/With_Features/fire.csv,17501
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.062,988.0,1.0,0.1856,20-05-08_17-10,20-05-03_15-37,./Data/With_Features/fire.csv,20001
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.066,1015.0,1.0,0.1946,20-05-08_17-11,20-05-03_15-37,./Data/With_Features/fire.csv,22501
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.068,1033.0,1.0,0.1994,20-05-08_17-12,20-05-03_15-37,./Data/With_Features/fire.csv,25001
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.066,1020.0,1.0,0.1963,20-05-08_17-13,20-05-03_15-37,./Data/With_Features/fire.csv,27501
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.065,1011.0,1.0,0.1943,20-05-08_17-14,20-05-03_15-37,./Data/With_Features/fire.csv,30001
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.066,1019.0,1.0,0.1959,20-05-08_17-16,20-05-03_15-37,./Data/With_Features/fire.csv,32501
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.065,1012.0,1.0,0.1937,20-05-08_17-17,20-05-03_15-37,./Data/With_Features/fire.csv,35001
lstm_unguided,50000,1,15,5,0.0001,100,RB,872,160,sigmoid,0,0.065,1012.0,1.0,0.1936,20-05-08_17-18,20-05-03_15-37,./Data/With_Features/fire.csv,37501
