iteration,trainRMSE
0,"[1971.8628502835425, 1971.6726754815559, 1972.1191465132233, 1972.4935746756546, 1972.5509441380805]"
10,"[1967.6497785587408, 1952.1570730531664, 1945.044675045947, 1943.9890359292356, 1943.9356619161338]"
20,"[1964.6432005562724, 1938.454664683511, 1935.3344352853994, 1935.4068203487504, 1935.423859858998]"
30,"[1961.5907212586826, 1929.0032853385178, 1927.307767459277, 1927.238102770138, 1927.2545813206013]"
40,"[1955.4445982200748, 1920.436180409032, 1919.6632481363806, 1919.6412535933791, 1919.6657452523089]"
50,"[1945.6101322814698, 1911.7170320590067, 1911.3345018287737, 1911.3517040997328, 1911.3828496263543]"
60,"[1928.4600984743709, 1903.1055582635252, 1902.8864313714512, 1902.9165893281918, 1902.9453070238658]"
70,"[1911.9844155889148, 1894.4866500962637, 1894.3619913587193, 1894.4022364776627, 1894.429592784012]"
80,"[1894.270575826447, 1885.7516686968777, 1885.7416450190724, 1885.79921633737, 1885.8277651458225]"
90,"[1881.501643703016, 1876.9554734460703, 1877.0258284660235, 1877.089594087991, 1877.1160814691234]"
100,"[1873.0440465984161, 1868.1795001403227, 1868.2283783677678, 1868.2888430831294, 1868.3123909807127]"
110,"[1864.5204007893763, 1859.362169391261, 1859.386194898806, 1859.4434177572643, 1859.4641585725594]"
120,"[1855.9395437913765, 1850.5507345916428, 1850.5546494554383, 1850.6085202186784, 1850.6259060316418]"
130,"[1847.2966745389542, 1841.7787300809082, 1841.7697253657955, 1841.8203195844521, 1841.8344308480373]"
140,"[1838.5141649194948, 1833.0796979131096, 1833.0587258192872, 1833.1059660346975, 1833.11651160629]"
150,"[1828.584986689901, 1824.4922797556526, 1824.4592747020433, 1824.5031056855603, 1824.5101818052055]"
160,"[1819.4422051031447, 1816.0646883747168, 1816.0246048336444, 1816.0648573135811, 1816.0680366522677]"
170,"[1809.1075760394413, 1807.79903648777, 1807.7421451392388, 1807.7789136252463, 1807.7783698945589]"
180,"[1799.3768481926081, 1799.788973712278, 1799.720584713458, 1799.7537227435796, 1799.7490698184]"
190,"[1791.6320064318838, 1791.6359906192365, 1791.4927439667458, 1791.5131768827814, 1791.5029114861386]"
200,"[1784.1887412660014, 1784.1920053332058, 1784.036546649492, 1784.0531917294447, 1784.0384630900946]"
210,"[1777.1011983137298, 1777.1072442406658, 1776.9418725893877, 1776.9547845049244, 1776.9357064235521]"
220,"[1770.4357725065352, 1770.447514606715, 1770.2735662646346, 1770.2827964370817, 1770.259219301029]"
230,"[1764.2509810486129, 1764.2724517870163, 1764.091565642686, 1764.0972311033422, 1764.0690214995566]"
240,"[1758.6053068321364, 1758.6407852360378, 1758.4548194624035, 1758.4570885611734, 1758.4241371252592]"
250,"[1753.5563990980665, 1753.6122917142266, 1753.4231557320763, 1753.42219347464, 1753.3844295766962]"
260,"[1749.0782069634395, 1749.2482595600097, 1749.0577995066244, 1749.053829917122, 1749.011165015548]"
270,"[1745.3473270532083, 1745.610608992844, 1745.4214218563877, 1745.4146053443342, 1745.3669505377875]"
280,"[1742.3438533550668, 1742.7631692957511, 1742.57794241531, 1742.5685160381142, 1742.5158265034815]"
290,"[1740.2363712347315, 1740.770824595217, 1740.5919434566617, 1740.5802160841984, 1740.5224325656848]"
300,"[1738.9935588027297, 1739.6955835129074, 1739.5287647085859, 1739.515348131203, 1739.4524993700954]"
310,"[1738.6058314376044, 1739.4144834940782, 1739.3835173428786, 1739.3921064412953, 1739.295478978587]"
320,"[1738.4934112955198, 1739.355753793708, 1739.2793299004204, 1739.270047965827, 1739.2275861497099]"
330,"[1737.9341285507526, 1739.2035304579815, 1738.6350715114613, 1738.8427166793472, 1739.523522766296]"
340,"[1738.2205474103728, 1739.9685529921603, 1738.7975877066572, 1738.9069098553027, 1739.5644004352248]"
350,"[1737.8970947770233, 1739.555481393813, 1738.5525795875851, 1738.410759536607, 1739.4400340061038]"
360,"[1738.3440360422767, 1739.7261049094088, 1738.8943793018332, 1738.8362414403998, 1739.508344428868]"
370,"[1737.7847539202487, 1739.3099991100917, 1738.5747041978673, 1738.5045102600955, 1739.0947853727296]"
380,"[1737.3847501143975, 1738.9522703596795, 1738.4281653866428, 1738.439538435542, 1739.0306321571684]"
390,"[1737.1623397439425, 1738.6400935575987, 1738.2914851730823, 1738.413418427172, 1739.2356675509986]"
400,"[1737.206524095389, 1738.8370417168642, 1738.179216611939, 1738.248261539048, 1738.9276144399414]"
410,"[1737.1054918969492, 1739.0890399683337, 1737.2257109601676, 1737.6455220973855, 1738.7280376145347]"
420,"[1737.1736714340095, 1739.7931036731745, 1737.6030087747486, 1737.2253707186867, 1738.6577369988022]"
430,"[1736.7014958632449, 1738.7840862560304, 1737.738305000636, 1737.5559268318655, 1738.8034795305366]"
