iteration,trainRMSE
0,"[287.97277767391694, 287.9193166563816, 289.213488276486, 289.06978431354395, 289.00383356107545, 288.95083080357176, 289.1189789056074, 289.1545736164657, 289.1767695349403, 289.2220868788755]"
100,"[265.8086026739464, 265.8215390955953, 266.77321600580177, 266.7958436890821, 266.79612919681773, 266.80118951614037, 266.8458844681633, 266.81365702809717, 266.821791013833, 266.8151002099829]"
200,"[264.26652893655455, 264.62322203240547, 265.47088880990407, 265.70321417524093, 265.77600188799295, 265.73993733755003, 265.993917470168, 265.992497822415, 266.01337183972277, 266.14208447396175]"
300,"[262.5702765911233, 262.8947990321385, 263.62152199902835, 263.34990862960785, 263.44929614558345, 263.35630534990133, 263.7533669162331, 264.49688267747297, 264.4919787665152, 264.8123542666433]"
400,"[260.8021542355322, 261.02195760629434, 261.5166835296562, 261.5797999598865, 261.5787188284343, 261.3423537067865, 261.3861358380022, 262.2781686657753, 262.095388748868, 263.9516663257117]"
500,"[259.26487443667884, 259.34440346224005, 259.7920050218315, 258.3019737258854, 258.5984132580526, 259.00520075809465, 259.5075313582232, 260.1132883513531, 260.2148168816355, 262.12928605903613]"
600,"[257.4526794218683, 256.04016708231086, 257.213139206007, 256.1776461008272, 256.55302042838986, 256.9754714737216, 257.43798045437995, 258.1820349287832, 258.4402913109114, 259.9515690438728]"
700,"[256.9164069854225, 254.50470574523027, 253.89672713607044, 254.1759746810231, 254.2567500313265, 254.25702050549148, 254.57711422726973, 255.3863870446821, 255.48443254304624, 258.66224850660427]"
800,"[255.35782720179483, 253.11366741042215, 254.43861093152728, 254.08974372206015, 254.67954531503887, 253.43013257534759, 253.51769729175294, 253.26110699975587, 252.48169873748108, 253.94874525175146]"
900,"[253.61039522999914, 251.05985864100117, 251.69838806019757, 250.28771202253114, 249.88588790794208, 250.07865607571551, 249.64338016354088, 250.76733741595902, 250.1068128536719, 252.58270834973882]"
