iteration,trainRMSE
0,"[285.4843608036395, 285.4646974623281, 285.4585765129903, 285.46882551111617, 285.47256360872944]"
2500,"[63.371351425327084, 54.12101916768474, 56.859955337520944, 51.877567829266106, 54.73561915796629]"
5000,"[40.946007205718416, 35.53530509923311, 34.16767869317113, 34.54068569519373, 32.839222876922825]"
7500,"[33.45301251146721, 27.694800738437543, 22.826829792018625, 24.75942332609124, 23.350408781701848]"
10000,"[31.32705858014006, 25.58139663108874, 19.916503298426232, 22.04183614053211, 20.953149357565753]"
12500,"[36.416546375971116, 32.763729901848485, 35.018773629645025, 31.384695315305866, 78.7685217491611]"
