iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,81435.56,167846.2,285.37,409.6904
1000,66961.87,144584.78,258.77,380.2392
2000,62201.348,146539.42,249.39,382.7936
3000,57769.938,147865.25,240.34,384.5015
4000,52668.27,151915.88,229.44,389.7222
5000,45945.848,154636.42,214.27,393.1844
6000,37406.152,156945.06,193.36,396.0678
7000,31502.637,160022.0,177.34,399.9974
8000,17017.857,172641.3,130.29,415.1344
9000,10579.713,184563.4,102.6,429.4984
10000,11533.116,168986.55,106.83,410.749
11000,7793.4746,179350.83,86.73,422.7718
