iteration,trainRMSE
0,"[285.42976047530004, 285.3798584783652, 285.3493111166765, 285.3444666155028, 285.3423972777688]"
1000,"[258.6294572726742, 257.84486091818536, 259.0133436730563, 258.6719098312096, 259.68377283275885]"
2000,"[252.73024736446786, 249.48851843562133, 249.15570074043015, 248.8597853448875, 246.73437740024403]"
3000,"[244.54952896001092, 240.05538982536217, 240.54672603215758, 239.61225205179875, 236.93650796731677]"
4000,"[234.97366629903817, 230.58827634344817, 232.04354919875195, 229.67381787810302, 219.90760529661625]"
5000,"[218.54149773411677, 217.48278817646863, 218.83386851923123, 213.23456567607312, 203.24205880739126]"
6000,"[200.75198317016344, 190.1119733237709, 194.02827660248852, 191.92573517805502, 189.9913939571779]"
7000,"[178.06889355498325, 168.42302236601228, 173.51491806094825, 176.82299300082815, 189.87867181326646]"
8000,"[141.9049861839891, 130.96267887304552, 124.272873213967, 128.82134674019684, 125.486826110134]"
9000,"[115.39059122304938, 102.0142472028676, 94.82361776858951, 102.091933543002, 98.70042832307672]"
10000,"[101.72353246158927, 97.96046611361513, 95.51805832771497, 116.29083065949378, 122.67076719228025]"
11000,"[90.46333157225553, 76.7769818425318, 72.80151140878638, 117.0412019951732, 76.56391232174173]"
