20-04-02_22-27,RN,2,10_5,law,0.01,15,50000,2,0,434.6074,1.6651294572,1.6109096771
20-04-04_13-16,RN,2,10_5,law,0.01,15,100000,2,0,392.142,1.3389103774,1.2743155639
20-04-04_15-10,RN,2,10_5,law,0.01,15,10000,2,0,421.4974,1.6504883226254752,1.5893883196071297
20-04-04_15-40,RN,2,10_5,law,0.01,15,20000,2,0,438.8951,1.8013948292936774,1.7352336438205183
20-04-04_16-14,RN,2,10_5,law,0.01,15,30000,2,0,403.1875,1.5562798377895728,1.4918980863622144
20-04-22_17-42,R,1,10_5,utility,0.01,5,70000,2,0,1057.8052,0.0,1.918622908071407,1.7965085862982346,Adam
20-04-22_23-03,R,1,10_5,utility,0.01,5,70000,2,0,872.1821,214.67060334277417,5.434742826023646,4.877045234681502,Adam
20-04-22_23-47,R,1,10_5,utility,0.01,5,70000,2,0,857.9237,151.46748280848504,5.3264125014301715,4.756551859595296,Adam
20-04-23_00-09,R,1,10_5,utility,0.01,5,70000,2,0,857.9799,123.41031134773482,5.182556443100718,4.619375322805924,Adam
20-04-23_00-27,R,1,10_5,utility,0.01,5,70000,2,0,885.6041,255.2309567210844,5.5692394094398745,4.989435243497331,Adam
20-04-23_00-42,R,1,10_5,utility,0.01,5,70000,2,0,906.3264,121.71937823607043,4.385032017621052,3.940020051896358,Adam
20-04-23_01-01,R,1,10_5,utility,0.01,10,70000,2,0,854.0291,125.68065299045296,5.184819031318513,4.628018487769618,Adam
20-04-23_01-12,R,1,10_5,utility,0.01,10,70000,2,0,869.5753,250.43357838436484,5.470858671288591,4.880046364055962,Adam
20-04-23_01-23,R,1,10_5,utility,0.01,10,70000,2,0,889.2986,379.8976164125966,5.5197089849647485,4.9422304706770985,Adam
20-04-23_01-34,R,1,10_5,utility,0.01,10,70000,2,0,873.098,152.7639841531229,5.298751027472743,4.710351330007276,Adam
20-04-23_01-45,R,1,10_5,utility,0.01,10,70000,2,0,901.3212,384.51092912083885,5.077552876362773,4.54024501879279,Adam
20-04-23_01-57,R,1,10_5,utility,0.01,15,70000,2,0,913.6299,342.0614965003775,4.746454039177802,4.324945400525712,Adam
20-04-23_02-12,R,1,10_5,utility,0.01,15,70000,2,0,1013.046,485.35594779787107,4.739567862085638,4.381867511466053,Adam
20-04-23_02-27,R,1,10_5,utility,0.01,15,70000,2,0,926.1719,407.7226574334343,5.624476862139529,5.0136805048800985,Adam
20-04-23_02-42,R,1,10_5,utility,0.01,15,70000,2,0,1028.1515,605.5169533240986,5.983922794213112,5.335554894363076,Adam
20-04-23_02-57,R,1,10_5,utility,0.01,15,70000,2,0,925.8955,351.7336656807858,5.781462017206836,5.124191860810255,Adam
20-04-23_03-12,R,1,10_5,utility,0.01,5,100000,2,0,863.9174,203.3930370399769,5.314557995977244,4.740914427927822,Adam
20-04-23_03-25,R,1,10_5,utility,0.01,5,100000,2,0,872.8524,157.56928423480605,5.458792722964362,4.891740398204085,Adam
20-04-23_03-37,R,1,10_5,utility,0.01,5,100000,2,0,941.7805,260.765845690091,3.9977991563943207,3.6628091866937793,Adam
20-04-23_03-49,R,1,10_5,utility,0.01,5,100000,2,0,951.1027,324.57768956340783,4.178078528826008,3.7183426466112044,Adam
20-04-23_04-02,R,1,10_5,utility,0.01,5,100000,2,0,877.2214,235.8069936679434,5.028390368777885,4.592917803736548,Adam
20-04-23_04-14,R,1,10_5,utility,0.01,5,80000,2,0,855.6374,75.73461196171633,5.211300530280253,4.662020197972315,Adam
20-04-23_04-24,R,1,10_5,utility,0.01,5,80000,2,0,865.1497,160.430380187617,5.149276717542917,4.624156260660165,Adam
20-04-23_04-34,R,1,10_5,utility,0.01,5,80000,2,0,912.5809,0.0,4.50396537852414,4.032565260054966,Adam
20-04-23_04-44,R,1,10_5,utility,0.01,5,80000,2,0,856.9043,114.17307649814826,5.253653555432356,4.693105574887442,Adam
20-04-23_04-53,R,1,10_5,utility,0.01,5,80000,2,0,849.1566,76.91948363355257,5.239312649242133,4.680587517875455,Adam
20-06-02_13-37,F,1,10_5,test_week,0.01,5,10000,2,0,0.2647,0.1549002410686944,0.8737893145912118,0.15185344147183202,Adam
