iteration,trainRMSE
0,"[285.2797131991519, 285.32243187798326, 285.3286698231541, 285.3464018885564, 285.3619961429434]"
2500,"[210.30962057686088, 208.77826126495262, 208.8311667673164, 206.3895389160803, 206.10231751012628]"
5000,"[99.81146692442664, 92.00784422833357, 102.32398562224128, 91.90458441690765, 79.5700153251158]"
7500,"[66.22786353873353, 64.73062790691384, 58.42377026787629, 53.88390140309222, 39.715945484545216]"
10000,"[61.07823310256397, 62.17992274015805, 63.8070005267449, 50.27005881122253, 36.39217382620422]"
12500,"[51.035466230309474, 54.07394062177473, 59.28757086200559, 45.73436501266805, 31.735117192468362]"
15000,"[52.690548071425795, 54.09575311511247, 53.89923187526377, 50.13368128383524, 39.57916700760397]"
17500,"[46.38836625581181, 48.77155967108277, 49.428691714020175, 32.95455513330368, 34.627062908259596]"
20000,"[75.87045551576848, 66.2817877426872, 79.75805219903123, 58.3428951426592, 65.79024653301843]"
22500,"[43.10525457141163, 33.28143867636858, 32.25793752537672, 28.13744511329344, 33.84700453187257]"
25000,"[43.16592099195377, 36.31835259643829, 34.02789611921424, 30.062827179268023, 34.27415413546628]"
27500,"[61.79680397948068, 55.40057280088864, 58.912252711966914, 45.815029018132584, 39.570339410368604]"
30000,"[46.66732183556365, 46.28616771182225, 35.466074589263094, 31.320579927167888, 32.969566995896066]"
32500,"[41.16662638738082, 29.933952375674515, 28.570144554663713, 29.431484087952782, 20.14964004853158]"
35000,"[67.00483233776569, 73.15696664880079, 60.110297365503804, 58.80202014276459, 56.938364550607105]"
37500,"[55.17321822008416, 43.312290885363645, 43.58977380018453, 50.418251347905944, 51.15100773048634]"
40000,"[57.06696773112333, 61.44487445493166, 54.32526857691711, 43.32753722314049, 64.66052714563085]"
42500,"[38.69218877482641, 27.53648791371954, 26.38654837202515, 20.525529839736656, 17.8408067498328]"
45000,"[36.81012629907121, 27.099744907331, 25.224681929367947, 17.24267883553355, 17.318565540049672]"
47500,"[36.90576047463757, 26.945289132552528, 26.68193104784951, 19.569999184029356, 19.95466544413597]"
