Epoch,lossTrain,lossVal,stdDev
0,0.2052650898694992,0.20743334293365479,0.004000000189989805
5000,0.02552405185997486,0.025633499026298523,0.035999998450279236
10000,0.01617465354502201,0.035344623029232025,0.10300000011920929
15000,0.011001321487128735,0.044157180935144424,0.14000000059604645
20000,0.0041643655858933926,0.05694960430264473,0.1809999942779541
25000,0.001969328848645091,0.060359351336956024,0.1889999955892563
30000,0.0011060581309720874,0.06167371943593025,0.19200000166893005
35000,0.0010733806993812323,0.06369979679584503,0.19599999487400055
40000,0.000592035474255681,0.06343653053045273,0.19499999284744263
45000,0.000526131596416235,0.06336469203233719,0.1940000057220459
50000,0.00030124661861918867,0.06186743080615997,0.1899999976158142
55000,0.0002484457509126514,0.062444496899843216,0.19099999964237213
60000,0.00019276711100246757,0.06148643046617508,0.18799999356269836
65000,0.00015710644947830588,0.06132809445261955,0.18799999356269836
70000,0.00022122297377791256,0.05954306572675705,0.18400000035762787
75000,0.0008007748983800411,0.05896421894431114,0.18199999630451202
80000,0.00013046512322034687,0.05883583053946495,0.1809999942779541
85000,9.481282904744148e-05,0.05759362131357193,0.17800000309944153
90000,5.970403435640037e-05,0.05718525871634483,0.1770000010728836
95000,0.000129787833429873,0.055955495685338974,0.17299999296665192
99999,3.946756987716071e-05,0.05623678117990494,0.17399999499320984
