iteration,trainRMSE
0,"[1597.1626716149606, 1597.0553246957033, 1597.0143332558155, 1597.327814052415, 1601.1941097268816, 1601.9565414134004, 1601.9680820289068, 1607.53865476348, 1607.4631191921956, 1607.5163747498157]"
10,"[1588.0636892839723, 1583.8749588936707, 1582.321871892352, 1582.1811462280857, 1585.8902283478012, 1586.5931728190933, 1586.5873907445014, 1592.1169493310924, 1591.99046107903, 1591.9871932115282]"
20,"[1578.7280248971376, 1576.6697145058224, 1576.3677770821869, 1576.5776670831683, 1580.3792539908618, 1581.1107304616069, 1581.1204631875873, 1586.6536476443002, 1586.535323664569, 1586.5351005590487]"
30,"[1573.764456463057, 1571.465730014199, 1571.2213708680872, 1571.444633635038, 1575.243842128423, 1575.9701681375072, 1575.9800137809566, 1581.5085388353104, 1581.3933170129233, 1581.3931352503469]"
40,"[1567.8708087390432, 1566.190511407532, 1566.0163318776026, 1566.2456728200295, 1570.0392073527, 1570.7592809930254, 1570.7689573514936, 1576.2924405472188, 1576.1803732501287, 1576.1802153476185]"
50,"[1562.3337034062358, 1560.7225716393357, 1560.5603135564077, 1560.7868068176022, 1564.572794147802, 1565.2859399317267, 1565.2953891916661, 1570.813311240385, 1570.7046109805228, 1570.7044801277934]"
60,"[1556.6903031696552, 1555.011711911719, 1554.839982846766, 1555.0602652309726, 1558.8375970908362, 1559.5432559236756, 1559.55245171454, 1565.0642356316848, 1564.95913269293, 1564.9590288266759]"
70,"[1550.670486971161, 1549.035187581398, 1548.8665621811429, 1549.0822801280149, 1552.8505250297617, 1553.548230818477, 1553.5571615080128, 1559.0622042090679, 1558.960926670503, 1558.9608515433713]"
80,"[1544.0206971840923, 1542.7526752448243, 1542.6414005590652, 1542.8597574921434, 1546.6191844458265, 1547.3085549536127, 1547.3172174441393, 1552.814862736339, 1552.7176481089073, 1552.7176034476524]"
90,"[1537.2861166964567, 1536.2452126757125, 1536.1709369483913, 1536.3885789507783, 1540.1379772277369, 1540.818384657968, 1540.826756990144, 1546.3162665198859, 1546.2233728791207, 1546.2233605700399]"
100,"[1530.315994196875, 1529.3851321236164, 1529.3287341992743, 1529.5426373077578, 1533.2805313686163, 1533.9511569001536, 1533.959206103987, 1539.4395954671543, 1539.3513766000642, 1539.3513992773126]"
110,"[1523.2718539499497, 1522.3343703965777, 1522.2777031014307, 1522.4847894813404, 1526.2099329838356, 1526.8701391967961, 1526.877829831979, 1532.3482262081043, 1532.2649474080317, 1532.2650070275226]"
120,"[1515.9407197999024, 1515.050226421099, 1515.0011097006054, 1515.202137975485, 1518.9136616267567, 1519.5628064981695, 1519.5701352550423, 1525.0295537974064, 1524.9515071263331, 1524.951605789055]"
130,"[1508.4412338104385, 1507.5800601861567, 1507.5350699524706, 1507.7291846771793, 1511.42595820253, 1512.063389291031, 1512.0703205534232, 1517.5177208792156, 1517.4451934762558, 1517.4453332852975]"
140,"[1500.5004426542605, 1499.894407826733, 1499.894072824658, 1500.086442918009, 1503.7681124872777, 1504.3932607485779, 1504.3997961845134, 1509.8340587830241, 1509.7673424136876, 1509.7675254819876]"
150,"[1492.6743859320081, 1492.1048571045603, 1492.1087571336, 1492.2933455870732, 1495.9580034359267, 1496.5700888097913, 1496.5761902713675, 1501.9961026318229, 1501.9354974084106, 1501.9357259015212]"
160,"[1484.7391707901534, 1484.1839238214486, 1484.1905100794932, 1484.3666550858063, 1488.0129914674883, 1488.6112879577238, 1488.6169327348869, 1494.0211793884823, 1493.9669951506448, 1493.9672712961312]"
170,"[1476.6905209525123, 1476.1505525899354, 1476.159952174088, 1476.327220982873, 1479.953896293703, 1480.5376607849769, 1480.5428260161639, 1485.9299847836314, 1485.8825396737657, 1485.8828657497022]"
180,"[1468.5498313255082, 1468.0270281407668, 1468.0393756337544, 1468.1973253774934, 1471.8029134788023, 1472.3713768933876, 1472.3760390891618, 1477.7445735917515, 1477.7041941236282, 1477.7045724581692]"
190,"[1460.334313243782, 1459.8372655772112, 1459.8526950312432, 1460.000867784234, 1463.5838515114012, 1464.1362172917216, 1464.1403523435267, 1469.488604683903, 1469.455625586773, 1469.4560585560027]"
200,"[1452.0449755499565, 1451.5993314163222, 1451.618462580263, 1451.7563813103634, 1455.3151263011805, 1455.850556135688, 1455.854138849644, 1461.1803025636107, 1461.1550732878097, 1461.155563362587]"
210,"[1443.3476178314531, 1442.793034298911, 1442.803991497136, 1442.928872488036, 1446.4595957429158, 1446.975954702617, 1446.978918935668, 1452.2793357655805, 1452.2627792708658, 1452.2633331201216]"
220,"[1435.0910757100119, 1434.5515332397945, 1434.5654508481637, 1434.678979724909, 1438.181749320242, 1438.6793585201028, 1438.6817036266423, 1443.9558453173727, 1443.9477824614014, 1443.9483986328698]"
230,"[1426.8651736211564, 1426.3418811056456, 1426.3589348248483, 1426.4605789471873, 1429.9334002825938, 1430.4112970047336, 1430.4130212365499, 1435.6586063591012, 1435.6594220861093, 1435.6601032616775]"
240,"[1418.6071248897567, 1418.1952882835694, 1418.2285598494989, 1418.3195412152832, 1421.7605613192868, 1422.2178373755266, 1422.218900232959, 1427.4334930187536, 1427.4435659123656, 1427.444314708581]"
250,"[1410.5701663343698, 1410.1804659444335, 1410.2177093836474, 1410.2958183529347, 1413.7026242652064, 1414.1382812029908, 1414.1386551566789, 1419.319675931647, 1419.339385054833, 1419.340204072213]"
260,"[1402.6880357066673, 1402.321539918452, 1402.3629042217065, 1402.4276022413578, 1405.797894579761, 1406.2109472298407, 1406.210604550923, 1411.3553065417454, 1411.3850330489556, 1411.3859248827068]"
270,"[1394.9998566266136, 1394.6577746291985, 1394.7034095660974, 1394.7541565246227, 1398.0855174014018, 1398.474961651362, 1398.4738744251902, 1403.5793355364585, 1403.619462454333, 1403.620429691593]"
280,"[1387.5457189855224, 1387.2299628715077, 1387.2800147916778, 1387.316262741006, 1390.6061535549675, 1390.9709670030863, 1390.9691072072449, 1396.0322249153871, 1396.0831360255274, 1396.0841812360636]"
290,"[1380.3564456530862, 1380.0806085779357, 1380.1352251285168, 1380.1564254695684, 1383.4021870216554, 1383.741332460586, 1383.7386720750496, 1388.7561603448487, 1388.8182386208623, 1388.819364344579]"
300,"[1373.0289192336616, 1372.5353644228742, 1372.5309512032725, 1372.52470621197, 1375.7164153302242, 1376.025337592379, 1376.0217184142887, 1380.983972689428, 1381.0590079315668, 1381.060226778829]"
310,"[1366.3452707298652, 1366.1126331177518, 1366.1773459035537, 1366.16500461012, 1369.3084173381988, 1369.5899647338008, 1369.5855242951384, 1374.4951442848294, 1374.5820225341836, 1374.583326220895]"
320,"[1360.3230286462228, 1360.120029101179, 1360.1897406828105, 1360.1606590847316, 1363.2509326220693, 1363.5035345963736, 1363.4982080394054, 1368.3508086326137, 1368.450017434691, 1368.4514091690671]"
330,"[1354.7525225638442, 1354.580392982962, 1354.6552522550364, 1354.6088407351567, 1357.6426573805506, 1357.8651546316141, 1357.8589123524068, 1362.650246590382, 1362.7621875036536, 1362.7636698456677]"
340,"[1349.7011881924016, 1349.5612594323406, 1349.6413960224231, 1349.5771154374168, 1352.5511734071472, 1352.7424797843364, 1352.7352950062852, 1357.4610630857694, 1357.5860974237924, 1357.587672615269]"
350,"[1345.225222839274, 1345.1206877578343, 1345.206220709864, 1345.1235639012752, 1348.0345213220935, 1348.1935914695896, 1348.1854392366008, 1352.8412300425205, 1352.9796929334975, 1352.981362999339]"
360,"[1341.3658648013666, 1341.3141430690691, 1341.4051797596042, 1341.30366661008, 1344.1481294185369, 1344.2739514167943, 1344.264808361602, 1348.8460869555531, 1348.9982905966283, 1349.00005736837]"
370,"[1338.1200126732542, 1338.1968704437509, 1338.293507705662, 1338.1726877026204, 1340.9472191355628, 1341.0388184076362, 1341.028662860502, 1345.5307816575125, 1345.6970138383704, 1345.6988789441893]"
380,"[1335.5733148978109, 1335.824247756168, 1335.9265682338348, 1335.7860231225122, 1338.487158236032, 1338.543603512729, 1338.5324156670072, 1342.9506317325624, 1343.1311535756433, 1343.1331184250946]"
390,"[1333.76446932967, 1334.251892709945, 1334.3600010308799, 1334.199350372659, 1336.8236192561778, 1336.8440320402278, 1336.8317942138067, 1341.161297220849, 1341.356339603181, 1341.3584053631064]"
400,"[1332.7790305964734, 1333.535446788302, 1333.6493684517768, 1333.4682747600873, 1336.0122277514074, 1335.9957917825527, 1335.9824886694082, 1340.2184321893396, 1340.4281923143678, 1340.4303598863976]"
410,"[1332.5718868245779, 1333.5244573769548, 1333.716513323553, 1333.4240840702637, 1335.8467369980226, 1335.898878623569, 1335.8692989178821, 1340.0710409044361, 1340.4634861540917, 1340.2856343871952]"
420,"[1332.3135454371807, 1331.911222466795, 1332.3201229771153, 1332.6855549682134, 1335.7377408857008, 1335.9262283627522, 1335.0591331828787, 1338.822664439773, 1339.9713308757205, 1340.7205400101338]"
430,"[1332.601384962051, 1331.881198430184, 1331.8147376751162, 1332.3753866458492, 1335.5656453277484, 1335.6539842296813, 1334.6110002786254, 1338.4827673208804, 1339.7244677957995, 1340.2287779069811]"
440,"[1332.2216605958274, 1331.297713893552, 1331.694730834166, 1331.4585794129794, 1334.7276079971027, 1335.330290132118, 1334.2729431033856, 1338.4189194190578, 1339.5414923148558, 1339.9080637922602]"
450,"[1334.3640089716127, 1333.211070590314, 1333.5539395360713, 1333.9006779907197, 1336.4834050647632, 1335.6253176527166, 1334.403919128892, 1338.1159958693497, 1338.7032727310661, 1339.1158501047157]"
460,"[1330.9123694177426, 1330.1641705087936, 1331.3156119991243, 1331.1425099775004, 1333.8700496029896, 1333.5887406452225, 1333.3550788665834, 1338.292349943045, 1338.9242676097476, 1338.357836854017]"
470,"[1331.0024501007174, 1329.985561755799, 1331.0289291263118, 1330.7479627253297, 1333.7923982477596, 1333.5959870376892, 1333.2959181776562, 1338.342235471332, 1338.6695469373183, 1338.3271602279608]"
480,"[1330.284580965792, 1329.8511573406636, 1330.9499002348753, 1330.711570477929, 1333.425390792325, 1333.503265933082, 1333.3369344204511, 1338.244294275382, 1338.6365892339054, 1338.0767047150844]"
490,"[1329.919132271261, 1329.6975299947728, 1330.8526668052955, 1330.6711067404353, 1333.2982432509616, 1333.2289890764075, 1333.1142926259722, 1337.9707004839793, 1338.6798985551118, 1338.0162757351297]"
500,"[1329.8845321442384, 1329.6334203301099, 1330.6265547529988, 1330.302184251393, 1333.2037125637085, 1333.0177355417386, 1332.7557875663447, 1337.7133814921033, 1338.3803548216363, 1338.2135882029754]"
510,"[1329.7148041946114, 1329.486581648382, 1330.4563573837738, 1330.195303038854, 1333.0566790850914, 1332.8983751600822, 1332.6995783808457, 1337.5669787365316, 1338.3493834927167, 1338.1047865213397]"
520,"[1329.0732605427106, 1328.1844854064068, 1329.345025684889, 1329.4034935485524, 1332.7921441872415, 1332.888804638052, 1332.719708654021, 1337.6455479665242, 1338.4258237641388, 1338.435448482916]"
530,"[1329.0647378668439, 1328.5548995250192, 1329.987839338478, 1330.234721656463, 1333.283282367574, 1332.9931513332212, 1332.4464256938716, 1337.5585509512955, 1338.2346690877912, 1338.197351747259]"
540,"[1328.6901963325363, 1328.0889219564046, 1329.6234012472628, 1329.6175079428924, 1332.9509621734835, 1333.0886379596782, 1332.518340614371, 1337.0556674458746, 1338.0689816294846, 1338.496665749714]"
550,"[1328.5598002065174, 1327.2742082872494, 1328.3589367407455, 1328.9609644389268, 1331.6838045982286, 1332.362915330644, 1332.2084696475838, 1337.2495810909327, 1338.4874089893267, 1338.3506684282456]"
560,"[1329.487379784652, 1326.634293034868, 1328.171455112351, 1329.0492922075014, 1331.997796106459, 1332.4436237310865, 1332.960603218117, 1337.9048921202248, 1339.2388874147607, 1339.6010970943437]"
570,"[1328.5519017194924, 1326.5605919462946, 1327.541159038714, 1328.2062926681288, 1331.1543146538024, 1331.8180635800936, 1331.594205281834, 1337.1294733493494, 1337.804785173081, 1337.4325021538139]"
580,"[1328.015184849405, 1326.091707491012, 1327.145721777748, 1328.0743467065156, 1331.0792044302536, 1331.554767088061, 1331.4883178474481, 1337.1715896217358, 1337.8150962450886, 1337.4100289699018]"
