iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,629318.6,625399.6,793.3,790.822
2500,485094.56,472544.62,696.49,687.4186
5000,458921.5,442323.66,677.44,665.0739
7500,451756.8,433354.56,672.13,658.2961
10000,446231.53,446159.72,668.0,667.9495
12500,445335.1,449271.72,667.33,670.2736
15000,444817.22,451106.12,666.94,671.6384
17500,444394.5,452232.84,666.63,672.4762
20000,443791.62,453366.25,666.17,673.3175
22500,443553.53,454054.4,666.0,673.8281
25000,443151.62,453920.75,665.69,673.7298
27500,442973.25,455250.62,665.56,674.7142
30000,442533.28,455998.84,665.23,675.2674
32500,442275.6,456254.56,665.04,675.4563
35000,441876.94,457180.56,664.74,676.1395
37500,441693.7,456102.53,664.6,675.346
