iteration,trainRMSE
320,"[955.5766926631852, 954.6155060120188, 954.3977560375922, 954.4215496277925, 953.2454022415976, 953.9230474835982, 956.0678961793137, 955.5121970378578, 955.5060399497625, 956.232634417811]"
330,"[954.7983559497932, 954.3883093509368, 953.8833237683648, 954.0911394517958, 952.3080705203238, 953.1528256943742, 955.2751587522504, 954.4448658653381, 954.5768702308146, 955.2897112360968]"
340,"[954.9419345573351, 953.4948115733426, 953.5647588100384, 953.4307982590872, 951.8868722513939, 952.7746142403801, 954.9382470003363, 954.1539570067457, 954.3202285975589, 954.9660552865729]"
350,"[954.49389707834, 953.3189233436361, 953.050924502772, 952.8926501777586, 951.4511573379651, 951.8784442815133, 954.3393600250449, 953.2809954234496, 953.9031978958991, 954.704035282359]"
360,"[954.1647372380177, 952.9189617964915, 952.8766481420572, 952.4977029689022, 950.8181486984626, 951.6833749717765, 953.7419091083098, 952.7150033542254, 953.5906839071212, 954.6561177264888]"
370,"[954.1664636551689, 952.4148655053931, 952.435610266539, 951.9827294427738, 950.8978762404889, 951.5289100363891, 953.5118750018671, 952.5320779833605, 952.9212437284104, 954.0544950116141]"
380,"[954.0578707439462, 952.1222773730566, 951.9114829823274, 951.5399159215801, 949.8560685422628, 950.914484541827, 952.8958754482846, 951.8099137008754, 952.6109056350749, 953.3970334828933]"
390,"[953.5172602643354, 951.3075663020383, 951.1579435269934, 950.7422045159127, 949.9622248430069, 950.9241444337274, 952.5119564367741, 951.7287304440258, 952.5397166113843, 953.903736594388]"
400,"[953.176775564164, 951.0217707869153, 950.7143407033509, 950.2266980154772, 949.0783872244222, 950.3576249460431, 951.9558890913517, 950.7661876491397, 952.3696515738245, 953.5326712577267]"
410,"[953.0833327829611, 950.4451748697013, 950.1660511996976, 949.3673149347798, 948.5638271897625, 949.7879883558126, 951.3027477151035, 950.1796344474748, 952.22199466513, 953.1403770287296]"
420,"[952.9865232842657, 950.288770784113, 949.8659438621296, 949.0983939884443, 948.1840799594081, 948.8512014542114, 950.985133196904, 950.0853526902177, 951.7477344686998, 952.9492243801049]"
430,"[953.1630295936126, 951.8718674768328, 950.4729352466085, 951.8449138670944, 948.4533377839284, 950.5749086261089, 952.3985302465106, 949.6640771561869, 952.6223064673558, 953.8932193288013]"
440,"[952.5880269774525, 949.373069033063, 948.8760420916196, 948.0756870337201, 947.6694493769377, 949.1802636495559, 951.460558343405, 949.3677703356622, 951.7952204763386, 953.7077521718028]"
450,"[952.3445222635172, 949.6016985385361, 949.1016612387785, 948.4025732349828, 948.0544540489419, 948.1458269392289, 950.7183029471588, 949.5321279256867, 950.4872290944783, 952.5904446901702]"
460,"[952.5501523916028, 950.260810420066, 950.2555298163329, 948.944521868491, 947.4420178201568, 948.2040385836922, 950.751447866204, 949.8150028721844, 950.5282877602406, 952.4439926323449]"
470,"[952.9736370902891, 949.5773476511112, 948.8464897475087, 947.8613070566272, 947.2028744743121, 947.8566281434635, 950.3100341010716, 948.9660808947286, 950.6162648371111, 952.3502003494773]"
480,"[953.112665577248, 949.8337159744502, 948.9776238453347, 947.7617006292107, 947.4935628186252, 949.1241185577738, 950.7653529419251, 948.7578199464635, 951.4125354930713, 953.1382896444459]"
490,"[952.5506890292963, 949.474846645075, 949.3854852373329, 948.0744194047107, 947.3041136805606, 947.8883167918265, 950.1796017537393, 949.0930544942775, 950.0245018362668, 952.2717573378986]"
500,"[952.8079724224641, 950.3114333630518, 950.2098669759969, 948.9579886639818, 947.3345916033426, 947.8794506252162, 950.997417681716, 949.1286023496363, 949.7251040486053, 951.599573645148]"
510,"[952.4668712635558, 950.2948447007243, 949.1898799052069, 947.5542796542775, 946.8914058167859, 948.6153753536804, 948.9156317493238, 947.6220864712908, 951.6288374044628, 952.1477701881191]"
520,"[952.0014502814886, 950.0278447247529, 949.1234024844964, 947.6619437900601, 946.5847479992697, 948.0079850006983, 950.7809996645972, 947.763930162317, 951.2532274520629, 952.1442952831383]"
530,"[952.3604012090842, 949.3216984991051, 949.403318314903, 947.3625973705275, 945.4604173785899, 946.1719659479282, 951.1043937082484, 947.9187203829989, 950.4354212165085, 951.804906286724]"
540,"[952.2572051072783, 948.6166052741003, 948.9041983810483, 946.9697951776157, 945.4320431793948, 946.1669779033491, 949.0162617931398, 947.7823873582856, 951.7208862065385, 951.5013788110389]"
550,"[952.5640440989597, 949.334087435045, 948.2444000307767, 947.1077661000356, 945.6295929610936, 946.4243681744002, 948.8969918586008, 947.8724448230304, 949.3559620534915, 951.3451080022217]"
560,"[952.1804463540226, 948.1917559455403, 948.5313518765947, 947.035550551407, 945.5711597884223, 946.4432971378023, 948.9110302544664, 947.9162986579773, 949.7866684784087, 951.3000122904776]"
570,"[952.9776810183057, 948.8073615786424, 948.8357176619065, 947.5282736373908, 945.4907490805857, 946.2496171041319, 948.6409944674393, 947.5982624484966, 950.2089724555136, 950.8124763034511]"
580,"[953.2384625664146, 950.494424849272, 949.0628679244164, 947.0702634397096, 945.410950330031, 946.4288553790019, 947.6635249712275, 947.3486247677422, 951.0374275281639, 950.9412302730337]"
590,"[953.6000702554894, 950.5411554711966, 948.9801026419688, 947.4931461877727, 944.9570425919735, 946.5446572898894, 947.8703326231115, 947.4480648054227, 949.6565922512658, 951.5428528812967]"
600,"[952.9519058632384, 948.8424261300927, 948.455446961808, 946.8784932860518, 945.694345843527, 947.4980537437831, 947.7386187461576, 946.5791165328196, 951.058684098968, 950.8305571748607]"
610,"[952.2712758707828, 947.6863897635362, 948.3910787640115, 946.422455792602, 944.3091957616234, 945.6675561536401, 947.9052209456231, 946.4707850570786, 949.555800560043, 950.7502652879376]"
620,"[952.3006587038504, 948.9636202174919, 948.417889114187, 946.9754198548496, 945.1248279802879, 947.2534683318296, 946.6297523596066, 946.702546917326, 951.0248500048725, 951.249478573622]"
630,"[952.9844583061645, 950.0341976486359, 951.7022388726633, 950.9669260423701, 948.3443053675537, 948.4725910201129, 950.6591513693307, 949.8933756691931, 950.9629057590387, 949.4746239688228]"
640,"[951.5300909292716, 947.9780695591969, 948.8570145540182, 947.0662497610934, 945.3717599266255, 945.9933700861948, 948.0697809944417, 946.6544178566425, 949.1139338311054, 950.1417302563194]"
650,"[951.9872467820408, 948.0992299479444, 948.3397932583174, 947.649453464821, 945.9337419557588, 945.4230312208024, 948.0859751460274, 947.0933737851234, 949.2595343600738, 950.4550277260474]"
660,"[952.1146262974079, 949.419602992176, 948.9431089676564, 945.6741466911917, 945.0580267682874, 946.3571615176479, 946.6370372368241, 946.5638009550033, 949.4480746527665, 951.8614956949135]"
670,"[950.1217663010656, 947.3883104508751, 947.4904713608106, 945.4994607719767, 944.3931212352597, 944.2926964839759, 946.9840817452646, 946.9142188011806, 949.5308680022896, 949.6671596080988]"
680,"[950.9584835349231, 948.8359075745591, 948.8518769766225, 946.4244831926355, 944.9059337248935, 946.7631768653633, 949.9050477647447, 945.8794255891057, 951.2056452863565, 951.4757944204875]"
690,"[949.7569538025416, 947.3719039235709, 948.6994683445618, 946.4571676846764, 944.8556220057261, 945.9038062000458, 947.3630742295925, 947.8777780518855, 951.3763453989951, 955.1285083401178]"
700,"[948.8832760968298, 947.5810171516396, 947.5242123532603, 945.3316369061823, 943.910267345507, 945.2475946970305, 946.7596215334238, 946.273933471221, 948.7188710103011, 951.1691475756528]"
710,"[949.3265218241653, 946.7413933996357, 947.0846250338657, 945.4783809075291, 943.1305626666463, 944.7465273755653, 946.7087935063173, 944.9809909426307, 946.6781377784908, 949.8496855397389]"
720,"[947.6410493178705, 946.2700006573083, 946.6818017766423, 945.3447580936089, 943.0606522953424, 944.6027448943388, 946.3795254878318, 945.7801054822783, 945.8376862622338, 949.5392070132945]"
730,"[947.1330890906551, 946.233968739418, 948.2334463240232, 944.6271822917356, 943.5709775227789, 944.0536765534304, 946.0525981518072, 945.2936833862153, 945.7349518664213, 949.5471547470069]"
740,"[947.1509075421918, 946.2117927121109, 947.4143168078085, 944.7724357595966, 942.3590739103969, 943.7025306627161, 945.5434582189445, 944.7771366622299, 947.0967044572506, 949.7218301813807]"
750,"[946.6399691580872, 945.9951042323901, 946.0255229175216, 944.830330922018, 942.8019701304626, 944.1452122262154, 945.837364288635, 945.365384279408, 945.0355796744351, 949.1531924202667]"
760,"[946.812987053728, 946.1735374103133, 946.9083196185899, 945.1258198586131, 944.3726475482696, 944.6640651222353, 946.9283323666626, 945.3247467448152, 947.4072388578323, 948.9742507867121]"
770,"[947.5028718029763, 947.7098253174646, 948.3463125883287, 947.3042533270918, 944.6771735770571, 945.5622892641416, 947.9911297066458, 946.276557535694, 946.8078094850562, 949.0757692416774]"
780,"[946.0757856080148, 945.9733821104112, 946.9840555573638, 944.3665448619067, 942.4691808343276, 942.594386576847, 945.1208188975286, 944.1241428698103, 947.3568689314037, 948.8294995093121]"
790,"[946.9062449632744, 945.7385807271176, 947.5542890865725, 944.6960904983632, 942.5233731754723, 944.3282850179187, 946.1797235938348, 945.3879416112268, 945.1660700022054, 948.9942445661263]"
800,"[946.3532684251659, 946.2698400725889, 947.135075230013, 943.6854210414692, 942.5985140589821, 942.9414758583426, 945.4119580497597, 946.15812190426, 944.4399995775099, 949.0768323525449]"
810,"[947.5646451738645, 945.8486585841817, 947.1098308258312, 945.8039864321843, 942.6774970622101, 944.4911684994956, 946.1250677549303, 944.8009556061124, 947.9975200102703, 950.9049959284821]"
820,"[946.6556676673418, 946.0023152126421, 947.4162063971003, 944.4365184761567, 942.6626303848516, 943.0498577317456, 945.3307304026191, 944.1918150071112, 944.7774633546722, 948.0158286183761]"
830,"[946.6253613948782, 946.4924361402293, 948.7414856474494, 942.3242673791526, 942.5070749453772, 946.2184286623853, 946.1400563627413, 945.0456055248656, 946.4275897551424, 953.1554535899048]"
840,"[946.9875806474648, 946.0972140311947, 946.260507237858, 944.4195780170018, 943.3210760653608, 944.0425958112359, 945.5757228411074, 945.1390791977839, 946.1379344982112, 948.4767472711673]"
850,"[945.2172741041566, 945.8809550870609, 946.0441017754149, 943.6241211885495, 941.9522376755835, 943.0271804238149, 944.7482714006885, 944.0088655630847, 946.2119913162974, 948.4969085600579]"
860,"[946.5054512864065, 946.07738085789, 947.2411495550488, 944.3945714660391, 943.2940192235809, 943.8596606671077, 944.9599917911518, 944.691028752723, 944.9545497516856, 948.1493057429794]"
870,"[944.6984211194005, 944.9394391696245, 946.3305986712762, 942.1721381668591, 940.8848439054551, 942.6499485208012, 944.134260883951, 944.052343062328, 946.4015273736607, 947.973182997913]"
880,"[945.5988057031711, 945.127397365678, 947.8707671969028, 941.5699975877454, 940.7633980319982, 942.8122161683342, 944.0056366890585, 944.9320831557716, 946.7706219528585, 952.5592777658693]"
890,"[945.4225507663966, 945.1773830616137, 946.3559518517976, 941.880950543494, 941.8264115743839, 942.2342438280508, 944.1884102041768, 943.755981293448, 943.9606287122742, 948.2918037231314]"
900,"[945.4829895456912, 945.0472478786551, 947.4999675554776, 942.0843095019709, 941.0605912192223, 943.4252155633903, 945.8374541684846, 944.2358131022727, 947.051200279686, 948.5590440502053]"
910,"[946.4192779387488, 945.9985724447016, 948.2800685806538, 944.0755346655681, 943.0583089740126, 944.7681054927232, 945.1188688962748, 945.0116675746715, 948.3518889547892, 949.7774230415887]"
920,"[946.2005823466023, 944.5979556621382, 947.8113236108192, 941.1654233113013, 942.3689351354503, 942.1007934521903, 944.6390549430529, 945.9417085893704, 948.3680776062317, 954.1571823317332]"
930,"[947.3311928726445, 947.0186620044868, 949.6554322285186, 943.0690030523957, 943.9959421792437, 944.2118148913908, 945.3833338613881, 947.2631874388103, 951.3005180819033, 960.0878668964126]"
940,"[948.0213077231639, 946.1938962703109, 947.7231534623556, 944.2970829343136, 944.3543786903706, 943.9484673038967, 950.0765458258987, 948.0452653530607, 949.083601764973, 948.1377245394028]"
950,"[946.148272287716, 944.2672964089983, 949.1102897308388, 940.7847064451648, 941.1853610430032, 940.9064084984128, 943.7306765326351, 944.0171704161526, 943.9924209371677, 950.6417210241004]"
960,"[947.4676776865308, 945.3138962990844, 946.4070312251763, 944.3203218191582, 943.2590787481686, 944.1892033794923, 945.84716581927, 945.4819078042362, 944.9897875197979, 948.5935698726345]"
970,"[946.4162405925201, 947.161151565708, 946.0687010530442, 942.7399407912048, 942.9707494520126, 944.0383971783755, 943.9891255177248, 944.9285482247194, 946.3028359386633, 950.3282016779398]"
980,"[945.4499871593341, 943.847515352969, 948.575214463195, 941.3027405290901, 941.6079749458388, 942.5067388421542, 944.7837322398437, 944.4503538844942, 945.096604778916, 949.3173946538557]"
990,"[946.1585531604658, 945.6953598407487, 948.7248564423576, 941.7800084742634, 939.5422384753701, 943.0871449953842, 942.2303364985647, 942.7963652710281, 943.849416391325, 947.8108716276171]"
