,Distribution,Distribution parameters,P_Values
0,fatiguelife,"(1.6504238869750765, -7.755568492430066, 341.31667276170697)",0.0
1,mielke,"(6.175189935823845, 0.9783516376708281, -12.584593748359062, 27.768010394741083)",0.13483
2,nct,"(0.7470005736115032, 2.4162527310918342, -0.3183072172928191, 52.82221190250196)",0.02502
