,Distribution,Distribution parameters,P_Values
0,fatiguelife,"(1.3941168989705233, -10.04888195733298, 268.73327366666814)",0.0
1,mielke,"(15.96923562959146, 1.2149067323152356, -25.165971681233863, 19.33295517269117)",0.00044
2,nct,"(0.948558475720322, 2.5551844740981386, -0.10947086507084537, 46.73392810881188)",0.01175
