,Distribution,Distribution parameters,P_Values
0,fatiguelife,"(1.106905874042393, -4.614591642813995, 82.09123155933068)",0.0
1,mielke,"(4.343120814491984, 1.7779658271881011, -7.259514072526233, 36.49536414507163)",0.00516
2,nct,"(1.4805583427751872, 2.572263218415913, -0.060215006913632796, 18.579087455717563)",0.0255
