,Distribution,Distribution parameters,P_Values
0,fatiguelife,"(1.2636659977397333, -18.310204666293618, 342.2274920228938)",0.01008
1,mielke,"(112.40463834402837, 1.1947713987309203, -64.87992761144227, 5.99105090814237)",0.0
2,nct,"(1.1701545991755706, 8.065598877474326, -108.46220048369068, 35.62064538632117)",0.0
