,Distribution,Distribution parameters,P_Values
74,recipinvgauss,"(3.5161063587690142, -3.0917323573596276, 380.0266331588898)",0.0
75,semicircular,"(1945.9346752003166, 3278.7775180275326)",0.0
76,t,"(0.7640833441955921, 131.90665907326542, 74.73004191382304)",0.0
77,triang,"(0.0011826905389953277, -51.63216593636403, 5288.410121602392)",0.0
78,truncexpon,"(1.3226744976578257, -502.92859505978527, 4327.84377804328)",0.0
79,truncnorm,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",0.0
80,tukeylambda,"(-1.2225880900765973, 131.14678072442533, 26.23396177769134)",0.0
81,uniform,"(0.0, 5221.4)",0.0
82,vonmises,"(1.94185063200858, 123.59771062219025, 4.926617996081875e-27)",0.0
83,vonmises_line,"(4.993151200913378, 404.1003004183183, 1533.3941190877927)",0.0
84,wald,"(-44.248653262217005, 427.52860839702225)",0.0
85,weibull_min,"(0.7451321158744036, -1.1739390226125453e-24, 391.5777972225676)",0.0
86,weibull_max,"(0.10272208029620156, 5221.400000000001, 1.7224068891506552)",0.0
87,wrapcauchy,"(1.0, -522.14, 997.2139438320268)",
