,Distribution,Distribution parameters,P_Values
77,triang,"(0.003422242845132842, -3.5891127262422664, 2495.1801928296413)",0
78,truncexpon,"(1.3331782935324261, -240.896934819256, 2044.6604539267273)",0
79,truncnorm,"(0.9015482215897133, 1.6009849280375819, 0.0021890907748951093, 7.134297062689321e-31)",0
80,tukeylambda,"(1.3251664538250867, 269.591666569047, 357.25383302690204)",0
81,uniform,"(0.0, 2485.0)",0
82,vonmises,"(2.260587044284679, 41.80277762119211, 8.351678735313627e-28)",0
83,vonmises_line,"(8.360553809160912, 101.23446943378553, 493.20913858297945)",0
84,wald,"(-7.393915894531435, 116.83290411065462)",0
85,weibull_min,"(0.8386681081941723, -2.961623040986577e-27, 106.2697473953832)",0
86,weibull_max,"(0.10986691998055478, 2485.0000000000005, 1.7398665502673545)",0
87,wrapcauchy,"(1.0, -248.5, 474.60004030003194)",
