iteration,trainRMSE
0,"[910.9348969046929, 911.0421101297544, 910.5964110417764, 910.5685198634455, 912.0774264497824]"
5000,"[708.5292475779169, 705.9193406081794, 715.0567280239444, 717.9915630073733, 724.1742050760961]"
10000,"[704.3945189911312, 697.0949158004621, 672.4687427628559, 674.9811279789963, 688.083532116614]"
15000,"[680.5653242856598, 656.2897243172824, 590.8908013030674, 613.179570942647, 619.3602144560776]"
20000,"[638.0288358973925, 624.9222293206489, 638.8865674541228, 603.487273076144, 621.349691387915]"
25000,"[624.099125548123, 599.0806016141829, 585.3240587267768, 538.4321692281202, 576.5963699986137]"
30000,"[585.8718310535672, 561.0069903993722, 498.2007309378096, 461.6098901174653, 522.5750815305273]"
35000,"[660.1500549503063, 667.3158030350439, 663.2695373326452, 620.1277482492706, 590.0384777723598]"
40000,"[650.9785186592189, 634.466516555929, 625.2933823140896, 595.1991832222259, 561.9978580864235]"
45000,"[637.1636940486109, 616.5816649939447, 627.8667894824252, 608.6006770368291, 549.0186009230863]"
50000,"[622.8998306892145, 617.6645470911665, 606.412780707064, 549.022016131587, 528.4651109445915]"
55000,"[641.7444816160703, 656.6229901024842, 628.1044535030431, 615.5695891693896, 554.5428775077833]"
60000,"[636.8201113902834, 633.0522927387094, 617.989720850622, 606.1438092450026, 608.043204628482]"
65000,"[603.2443067939961, 589.6100987422892, 578.9548942223129, 480.78334952858347, 475.93372814307173]"
70000,"[648.7548587032966, 640.1145352081558, 623.9996739737653, 568.3369632787322, 556.7248196540249]"
75000,"[711.6304717584444, 690.6287360629834, 713.7958788175865, 708.0403157492208, 702.2771472301984]"
