iteration,trainRMSE
310,"[1764.9136547520234, 1766.8413355495302, 1767.6682715756194, 1767.5433199068073, 1767.5715125857723, 1748.1424169909149, 1748.1639188129552, 1748.019491847458, 1747.9346168934833, 1747.844335654326]"
320,"[1760.3916935813659, 1762.171524059307, 1762.9494970429816, 1762.8182389773267, 1762.8487649871477, 1743.5934095678329, 1743.6163970421967, 1743.454141989175, 1743.3484904005948, 1743.2478673981796]"
330,"[1756.5758129333583, 1758.2696812291636, 1758.985325921326, 1758.8603823921867, 1758.892682129089, 1739.8260966103935, 1739.850608877512, 1739.6700666154052, 1739.5430435470269, 1739.4318165792117]"
340,"[1753.6783170491617, 1755.1808758018828, 1755.8707741667354, 1755.7446992091682, 1755.77866888308, 1736.916864134309, 1736.942940435021, 1736.7436597891024, 1736.594711442101, 1736.4726237242205]"
350,"[1751.8000330909938, 1753.007808013479, 1753.6783530225662, 1753.5424417292609, 1753.5829567395801, 1734.9431063085772, 1734.9707625365918, 1734.7523408072086, 1734.5809363201436, 1734.4477558346568]"
360,"[1750.9523206401475, 1751.852573813912, 1752.4745359517583, 1752.3415356543992, 1752.3841430726857, 1733.9828209314946, 1734.0120997349693, 1733.774167892088, 1733.5798350673601, 1733.4353546694717]"
370,"[1751.0013006899694, 1751.7456354570993, 1752.359068188587, 1752.2230362628386, 1752.332400435085, 1733.9298059139521, 1733.9472292777648, 1733.7133443832465, 1733.5179264961694, 1733.3773014727358]"
380,"[1750.7760896813088, 1752.0209453708133, 1753.0744805010359, 1751.4971346502427, 1751.6017713704614, 1732.93579162401, 1733.0024313837962, 1732.805935523657, 1733.0325504292869, 1733.5659307271712]"
390,"[1751.0205137951436, 1751.685594457188, 1752.7066072281882, 1752.1917683597235, 1751.8952160741565, 1733.8505469842646, 1732.4765500876351, 1733.1816641198118, 1733.2045957818489, 1732.9873102421993]"
400,"[1750.8514115966518, 1751.7621515139472, 1752.5408704228144, 1751.9384263725608, 1751.5488198610178, 1733.9309679337234, 1732.3675612796353, 1732.811801947558, 1732.7038300880738, 1732.6335115642207]"
410,"[1749.3380717515277, 1751.2818873936292, 1752.6085336814035, 1751.552398684238, 1751.531436835787, 1734.0841859135726, 1732.32822340988, 1732.8256845091562, 1732.675744199104, 1732.622143650136]"
420,"[1749.1552518759818, 1750.9389732129357, 1752.3419996890834, 1751.6837463033519, 1751.627794057312, 1733.8365399543543, 1731.9407975974675, 1732.661002471351, 1732.5357980353454, 1732.535979215467]"
430,"[1749.141955422706, 1751.0506842808522, 1751.3830924870879, 1751.818424596683, 1752.1222747254967, 1733.8166173232582, 1732.5155756659258, 1732.709663850035, 1732.4654970248032, 1733.267668337668]"
440,"[1748.7512352872484, 1750.3101976310447, 1750.5348863900783, 1751.7637537636988, 1751.2554522950459, 1733.9575090148871, 1731.887286026341, 1731.8897918336297, 1732.460763920634, 1732.9402658101747]"
450,"[1748.52484815615, 1750.5022788804747, 1750.937618551826, 1751.712083453935, 1751.1053585072125, 1733.2654315605346, 1731.158554888357, 1731.4176632037843, 1732.0059163292453, 1732.5367914979295]"
460,"[1749.242210762375, 1751.4008407269366, 1751.9882594913388, 1753.8385913440125, 1753.4290895213433, 1735.5202588704292, 1733.5847181497224, 1733.4948635030223, 1733.7393676847432, 1734.553346209949]"
470,"[1748.6971856542905, 1750.3271988076206, 1750.653013490659, 1752.24421757459, 1751.915392278081, 1734.132163430224, 1731.9513503911826, 1731.9339380575288, 1732.5435011259303, 1733.27897492549]"
480,"[1748.5388358089717, 1750.0244616880234, 1750.1627661282498, 1751.7540649040925, 1751.3299273932623, 1733.8469569826614, 1731.4538354888364, 1731.3668438470554, 1732.0420055325144, 1732.72998738147]"
490,"[1748.806548613663, 1749.7368890089376, 1749.7181815169452, 1751.4370202195282, 1750.9927961018625, 1733.8739325645388, 1730.87961554485, 1730.8720481284083, 1731.6263711511474, 1732.3297201404416]"
500,"[1748.9722522625286, 1749.5254889246776, 1749.4254594444815, 1751.2761592878403, 1750.6772522554038, 1733.9379977312858, 1730.4140622902373, 1730.4206082636779, 1731.36681376696, 1732.0906169807981]"
510,"[1749.4891688593575, 1748.8853392465228, 1749.2587997118328, 1752.2887175437745, 1750.2062585919568, 1733.7125896204132, 1729.4916364706132, 1729.794436037855, 1730.495084979241, 1732.7328882601616]"
