26.8,124.9,10.6,75.8,125.2,36.1,10.0,24.9,84.8,9.1,
124.9,10.6,75.8,125.2,36.1,10.0,24.9,84.8,9.1,19.8,
10.6,75.8,125.2,36.1,10.0,24.9,84.8,9.1,19.8,20.8,
75.8,125.2,36.1,10.0,24.9,84.8,9.1,19.8,20.8,156.9,
125.2,36.1,10.0,24.9,84.8,9.1,19.8,20.8,156.9,72.7,
36.1,10.0,24.9,84.8,9.1,19.8,20.8,156.9,72.7,41.1,
10.0,24.9,84.8,9.1,19.8,20.8,156.9,72.7,41.1,7.5,
24.9,84.8,9.1,19.8,20.8,156.9,72.7,41.1,7.5,7.8,
84.8,9.1,19.8,20.8,156.9,72.7,41.1,7.5,7.8,63.2,
9.1,19.8,20.8,156.9,72.7,41.1,7.5,7.8,63.2,7.8,
19.8,20.8,156.9,72.7,41.1,7.5,7.8,63.2,7.8,47.5,
20.8,156.9,72.7,41.1,7.5,7.8,63.2,7.8,47.5,7.2,
156.9,72.7,41.1,7.5,7.8,63.2,7.8,47.5,7.2,14.8,
72.7,41.1,7.5,7.8,63.2,7.8,47.5,7.2,14.8,5.7,
41.1,7.5,7.8,63.2,7.8,47.5,7.2,14.8,5.7,29.4,
7.5,7.8,63.2,7.8,47.5,7.2,14.8,5.7,29.4,44.0,
7.8,63.2,7.8,47.5,7.2,14.8,5.7,29.4,44.0,6.1,
63.2,7.8,47.5,7.2,14.8,5.7,29.4,44.0,6.1,6.5,
7.8,47.5,7.2,14.8,5.7,29.4,44.0,6.1,6.5,82.1,
47.5,7.2,14.8,5.7,29.4,44.0,6.1,6.5,82.1,40.8,
7.2,14.8,5.7,29.4,44.0,6.1,6.5,82.1,40.8,172.2,
14.8,5.7,29.4,44.0,6.1,6.5,82.1,40.8,172.2,53.5,
5.7,29.4,44.0,6.1,6.5,82.1,40.8,172.2,53.5,36.6,
29.4,44.0,6.1,6.5,82.1,40.8,172.2,53.5,36.6,20.2,
44.0,6.1,6.5,82.1,40.8,172.2,53.5,36.6,20.2,16.2,
6.1,6.5,82.1,40.8,172.2,53.5,36.6,20.2,16.2,84.6,
6.5,82.1,40.8,172.2,53.5,36.6,20.2,16.2,84.6,3.2,
82.1,40.8,172.2,53.5,36.6,20.2,16.2,84.6,3.2,50.0,
40.8,172.2,53.5,36.6,20.2,16.2,84.6,3.2,50.0,15.7,
172.2,53.5,36.6,20.2,16.2,84.6,3.2,50.0,15.7,64.9,
53.5,36.6,20.2,16.2,84.6,3.2,50.0,15.7,64.9,12.2,
36.6,20.2,16.2,84.6,3.2,50.0,15.7,64.9,12.2,25.9,
20.2,16.2,84.6,3.2,50.0,15.7,64.9,12.2,25.9,19.4,
16.2,84.6,3.2,50.0,15.7,64.9,12.2,25.9,19.4,31.6,
84.6,3.2,50.0,15.7,64.9,12.2,25.9,19.4,31.6,9.2,
3.2,50.0,15.7,64.9,12.2,25.9,19.4,31.6,9.2,53.0,
50.0,15.7,64.9,12.2,25.9,19.4,31.6,9.2,53.0,16.3,
15.7,64.9,12.2,25.9,19.4,31.6,9.2,53.0,16.3,7.1,
64.9,12.2,25.9,19.4,31.6,9.2,53.0,16.3,7.1,10.7,
12.2,25.9,19.4,31.6,9.2,53.0,16.3,7.1,10.7,13.3,
25.9,19.4,31.6,9.2,53.0,16.3,7.1,10.7,13.3,6.4,
19.4,31.6,9.2,53.0,16.3,7.1,10.7,13.3,6.4,59.7,
31.6,9.2,53.0,16.3,7.1,10.7,13.3,6.4,59.7,16.2,
9.2,53.0,16.3,7.1,10.7,13.3,6.4,59.7,16.2,6.7,
53.0,16.3,7.1,10.7,13.3,6.4,59.7,16.2,6.7,17.2,
16.3,7.1,10.7,13.3,6.4,59.7,16.2,6.7,17.2,15.8,
7.1,10.7,13.3,6.4,59.7,16.2,6.7,17.2,15.8,9.6,
10.7,13.3,6.4,59.7,16.2,6.7,17.2,15.8,9.6,49.2,
13.3,6.4,59.7,16.2,6.7,17.2,15.8,9.6,49.2,32.0,
6.4,59.7,16.2,6.7,17.2,15.8,9.6,49.2,32.0,9.8,
59.7,16.2,6.7,17.2,15.8,9.6,49.2,32.0,9.8,6.7,
16.2,6.7,17.2,15.8,9.6,49.2,32.0,9.8,6.7,8.0,
6.7,17.2,15.8,9.6,49.2,32.0,9.8,6.7,8.0,93.2,
17.2,15.8,9.6,49.2,32.0,9.8,6.7,8.0,93.2,14.3,
15.8,9.6,49.2,32.0,9.8,6.7,8.0,93.2,14.3,13.1,
9.6,49.2,32.0,9.8,6.7,8.0,93.2,14.3,13.1,18.3,
49.2,32.0,9.8,6.7,8.0,93.2,14.3,13.1,18.3,18.0,
32.0,9.8,6.7,8.0,93.2,14.3,13.1,18.3,18.0,11.4,
9.8,6.7,8.0,93.2,14.3,13.1,18.3,18.0,11.4,48.5,
6.7,8.0,93.2,14.3,13.1,18.3,18.0,11.4,48.5,69.8,
8.0,93.2,14.3,13.1,18.3,18.0,11.4,48.5,69.8,64.1,
93.2,14.3,13.1,18.3,18.0,11.4,48.5,69.8,64.1,10.9,
14.3,13.1,18.3,18.0,11.4,48.5,69.8,64.1,10.9,116.0,
13.1,18.3,18.0,11.4,48.5,69.8,64.1,10.9,116.0,2.7,
18.3,18.0,11.4,48.5,69.8,64.1,10.9,116.0,2.7,17.7,
18.0,11.4,48.5,69.8,64.1,10.9,116.0,2.7,17.7,152.7,
11.4,48.5,69.8,64.1,10.9,116.0,2.7,17.7,152.7,55.3,
48.5,69.8,64.1,10.9,116.0,2.7,17.7,152.7,55.3,31.3,
69.8,64.1,10.9,116.0,2.7,17.7,152.7,55.3,31.3,4.0,
64.1,10.9,116.0,2.7,17.7,152.7,55.3,31.3,4.0,5.6,
10.9,116.0,2.7,17.7,152.7,55.3,31.3,4.0,5.6,16.0,
116.0,2.7,17.7,152.7,55.3,31.3,4.0,5.6,16.0,5.1,
2.7,17.7,152.7,55.3,31.3,4.0,5.6,16.0,5.1,35.4,
17.7,152.7,55.3,31.3,4.0,5.6,16.0,5.1,35.4,6.3,
152.7,55.3,31.3,4.0,5.6,16.0,5.1,35.4,6.3,20.9,
55.3,31.3,4.0,5.6,16.0,5.1,35.4,6.3,20.9,9.1,
31.3,4.0,5.6,16.0,5.1,35.4,6.3,20.9,9.1,7.9,
4.0,5.6,16.0,5.1,35.4,6.3,20.9,9.1,7.9,10.3,
5.6,16.0,5.1,35.4,6.3,20.9,9.1,7.9,10.3,62.7,
16.0,5.1,35.4,6.3,20.9,9.1,7.9,10.3,62.7,38.0,
5.1,35.4,6.3,20.9,9.1,7.9,10.3,62.7,38.0,7.5,
35.4,6.3,20.9,9.1,7.9,10.3,62.7,38.0,7.5,16.2,
6.3,20.9,9.1,7.9,10.3,62.7,38.0,7.5,16.2,7.3,
20.9,9.1,7.9,10.3,62.7,38.0,7.5,16.2,7.3,11.5,
9.1,7.9,10.3,62.7,38.0,7.5,16.2,7.3,11.5,24.7,
7.9,10.3,62.7,38.0,7.5,16.2,7.3,11.5,24.7,5.1,
10.3,62.7,38.0,7.5,16.2,7.3,11.5,24.7,5.1,8.4,
62.7,38.0,7.5,16.2,7.3,11.5,24.7,5.1,8.4,10.1,
38.0,7.5,16.2,7.3,11.5,24.7,5.1,8.4,10.1,150.8,
7.5,16.2,7.3,11.5,24.7,5.1,8.4,10.1,150.8,15.0,
16.2,7.3,11.5,24.7,5.1,8.4,10.1,150.8,15.0,10.0,
7.3,11.5,24.7,5.1,8.4,10.1,150.8,15.0,10.0,8.8,
11.5,24.7,5.1,8.4,10.1,150.8,15.0,10.0,8.8,33.2,
24.7,5.1,8.4,10.1,150.8,15.0,10.0,8.8,33.2,5.2,
5.1,8.4,10.1,150.8,15.0,10.0,8.8,33.2,5.2,10.9,
8.4,10.1,150.8,15.0,10.0,8.8,33.2,5.2,10.9,30.6,
10.1,150.8,15.0,10.0,8.8,33.2,5.2,10.9,30.6,32.7,
150.8,15.0,10.0,8.8,33.2,5.2,10.9,30.6,32.7,10.9,
15.0,10.0,8.8,33.2,5.2,10.9,30.6,32.7,10.9,36.4,
10.0,8.8,33.2,5.2,10.9,30.6,32.7,10.9,36.4,4.6,
8.8,33.2,5.2,10.9,30.6,32.7,10.9,36.4,4.6,28.9,
33.2,5.2,10.9,30.6,32.7,10.9,36.4,4.6,28.9,18.4,
5.2,10.9,30.6,32.7,10.9,36.4,4.6,28.9,18.4,43.9,
10.9,30.6,32.7,10.9,36.4,4.6,28.9,18.4,43.9,42.6,
30.6,32.7,10.9,36.4,4.6,28.9,18.4,43.9,42.6,41.4,
32.7,10.9,36.4,4.6,28.9,18.4,43.9,42.6,41.4,5.9,
10.9,36.4,4.6,28.9,18.4,43.9,42.6,41.4,5.9,14.6,
36.4,4.6,28.9,18.4,43.9,42.6,41.4,5.9,14.6,12.1,
4.6,28.9,18.4,43.9,42.6,41.4,5.9,14.6,12.1,8.4,
28.9,18.4,43.9,42.6,41.4,5.9,14.6,12.1,8.4,6.5,
18.4,43.9,42.6,41.4,5.9,14.6,12.1,8.4,6.5,24.3,
43.9,42.6,41.4,5.9,14.6,12.1,8.4,6.5,24.3,8.9,
42.6,41.4,5.9,14.6,12.1,8.4,6.5,24.3,8.9,15.5,
