iteration,trainRMSE
0,"[2704.882160064157, 2704.9298247834113, 2705.081885495021, 2705.079911825251, 2705.051249874274, 2705.06018700786, 2705.0608243398656, 2710.972103323471, 2710.9888230444303, 2710.980739053496]"
10,"[2704.704793080005, 2704.662015736757, 2704.7516318952876, 2704.7135239533245, 2704.66301664385, 2704.6650898881994, 2704.6604093290493, 2710.5668444645553, 2710.5828674974287, 2710.5787978383773]"
20,"[2704.554948877889, 2704.401654592747, 2704.4533793913697, 2704.409404205228, 2704.3654737316633, 2704.369801199502, 2704.364745881105, 2710.2685513317742, 2710.284568502216, 2710.278574997273]"
30,"[2704.326184106696, 2704.0817931364154, 2704.095907662624, 2704.047532720195, 2704.002841082415, 2704.008440727249, 2704.003940418359, 2709.906486664476, 2709.9242955373984, 2709.920805361168]"
40,"[2704.0071467322364, 2703.654192849569, 2703.664929932289, 2703.621331883861, 2703.5797855074125, 2703.587752490026, 2703.584048837855, 2709.4826935493265, 2709.498538284491, 2709.4955818854205]"
50,"[2703.626651545604, 2703.19806435548, 2703.219845497958, 2703.186289225953, 2703.148876128718, 2703.1604307785915, 2703.155954801301, 2709.052287428052, 2709.067109551421, 2709.0652302049402]"
60,"[2703.2017529271516, 2702.7987355446894, 2702.8605359300063, 2702.839462676585, 2702.8063970090966, 2702.819806126245, 2702.8155297156495, 2708.7093607130837, 2708.722996493472, 2708.720666087011]"
70,"[2702.8004764567468, 2702.4690570604926, 2702.559824364675, 2702.5479890749825, 2702.5169585203753, 2702.529319042894, 2702.5242541625566, 2708.4140769587775, 2708.430488261899, 2708.4278883625702]"
80,"[2702.424991829306, 2702.1779190826846, 2702.2863956666424, 2702.2774313282666, 2702.2474579933987, 2702.25535185246, 2702.2552258830624, 2708.141970700191, 2708.1594055785727, 2708.153904553394]"
90,"[2702.086452707564, 2701.92012513016, 2702.036875866647, 2702.0302047134705, 2702.000959968676, 2702.0089558293544, 2702.008923066561, 2707.893469655756, 2707.9108020692315, 2707.905340549328]"
100,"[2701.799412459927, 2701.662481567244, 2701.782416726503, 2701.7754004416665, 2701.7460178386873, 2701.753821402216, 2701.753725547703, 2707.6359189963523, 2707.6530935564265, 2707.647664127259]"
110,"[2701.5336675787057, 2701.413078133548, 2701.5372243958045, 2701.5315436993574, 2701.502654634094, 2701.5105614070385, 2701.5105666502186, 2707.390607280302, 2707.4076919538243, 2707.4023220979034]"
120,"[2701.2660836061136, 2701.162414407106, 2701.289779565954, 2701.284884811119, 2701.2562492677403, 2701.2641495326975, 2701.2641621124253, 2707.141969934025, 2707.1589353082963, 2707.153611014853]"
130,"[2700.9838679409195, 2700.904337474976, 2701.036428559253, 2701.032423785257, 2701.004051077957, 2701.0119458331674, 2701.0119539300113, 2706.887489304743, 2706.9043115927316, 2706.899015238704]"
140,"[2700.714435297131, 2700.63547589146, 2700.768987466845, 2700.76533180216, 2700.737092074171, 2700.744961533197, 2700.7448980114955, 2706.6180151682356, 2706.6346905191926, 2706.6294951190334]"
150,"[2700.419298075915, 2700.3592973122586, 2700.4931886375634, 2700.489758188962, 2700.461622798907, 2700.469298296877, 2700.469344874825, 2706.3399052758045, 2706.3564911314193, 2706.351251065321]"
160,"[2700.1453128410953, 2700.089754947367, 2700.224019437244, 2700.220737406379, 2700.1927161474846, 2700.200314574107, 2700.20036613533, 2706.0684633420788, 2706.0849161841734, 2706.079712002381]"
170,"[2699.8595900716514, 2699.8125056726994, 2699.948049191039, 2699.9450505324967, 2699.917159425815, 2699.9246852182146, 2699.92473855298, 2705.7903057511044, 2705.8066221638373, 2705.8014546318577]"
180,"[2699.562528685355, 2699.508780955879, 2699.6436608032827, 2699.6406240060346, 2699.6127875695925, 2699.620208114547, 2699.6202546209847, 2705.4830183127074, 2705.4991840758703, 2705.494055198155]"
190,"[2699.2596316756812, 2699.2124765732983, 2699.3474761063044, 2699.344629695562, 2699.3169364972673, 2699.3242853286392, 2699.3243383088584, 2705.1843760471243, 2705.200395782414, 2705.195306961222]"
200,"[2698.9566894765294, 2698.920999733919, 2699.0555890278747, 2699.0527977025563, 2699.0252000174805, 2699.0324618614272, 2699.032514077423, 2704.889854833263, 2704.905728724119, 2704.9006790887097]"
210,"[2698.602318109826, 2698.6160665756515, 2698.7545660062315, 2698.752100658454, 2698.724612825974, 2698.7317853975833, 2698.731836461354, 2704.5863922900326, 2704.60211526204, 2704.5971067145765]"
220,"[2698.2412390901613, 2698.1939468316305, 2698.3327962218514, 2698.338024798339, 2698.324580325976, 2698.3835183029137, 2698.399112266712, 2704.264071285537, 2704.284206251757, 2704.283938579571]"
230,"[2697.904319656439, 2697.837086952791, 2697.9797474038546, 2697.9715878951856, 2697.9386753194008, 2697.9883790957238, 2697.963513069575, 2703.822843418273, 2703.810739286259, 2703.832913449657]"
240,"[2697.552888138284, 2697.504430749035, 2697.6296935227965, 2697.6269213636087, 2697.6023079364354, 2697.6095820768473, 2697.6033456875975, 2703.4472259485215, 2703.4628119419017, 2703.47371113092]"
250,"[2697.19838708095, 2697.1644095931047, 2697.299293553969, 2697.297104487274, 2697.2700868697325, 2697.276817112342, 2697.2768620495917, 2703.117851070998, 2703.132841590312, 2703.128029794297]"
260,"[2696.85725529263, 2696.8017399638757, 2696.9325983774916, 2696.9281297773055, 2696.9013984792286, 2696.919420420188, 2696.916649396765, 2702.7571299795795, 2702.7716594863605, 2702.7728347057778]"
270,"[2696.5190674204655, 2696.4553881736197, 2696.5876743933786, 2696.5836511128923, 2696.5565490945614, 2696.5740218393917, 2696.5671218857515, 2702.4059599528728, 2702.412568229833, 2702.4155502480407]"
280,"[2696.1649476756443, 2696.1054826922577, 2696.2358515932797, 2696.2331329192184, 2696.2068416606003, 2696.212842695055, 2696.2130304220386, 2702.043839623492, 2702.0585374869734, 2702.0543659675277]"
290,"[2695.818213367648, 2695.7580794845476, 2695.887288007172, 2695.885203215876, 2695.858625108064, 2695.864918845139, 2695.8649559586474, 2701.692634687599, 2701.706908330127, 2701.7022888555407]"
300,"[2695.465724275791, 2695.404723137238, 2695.5340639177393, 2695.532504331347, 2695.506128706851, 2695.512328573705, 2695.5123665562437, 2701.336698855954, 2701.3507928305175, 2701.346221541713]"
310,"[2695.1036066753786, 2695.040959945734, 2695.1683245183476, 2695.1668529754315, 2695.1403900896903, 2695.1472609696198, 2695.146154246276, 2700.967222205028, 2700.9809172676587, 2700.9770457434524]"
320,"[2694.733748409961, 2694.6750212056713, 2694.80211729453, 2694.80038485039, 2694.774196250635, 2694.7801661441213, 2694.7802044294826, 2700.59755878616, 2700.611277973653, 2700.6068080020323]"
330,"[2694.359651740699, 2694.3005172267117, 2694.425559665546, 2694.4234850033863, 2694.397368853962, 2694.4053855554985, 2694.4050197298734, 2700.2188825422068, 2700.2318743541487, 2700.2286086623553]"
340,"[2693.9737883762423, 2693.9133850218163, 2694.0387037639707, 2694.0374816646213, 2694.012137937519, 2694.0203683457767, 2694.017754766413, 2699.8279499453683, 2699.8412885643943, 2699.8387488923368]"
350,"[2693.5725143194572, 2693.52583671578, 2693.65192396669, 2693.6506728155773, 2693.624915287002, 2693.6304941964595, 2693.630326084551, 2699.436650814911, 2699.4498542760566, 2699.445971722029]"
360,"[2693.158618244361, 2693.098308060112, 2693.2230302312846, 2693.221763926868, 2693.196069427622, 2693.201531008192, 2693.20155952793, 2699.003727954867, 2699.016631602028, 2699.012379395864]"
370,"[2692.743592620715, 2692.701432688988, 2692.826387632655, 2692.8252588157775, 2692.79971609238, 2692.8050534487593, 2692.8050816907235, 2698.603406199737, 2698.616103937418, 2698.6119072059387]"
380,"[2692.3441048445943, 2692.3016357212728, 2692.4258066102484, 2692.424752598691, 2692.399339235461, 2692.404550086726, 2692.4045769758122, 2698.1990062798754, 2698.2114951937347, 2698.207354223282]"
390,"[2691.938736297434, 2691.897841630102, 2692.0212079466964, 2692.020248714131, 2691.994967489645, 2692.0000504372174, 2692.0000750112094, 2697.790557550104, 2697.8028348805856, 2697.7987505636443]"
400,"[2691.527865647066, 2691.4898784125753, 2691.6125661774563, 2691.6117021371074, 2691.5865593256667, 2691.5915119648016, 2691.591534999911, 2697.378018119758, 2697.390081406725, 2697.3860546181477]"
410,"[2691.112817296093, 2691.0777533324895, 2691.199830024228, 2691.1990503390352, 2691.1740496043158, 2691.1788705991735, 2691.178891890617, 2696.9613219524517, 2696.973168200149, 2696.969199496117]"
