iteration,trainRMSE
0,"[905.1251381051715, 905.0978022203794, 908.0082681405036, 908.5617276071699, 908.5515248807058, 910.1467915344545, 908.532625888918, 907.5050175501791, 907.5387121003658, 909.1187971822682]"
2000,"[744.6479635593132, 745.1475537678015, 743.6855098389958, 744.5387565912968, 749.6127716148004, 751.2970122342884, 750.1643574946578, 752.5761125762143, 750.7508141144262, 752.8807717491105]"
4000,"[742.9189488219625, 741.5225560575948, 742.4630392475657, 741.6580669407136, 749.640612979045, 751.5096095726493, 745.8887633512711, 749.1751970702078, 747.9689273497679, 749.5439359032052]"
6000,"[741.821188663267, 742.2700058309287, 743.3092751933565, 742.4899234711022, 745.1274681300524, 749.5980416736411, 746.8694571356139, 752.319545193474, 756.1107648212429, 753.5100445923871]"
8000,"[737.4160513232586, 732.4440558459295, 738.7606402776286, 743.4934623756059, 745.4383543349679, 745.1311132390377, 745.5232358012278, 748.5408428907915, 744.087999275532, 745.738234046721]"
10000,"[734.2753789301913, 722.3461794727979, 732.2716774818839, 737.2155931217412, 730.8812789863894, 738.1011659896332, 742.1052464661253, 742.0257322452921, 739.7716919213702, 740.5487227102308]"
12000,"[740.1788112326061, 723.0232119606195, 736.1699227708762, 741.2214086882129, 734.2498779987997, 737.9473499897607, 748.4488098880882, 746.6419858699643, 735.9504525142544, 743.9363508528519]"
14000,"[739.0555488293128, 720.5145585662909, 733.412055403187, 734.8577416543926, 735.6084790021291, 737.6513968740076, 757.8351948413986, 750.4657120916208, 731.2551895326314, 743.6918749801246]"
16000,"[739.4649903708523, 717.2059661256469, 735.0376502118576, 731.8842738891907, 721.9474970548121, 735.1641994579035, 734.7046288460277, 736.5130943145444, 720.0497591321459, 733.7619047927539]"
