iteration,trainRMSE
0,"[1047.6183668350634, 1047.6075579616765, 1047.9272186252967, 1047.929066898698, 1051.0825537777557]"
10,"[1038.39793698292, 1031.659935901581, 1030.4511561066777, 1030.238867716977, 1033.218571772124]"
20,"[1033.5923319401127, 1024.5290428217859, 1023.9354956758632, 1023.7830741876886, 1026.7830940369859]"
30,"[1022.680482104257, 1018.1533209148303, 1017.7263631852912, 1017.5928519349673, 1020.5420472748513]"
40,"[1012.3337234420002, 1011.5045852738758, 1011.332676868991, 1011.2552808137395, 1014.1541423386407]"
50,"[1003.0934601544759, 1004.7679403341214, 1004.7662554319247, 1004.718901504679, 1007.5658413873728]"
60,"[995.3771181643953, 998.1861517592538, 998.2165228409974, 998.1855941595093, 1000.9563883056666]"
70,"[988.509051828758, 991.7591675752118, 991.8431043759164, 991.8248081366846, 994.5282642262358]"
80,"[982.3349343037869, 985.6870880102052, 985.7827106342429, 985.7677061615611, 988.389637015297]"
90,"[976.844279172594, 980.1126601390246, 980.1989848700122, 980.1847209707229, 982.7161075823792]"
100,"[972.3036697715204, 975.2132571788424, 975.2813945880062, 975.2671288654303, 977.6983431537614]"
110,"[968.8478490370234, 971.1789623552597, 971.2308393846589, 971.2168745371986, 973.538126014151]"
120,"[966.6577054461754, 968.2234259260601, 968.2615032791291, 968.248129935288, 970.4477515819035]"
130,"[965.7944343034112, 966.5814510447364, 966.6106484253912, 966.5993773499782, 968.6704411713782]"
140,"[965.9285163557948, 966.1411013109071, 966.2291955014022, 966.2890469187961, 968.0051335014247]"
150,"[964.9058867646739, 965.8303902375502, 965.8124850364294, 965.6990995372622, 967.0482711388305]"
160,"[963.306226457541, 965.8065785985249, 965.7846041499597, 965.2081322977958, 967.0448738419784]"
170,"[961.5481392413897, 965.3256805907547, 965.3777609776262, 964.7361846400571, 965.849475173646]"
180,"[960.2093065808216, 963.7897564807591, 964.0396471197827, 962.9478894368314, 964.4760561611963]"
190,"[959.0990782049489, 963.4899408540459, 963.7475026633772, 961.492242020025, 962.7061887923999]"
