iteration,trainRMSE
0,"[1597.9492101177102, 1597.227293766842, 1597.254144104934, 1597.5436069941243, 1601.3941360451608, 1602.1617459380107, 1602.1833561170317, 1607.7519301296513, 1607.6541408293099, 1607.700495815067]"
100,"[1559.563565000264, 1558.8179712156739, 1558.790897396624, 1559.0353543762642, 1562.8215412133607, 1563.5328211687777, 1563.542251989325, 1569.0583404289268, 1568.950734268846, 1568.9506115763484]"
200,"[1495.4837903529194, 1494.8439268491313, 1494.8377625731628, 1495.0239342172472, 1498.6945038711713, 1499.3111991302098, 1499.3174470793301, 1504.7425014736218, 1504.6797330895215, 1504.6799455116493]"
300,"[1416.9578833867258, 1416.5482667322337, 1416.582333798759, 1416.6707305462432, 1420.104946839666, 1420.5578883904934, 1420.5588128499598, 1425.7667667394617, 1425.7787760232345, 1425.779538944116]"
400,"[1350.2438844413032, 1350.1010948006708, 1350.180628227891, 1350.1183954144542, 1353.099380613521, 1353.2942687013565, 1353.2871918304954, 1358.0205964208155, 1358.1441322497624, 1358.145696831917]"
500,"[1332.7101366615718, 1333.2600722902935, 1333.4897017019787, 1333.1587119763299, 1335.5613643257198, 1335.6560077359736, 1335.715568733342, 1339.9467268222368, 1340.4841984364957, 1340.2465483950732]"
600,"[1331.2532889935298, 1330.9579123152428, 1331.8515777334503, 1331.8998654326099, 1334.1509851412666, 1334.000287202035, 1334.3495127849974, 1338.6197988591541, 1339.1964045181794, 1338.5183155606555]"
700,"[1330.3497969645937, 1330.5871137398467, 1331.2900466237663, 1331.138845594175, 1332.9447134101326, 1332.827796661014, 1333.2601083917289, 1337.233672687927, 1337.5087700473007, 1337.4415175889092]"
800,"[1329.3390797703198, 1328.384786751302, 1329.2239051113572, 1330.4733030364, 1333.1885238098957, 1333.6533712229586, 1333.599208624487, 1337.5292816548567, 1339.0026880451323, 1338.250676680952]"
900,"[1327.786181367455, 1327.9703380376666, 1328.1033043882894, 1328.8404129485634, 1331.018139245525, 1331.3606205854624, 1330.6062928285235, 1334.4623437508524, 1335.8575714379042, 1335.059492242494]"
1000,"[1327.2416374769302, 1326.1295906734995, 1325.6267200446634, 1326.0861746259166, 1328.1884197020831, 1328.3465431636077, 1327.5015201089045, 1330.7891419993, 1333.5657058280092, 1332.5048146085662]"
1100,"[1326.0681287159132, 1325.4659967307343, 1324.8888401348827, 1326.0322078712754, 1328.1920233885778, 1328.128278175138, 1327.2437062401282, 1330.4261438763467, 1332.2228149819455, 1330.9492741631798]"
1200,"[1324.582065204605, 1324.30550399947, 1324.3714868164059, 1325.3054345303424, 1327.3352097518652, 1326.0245225297076, 1325.5764125396781, 1328.0109620886699, 1330.3455589032837, 1329.1704894106342]"
1300,"[1324.8409429439714, 1324.205036116538, 1324.465665100615, 1325.3891515497032, 1327.062217426321, 1326.1330096555, 1324.6272387541849, 1327.9658246662552, 1330.4347380935126, 1330.0682686009638]"
1400,"[1323.529128945297, 1324.2587481279834, 1323.2937739214779, 1324.859555197012, 1326.031480229462, 1326.41520977911, 1324.8727115555469, 1328.2817871694604, 1330.4799421729235, 1329.5398109409673]"
1500,"[1324.3258739379482, 1324.3333114114237, 1323.358940731233, 1324.3843145936469, 1325.1524315172433, 1324.998262674763, 1323.4120860479097, 1327.515888012022, 1329.8278444844077, 1328.4849125284009]"
1600,"[1323.6846549006725, 1323.316216527016, 1322.224225594574, 1323.9030766542724, 1324.3221637982526, 1323.9185791029179, 1322.900858576598, 1326.9316986539409, 1330.1692574280646, 1329.2072373726398]"
1700,"[1323.5704276104354, 1322.3945118175554, 1322.1758096184078, 1323.0133495698599, 1324.529725620059, 1323.0889110602145, 1321.7285161553862, 1326.134074652737, 1329.2024854765757, 1328.741692165031]"
1800,"[1321.98000823672, 1320.8565752773482, 1322.0658866363747, 1323.8403703639872, 1326.279249372083, 1324.6766692118401, 1323.4072303258915, 1326.3445949621178, 1330.2695170460825, 1331.5767396656452]"
1900,"[1321.7481595040622, 1320.1666380525737, 1321.18823194652, 1322.8094879909547, 1325.1110755774675, 1323.7288224611248, 1323.7494185694363, 1326.0178423276247, 1329.308296139361, 1330.5809561353037]"
