iteration,trainRMSE
0,"[793.2404641108412, 793.224343258652, 793.2620169470395, 793.2667045481032, 794.2033843462806]"
2500,"[666.3138029020893, 668.0803725956866, 667.9163785960732, 666.853728178831, 670.2765624239469]"
5000,"[659.2656183641199, 662.4397437733538, 662.3389244621984, 656.849027220518, 663.5713785172659]"
7500,"[654.7038852646392, 659.7328396518631, 659.0015953078711, 657.2909048766682, 660.2410820221577]"
