iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
0,1055383.6,1235019.0,1027.32,1111.3076
10000,516438.1,786586.25,718.56,886.7169
20000,445475.72,850499.9,666.03,921.9088
30000,427321.78,845256.44,652.1,918.7301
40000,450617.22,844113.2,670.35,917.8806
50000,444619.75,839889.7,665.92,915.7914
60000,452280.16,871519.3,670.95,932.8178
70000,432931.06,894370.94,655.84,945.3781
80000,495570.4,822503.4,703.56,906.3727
90000,498750.3,821860.5,705.61,906.3818
100000,573498.75,754060.3,757.28,868.062
110000,575061.5,747853.2,758.27,864.7317
120000,566478.5,772888.8,752.53,878.7001
130000,587874.44,754016.0,766.69,868.2361
140000,584543.0,778549.4,764.49,882.1662
150000,577847.1,760902.75,760.07,872.1628
160000,586479.94,750139.6,765.77,865.9774
170000,579259.75,752330.44,760.94,867.0361
180000,574407.8,765153.7,757.75,874.5035
190000,577242.8,766462.8,759.66,875.1253
200000,576942.0,774932.2,759.38,879.9101
210000,880596.6,1089575.5,933.25,1040.9614
220000,858635.0,1046782.56,920.32,1017.6195
230000,858262.75,1063237.8,919.05,1026.5165
240000,857047.94,1054655.6,917.27,1021.8758
250000,766755.94,983091.8,868.86,985.8022
260000,766326.94,968067.44,868.08,977.7704
270000,940922.3,1136326.0,965.13,1061.9064
280000,596097.0,745806.1,772.01,863.4855
290000,599141.1,748352.2,773.99,864.941
